Data,ca.f,cb.f,cc.f,ck.f,cl.f,ct.f,dl.f,fi.f,gc.f,gf.f,he.f,hg.f,ho.f,kc.f,ke.f,le.f,lf.f,ls.f,lu.f,mw.f,ng.f,oj.f,pa.f,pl.f,rb.f,rm.f,rs.f,sb.f,si.f,sw.f,tr.f,ux.f,xr.f,zc.f,zk.f,zl.f,zm.f,zo.f,zr.f,zs.f,zw.f
2000-01-03,,,830.0,,,51.07,10.26,,,85.9,55.975,,,116.5,274.25,69.7,,350.3,,316.5,,84.05,,,,,256.9,6.1,,,,,,200.75,,15.7,146.7,108.25,5.48,456.5,247.5
2000-01-04,561.0,24.39,836.0,,25.55,50.73,10.27,,283.7,85.7,55.625,84.8,0.6778,116.25,274.0,69.075,213.5,357.9,,316.25,2.176,83.1,441.9,413.7,0.685,,256.4,5.77,537.5,172.3,,,,203.0,,15.82,148.6,109.0,5.5,464.25,247.25
2000-01-05,560.0,23.73,831.0,,24.91,51.55,10.2,,,85.7,55.075,,0.6655,,276.25,68.975,213.0,351.5,,317.0,2.168,,438.1,401.9,0.6758,,256.8,,,173.0,,,,,,15.96,151.8,109.25,5.51,469.25,249.75
2000-01-06,556.0,23.62,841.0,,24.78,52.08,10.05,,282.4,86.38,55.175,85.3,0.6628,116.85,275.0,70.075,211.25,347.2,,315.75,2.1959999999999997,83.95,435.3,394.0,0.6789,,258.5,5.77,516.7,172.8,,,,203.75,,16.05,150.4,109.0,5.53,468.0,248.5
2000-01-07,564.0,23.09,853.0,,24.22,53.96,10.02,,282.9,86.88,55.625,85.4,0.6475,114.15,277.75,70.875,205.25,348.8,,317.5,2.173,84.0,443.9,396.0,0.6609999999999999,,260.0,5.84,519.5,172.8,,,,207.0,,16.19,150.7,109.5,5.53,471.5,251.75
2000-01-10,565.0,23.78,839.0,,24.67,53.56,10.03,,282.7,86.85,55.65,84.65,0.6472,117.55,279.75,70.775,196.0,350.1,,318.5,2.2159999999999997,84.15,451.95,398.5,0.6696,,256.7,5.83,519.0,172.9,,,,208.5,,15.98,149.4,109.5,5.49,466.25,253.5
2000-01-11,564.0,24.62,846.0,,25.77,54.18,9.98,,284.4,86.65,56.025,84.35,0.6675,117.8,280.0,70.875,201.5,351.7,,318.25,2.26,82.2,449.4,398.0,0.6872,,258.1,5.67,519.5,170.3,,,,207.25,,15.78,150.3,108.5,5.43,467.0,253.75
2000-01-12,568.0,24.81,854.0,,26.28,53.72,9.96,,283.7,85.97,54.8,86.6,0.6847,118.95,285.75,70.425,201.5,346.7,,322.75,2.244,82.8,452.25,402.4,0.7127,,258.7,5.45,514.3,168.3,,,,215.5,,15.93,152.5,110.25,5.41,472.5,258.75
2000-01-13,579.0,24.98,871.0,,26.69,54.75,10.01,,285.1,85.55,54.825,85.65,0.6928,118.55,290.0,70.6,208.25,344.5,,326.0,2.252,84.55,447.0,404.9,0.7127,,261.7,5.49,515.3,169.4,,,,220.75,,16.41,154.3,111.75,5.43,481.75,263.5
2000-01-14,573.0,25.17,850.0,,27.14,55.12,10.13,,284.9,86.05,56.15,86.25,0.7381,112.55,293.0,70.825,213.75,340.3,,325.0,2.322,83.6,441.0,410.4,0.7452,,262.3,5.45,515.0,168.6,,,,219.0,,16.32,158.5,112.0,5.48,496.25,265.0
