Data,a5.c,wig2,^aex,^aor,^ath,^bel,^bet,^bux,^bvp,^cac,^cry,^dax,^djc,^dji,^djt,^dju,^fmi,^ftm,^hex,^hsi,^ibe,^ice,^ipc,^ips,^jci,^klc,^kos,^mda,^moe,^mrv,^ndq,^ndx,^nkx,^nz5,^omx,^omx,^omx,^omx,^ose,^pse,^psi,^px.,^rts,^sax,^sdx,^set,^shb,^shc,^smi,^snx,^sof,^spx,^sti,^tdx,^tsx,^tws,^ukx,^ux.,^xu1
2000-01-03,1204.88,1852.9,675.44,,5794.85,3311.05,,,16930.0,5917.37,156.83,6750.76,3170.2,11357.5,2943.67,276.71,41226.0,,15330.5,17369.6,11610.0,1511.86,7077.71,1139.63,,833.89,,4127.35,,551.83,4131.15,3790.55,,,104.51,1211.79,141.54,100.0,178.34,2141.77,11851.54,,,,2923.32,,,,,5375.11,,1455.22,2582.94,5151.36,,,,94.79,
2000-01-04,1194.41,1796.6,642.25,3124.1,5588.65,3188.09,,8709.17,15851.0,5672.02,155.49,6586.95,3090.91,10997.9,2862.17,278.51,40314.0,6432.1,14184.9,17072.8,11206.6,1511.9,6675.27,1123.98,700.22,832.8,1059.04,4048.81,,522.97,3901.69,3546.2,19002.86,,108.08,1182.03,140.49,100.94,171.56,2153.18,11360.05,,,,2898.67,498.46,38.15,1406.37,7268.1,5491.01,,1399.42,2530.15,4977.74,8202.6,8756.55,6665.9,94.79,17512.19
2000-01-05,1192.89,1777.0,632.31,3050.9,5369.38,3057.53,,8464.34,16245.0,5479.7,154.91,6502.07,3133.61,11122.7,2867.36,289.11,39452.0,6364.0,13012.0,15846.7,10863.1,1495.92,6764.31,1126.05,678.09,815.8,986.31,3994.87,173.0,532.68,3877.54,3507.31,18542.55,,106.42,1131.3,136.31,101.02,167.0,2074.75,11022.64,484.5,179.01,,2877.98,465.85,38.15,1409.68,7181.3,5357.0,,1402.11,2391.03,4810.34,8119.42,8849.87,6535.9,94.79,16932.0
2000-01-06,,1832.1,624.21,3030.1,,3061.09,,8483.29,16107.0,5450.11,154.99,6474.92,3177.96,11253.3,2937.08,292.64,38835.0,6406.7,,15153.2,,1501.61,6751.65,1122.57,688.52,818.43,960.79,4016.15,186.26,528.47,3727.13,3340.81,18168.27,,104.48,,135.74,101.13,167.43,2079.11,11327.74,494.9,185.52,,2893.34,443.46,38.98,1463.94,7280.6,5421.53,,1403.45,2359.21,4789.8,8114.24,8922.03,6447.2,94.79,16200.02
2000-01-07,1223.61,1933.2,644.86,3044.5,5410.82,3138.55,,8694.04,16309.0,5539.61,154.75,6780.96,3242.06,11522.6,2964.72,297.78,40194.0,6484.4,13539.9,15405.6,11102.4,1495.2,7047.09,1129.52,,,948.65,4095.51,,522.12,3882.62,3529.6,18193.41,,106.86,1152.54,136.38,101.65,169.82,2094.29,11563.53,499.4,,77.46,2919.06,453.31,40.68,1516.6,7448.0,5414.48,,1441.47,2406.04,4984.45,8429.42,8845.47,6504.8,94.79,15837.36
2000-01-10,1236.09,2000.8,655.14,3103.1,5353.14,3203.75,,8977.88,17022.0,5646.12,155.28,6925.52,3251.86,11572.2,2980.5,296.37,39711.0,6544.3,13857.4,15848.2,11173.3,1498.88,7333.7,1148.97,,,987.24,4147.59,200.81,519.97,4049.67,3717.41,,,107.64,1184.77,138.52,102.5,174.05,2142.25,11738.37,506.8,192.25,78.59,2964.34,459.47,40.3,1545.11,7452.8,5518.39,,1457.6,2433.68,5308.02,8602.5,9102.6,6607.7,95.11,
2000-01-11,1225.68,1974.9,648.94,3164.6,5190.17,3148.9,,8881.02,16573.0,5613.9,157.27,6891.25,3230.85,11511.1,2949.56,294.37,39870.0,6583.1,13700.4,15862.1,11012.4,1501.16,7143.13,1144.08,696.0,846.74,981.33,4145.53,199.57,520.89,3921.19,3544.35,18850.92,,108.35,1190.34,138.77,102.94,172.5,2140.78,11761.77,506.4,182.33,78.25,2984.37,452.48,39.23,1479.78,7420.1,5296.3,,1438.56,2409.7,5330.34,8442.61,8927.03,6518.9,96.86,16347.39
2000-01-12,1206.27,1961.3,638.4,3104.6,5187.33,3110.25,,8910.43,16617.0,5582.5,159.06,6912.81,3242.31,11551.1,2936.24,298.23,40289.0,6532.1,13592.0,15714.2,10851.8,1500.89,7174.1,1155.6,690.16,869.62,955.01,4167.2,196.88,518.7,3850.02,3478.14,18677.42,,108.8,1190.15,137.52,103.6,168.92,2101.02,11764.32,502.3,189.2,78.25,2984.09,459.62,38.39,1438.02,7440.2,5491.2,,1432.25,2427.56,5339.46,8359.96,9144.65,6532.8,97.44,16933.59
2000-01-13,1201.93,2032.9,642.21,3095.8,5181.73,3133.58,,9084.51,17298.0,5633.24,160.24,6955.98,3242.06,11582.4,2892.89,299.8,40499.0,6528.5,14063.5,15634.0,10931.9,1516.23,7274.52,1198.19,691.61,890.6,951.05,4196.18,210.05,560.07,3957.21,3612.08,18833.29,,110.56,1195.48,136.47,103.6,172.23,2084.5,11976.35,505.2,195.86,79.96,3015.67,458.4,38.15,1424.44,7436.9,5444.82,,1449.68,2394.32,5355.49,8417.94,9107.19,6531.5,98.77,18130.2
2000-01-14,1205.32,2010.5,655.6,3131.6,5273.83,3128.5,,9494.6,17658.0,5787.44,162.86,7173.22,3271.9,11723.0,2891.63,302.24,41588.0,6554.6,14602.5,15542.2,11184.0,1520.64,7381.49,1216.44,690.89,928.24,948.03,4253.55,217.28,566.08,4064.27,3704.74,18956.55,,109.4,1217.95,139.31,104.53,173.04,2102.1,12234.14,516.5,202.71,79.39,3048.59,474.37,37.84,1408.85,7513.9,5471.27,,1465.2,2392.53,5582.59,8357.46,9023.24,6658.2,99.16,19110.3
