Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2000-01-04,557.0,562.0,552.0,561.0,3805.0,164030.0
2000-01-05,561.0,567.0,558.0,560.0,5417.0,163925.0
2000-01-06,550.0,557.0,549.0,556.0,7649.0,164427.0
2000-01-07,560.0,566.0,555.0,564.0,5592.0,166216.0
2000-01-10,568.0,570.0,563.0,565.0,3892.0,167087.0
2000-01-11,560.0,564.0,557.0,564.0,2145.0,168083.0
2000-01-12,565.0,569.0,564.0,568.0,8396.0,168141.0
2000-01-13,568.0,580.0,567.0,579.0,3931.0,168960.0
2000-01-14,580.0,580.0,572.0,573.0,6566.0,169137.0
2000-01-17,569.0,569.0,555.0,564.0,8601.0,170225.0
2000-01-18,567.0,567.0,559.0,560.0,6405.0,171245.0
2000-01-19,558.0,565.0,555.0,565.0,10897.0,173167.0
2000-01-20,565.0,571.0,563.0,565.0,7933.0,172379.0
2000-01-21,566.0,573.0,566.0,569.0,4676.0,172448.0
2000-01-24,571.0,573.0,566.0,567.0,2853.0,171447.0
2000-01-25,559.0,567.0,558.0,567.0,15068.0,171419.0
2000-01-26,560.0,572.0,560.0,571.0,3152.0,174111.0
2000-01-27,571.0,575.0,565.0,565.0,9888.0,173487.0
2000-01-28,563.0,569.0,560.0,569.0,7649.0,173537.0
2000-01-31,558.0,561.0,550.0,552.0,26956.0,174893.0
2000-02-01,545.0,547.0,521.0,521.0,11480.0,179413.0
2000-02-02,525.0,540.0,521.0,530.0,4300.0,180365.0
2000-02-03,534.0,536.0,530.0,533.0,9363.0,180339.0
2000-02-04,539.0,540.0,529.0,535.0,7308.0,179462.0
2000-02-07,534.0,540.0,530.0,536.0,7491.0,177974.0
2000-02-08,539.0,542.0,532.0,533.0,9982.0,177732.0
2000-02-09,529.0,538.0,529.0,538.0,5524.0,176406.0
2000-02-10,539.0,539.0,532.0,537.0,17678.0,176928.0
2000-02-11,538.0,539.0,533.0,536.0,8572.0,179173.0
2000-02-14,532.0,535.0,527.0,528.0,9884.0,176981.0
2000-02-15,526.0,533.0,525.0,532.0,9074.0,178044.0
2000-02-16,529.0,532.0,528.0,531.0,7091.0,176590.0
2000-02-17,532.0,540.0,532.0,537.0,8025.0,175007.0
2000-02-18,538.0,541.0,534.0,539.0,6144.0,174632.0
2000-02-21,539.0,541.0,533.0,533.0,9344.0,173557.0
2000-02-22,533.0,534.0,528.0,530.0,12371.0,173614.0
2000-02-23,525.0,532.0,522.0,531.0,18763.0,172996.0
2000-02-24,532.0,544.0,528.0,533.0,9717.0,173127.0
2000-02-25,525.0,530.0,512.0,512.0,11920.0,171217.0
2000-02-28,507.0,516.0,503.0,508.0,20780.0,169101.0
2000-02-29,508.0,525.0,507.0,525.0,5578.0,163677.0
2000-03-01,523.0,540.0,522.0,536.0,14102.0,162768.0
2000-03-02,550.0,567.0,540.0,567.0,18041.0,160136.0
2000-03-03,600.0,600.0,586.0,586.0,8061.0,157522.0
2000-03-06,578.0,582.0,578.0,582.0,6823.0,157407.0
2000-03-07,586.0,594.0,584.0,594.0,6305.0,156527.0
2000-03-08,596.0,596.0,586.0,586.0,10046.0,154707.0
2000-03-09,600.0,600.0,591.0,591.0,3015.0,152673.0
2000-03-10,585.0,585.0,580.0,580.0,2697.0,152197.0
2000-03-13,570.0,582.0,570.0,582.0,6245.0,152186.0
2000-03-14,596.0,598.0,595.0,597.0,7112.0,152685.0
2000-03-15,602.0,609.0,602.0,609.0,8250.0,152983.0
2000-03-16,616.0,616.0,616.0,616.0,8881.0,154355.0
2000-03-17,607.0,607.0,603.0,603.0,2442.0,152649.0
2000-03-20,583.0,583.0,583.0,583.0,4628.0,152859.0
2000-03-21,578.0,578.0,566.0,566.0,2625.0,152528.0
2000-03-22,578.0,578.0,578.0,578.0,6875.0,152531.0
2000-03-23,575.0,575.0,575.0,575.0,5665.0,150938.0
2000-03-24,550.0,550.0,550.0,550.0,8741.0,148977.0
2000-03-27,540.0,540.0,540.0,540.0,7632.0,147855.0
2000-03-28,549.0,549.0,549.0,549.0,4325.0,147294.0
2000-03-29,582.0,582.0,567.0,567.0,3588.0,146731.0
