Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2000-01-04,23.9,24.7,23.89,24.39,,
2000-01-05,24.25,24.37,23.7,23.73,,
2000-01-06,23.55,24.22,23.35,23.62,,
2000-01-07,23.57,23.96,23.05,23.09,,
2000-01-10,23.04,23.78,23.04,23.78,,
2000-01-11,23.9,24.67,23.83,24.62,,
2000-01-12,24.35,25.1,23.97,24.81,,
2000-01-13,24.84,25.25,24.7,24.98,,
2000-01-14,24.5,25.17,24.48,25.17,,
2000-01-17,25.55,25.75,25.42,25.65,,
2000-01-18,25.95,26.13,25.62,26.05,,
2000-01-19,26.3,26.3,25.65,25.84,,
2000-01-20,25.98,26.43,25.63,26.1,,
2000-01-21,26.55,27.11,25.9,26.35,,
2000-01-24,26.68,26.85,25.88,26.06,,
2000-01-25,25.88,26.65,25.58,26.54,,
2000-01-26,26.9,26.95,26.05,26.13,,
2000-01-27,25.9,26.38,25.45,25.62,,
2000-01-28,25.45,25.92,25.38,25.68,,
2000-01-31,25.4,26.19,25.21,25.97,,
2000-02-01,26.1,26.6,26.09,26.39,,
2000-02-02,26.62,26.82,25.82,25.93,,
2000-02-03,26.12,26.69,26.07,26.66,,
2000-02-04,26.65,27.1,26.2,27.07,,
2000-02-07,26.85,27.05,26.67,26.88,,
2000-02-08,26.73,26.86,26.32,26.37,,
2000-02-09,26.45,26.98,26.06,26.92,,
2000-02-10,26.75,27.62,26.75,27.48,,
2000-02-11,27.5,28.2,27.45,27.82,,
2000-02-14,26.55,27.33,26.54,27.13,,
2000-02-15,27.2,27.48,26.98,27.13,,
2000-02-16,27.15,27.47,26.9,27.37,,
2000-02-17,27.15,27.16,26.55,26.67,,
2000-02-18,26.65,26.77,26.2,26.22,,
2000-02-21,26.35,26.4,25.78,25.93,,
2000-02-22,25.85,26.75,25.73,26.58,,
2000-02-23,26.5,27.14,26.44,27.06,,
2000-02-24,27.0,27.5,27.0,27.37,,
2000-02-25,27.25,28.0,27.12,27.48,,
2000-02-28,27.2,27.78,27.2,27.41,,
2000-02-29,27.35,28.12,27.35,28.09,,
2000-03-01,28.0,29.14,28.0,29.06,,
2000-03-02,28.7,29.47,28.55,29.22,,
2000-03-03,28.95,29.28,28.7,28.99,,
2000-03-06,28.95,29.69,28.95,29.63,,
2000-03-07,30.1,31.95,30.1,31.9,,
2000-03-08,31.4,31.4,28.3,28.8,,
2000-03-09,29.35,29.9,28.39,29.29,,
2000-03-10,29.05,29.4,28.63,28.94,,
2000-03-13,28.9,29.13,28.55,28.89,,
2000-03-14,29.0,29.13,28.2,28.34,,
2000-03-15,28.35,28.47,27.35,27.53,,
2000-03-16,26.1,26.83,25.88,26.78,,
2000-03-17,26.9,27.14,26.45,26.56,,
2000-03-20,26.4,26.43,25.2,25.21,,
2000-03-21,25.2,25.85,25.14,25.72,,
2000-03-22,25.45,26.18,25.26,25.4,,
2000-03-23,25.35,25.79,25.32,25.48,,
2000-03-24,25.75,26.34,25.75,25.91,,
2000-03-27,25.65,25.9,25.38,25.68,,
2000-03-28,25.55,25.96,25.3,25.51,,
2000-03-29,25.24,25.27,24.25,24.4,,
2000-03-30,24.4,24.76,24.37,24.63,,
2000-03-31,24.8,25.27,24.58,24.77,,
2000-04-03,25.0,25.22,24.5,24.51,,
2000-04-04,24.35,24.44,23.62,23.65,,
2000-04-05,23.4,23.91,23.35,23.75,,
2000-04-06,23.9,24.13,23.42,23.45,,
2000-04-07,23.35,23.55,22.5,22.58,,
2000-04-10,22.4,22.4,21.3,21.3,,
2000-04-11,21.8,22.02,21.4,21.67,,
2000-04-12,21.9,23.2,21.9,23.12,,
2000-04-13,23.22,23.58,22.75,22.79,,
2000-04-14,22.95,23.15,22.35,22.41,,
2000-04-17,22.15,22.93,21.9,22.74,,
2000-04-18,23.15,23.2,22.67,23.05,,
2000-04-19,23.0,24.0,23.0,23.77,,
2000-04-20,23.75,23.97,23.55,23.83,,
2000-04-25,23.85,23.85,23.3,23.33,,
2000-04-26,23.3,23.35,22.95,22.98,,
2000-04-27,23.05,23.85,23.05,23.76,,
2000-04-28,23.95,24.35,23.85,23.89,,
2000-05-02,24.1,25.37,24.05,25.08,,
2000-05-03,25.15,25.7,24.9,25.0,,
2000-05-04,24.9,25.5,24.75,25.15,,
2000-05-05,25.16,25.4,24.95,25.29,,
2000-05-08,25.3,26.15,25.25,26.08,,
2000-05-09,25.71,26.95,25.71,26.82,,
2000-05-10,26.6,26.74,26.32,26.42,,
2000-05-11,26.45,27.6,26.32,27.45,,
2000-05-12,27.55,28.38,27.3,28.05,,
2000-05-15,27.64,28.52,27.48,28.33,,
2000-05-16,27.95,28.41,27.9,28.1,,
2000-05-17,27.95,28.12,27.64,27.89,,
2000-05-18,28.0,29.02,28.0,28.92,,
2000-05-19,28.7,29.2,28.15,28.59,,
2000-05-22,28.55,28.6,27.19,27.43,,
2000-05-23,27.5,27.6,27.1,27.5,,
2000-05-24,27.7,28.65,27.7,28.61,,
2000-05-25,28.61,29.2,28.37,29.19,,
2000-05-26,29.4,29.47,29.0,29.22,,
2000-05-30,28.65,29.13,28.65,28.96,,
2000-05-31,29.1,29.52,28.2,28.31,,
2000-06-01,28.4,29.2,28.4,29.19,,
2000-06-02,29.2,29.42,28.75,29.05,,
2000-06-05,29.4,29.4,28.27,28.37,,
2000-06-06,28.45,28.8,28.31,28.59,,
2000-06-07,28.55,29.28,27.9,29.22,,
2000-06-08,29.15,29.48,28.7,29.07,,
2000-06-09,28.9,29.63,28.84,29.58,,
2000-06-12,29.85,31.27,29.8,31.21,,
2000-06-13,30.9,31.7,30.9,31.49,,
2000-06-14,31.41,31.41,30.87,31.02,,
2000-06-15,29.34,29.86,29.13,29.39,,
2000-06-16,29.15,29.15,27.69,28.35,,
2000-06-19,28.3,28.3,27.58,27.98,,
2000-06-20,27.86,29.1,27.85,29.02,,
2000-06-21,29.1,30.11,28.58,29.33,,
2000-06-22,29.2,30.25,29.0,30.15,,
2000-06-23,30.4,30.6,29.8,30.39,,
2000-06-26,30.65,30.8,29.73,29.75,,
2000-06-27,29.65,30.55,29.36,30.24,,
2000-06-28,30.03,30.57,29.97,30.11,,
2000-06-29,30.01,30.95,29.96,30.8,,
2000-06-30,30.67,31.15,30.45,30.57,,
2000-07-03,30.65,31.25,30.62,31.1,,
2000-07-04,30.4,30.59,29.5,29.58,,
2000-07-05,29.22,29.4,28.55,29.38,,
2000-07-06,29.4,29.95,28.93,29.67,,
2000-07-07,29.65,29.75,29.1,29.7,,
2000-07-10,29.35,29.63,28.75,28.85,,
2000-07-11,28.65,29.29,28.51,29.22,,
2000-07-12,28.95,29.8,28.81,29.67,,
2000-07-13,29.65,30.3,29.4,30.26,,
2000-07-14,28.95,29.3,28.87,29.23,,
2000-07-17,28.9,28.9,28.52,28.56,,
2000-07-18,28.5,29.8,28.4,29.32,,
2000-07-19,29.35,29.45,28.72,28.88,,
2000-07-20,28.75,29.06,28.25,28.27,,
2000-07-21,28.3,28.3,27.47,27.52,,
2000-07-24,27.5,27.67,26.9,26.92,,
2000-07-25,26.9,27.27,26.82,26.94,,
2000-07-26,26.9,27.45,26.78,26.83,,
2000-07-27,27.0,27.25,26.9,27.15,,
2000-07-28,27.35,27.62,27.25,27.36,,
2000-07-31,27.35,27.45,26.65,26.93,,
2000-08-01,26.8,27.45,26.73,27.14,,
2000-08-02,27.6,27.87,27.5,27.59,,
2000-08-03,27.6,28.35,27.6,28.31,,
2000-08-04,28.45,29.55,28.45,29.37,,
2000-08-07,29.45,29.5,28.47,28.52,,
2000-08-08,28.55,28.95,28.37,28.9,,
2000-08-09,29.8,30.15,29.52,29.87,,
2000-08-10,29.8,31.08,29.63,30.88,,
2000-08-11,30.65,31.44,30.5,30.57,,
2000-08-14,30.5,31.5,30.5,31.48,,
2000-08-15,31.5,32.8,31.5,32.18,,
2000-08-16,29.1,29.85,29.1,29.74,,
2000-08-17,30.0,30.77,30.0,30.16,,
2000-08-18,30.4,30.91,30.3,30.44,,
2000-08-21,30.6,31.15,30.56,30.6,,
2000-08-22,30.8,31.24,29.9,29.93,,
2000-08-23,30.9,31.18,30.55,30.69,,
2000-08-24,30.81,30.86,30.22,30.35,,
2000-08-25,30.57,30.62,30.17,30.39,,
2000-08-29,31.49,31.49,31.1,31.36,,
2000-08-30,31.36,32.0,30.67,31.98,,
2000-08-31,31.75,32.12,31.62,31.72,,
2000-09-01,31.65,31.87,31.46,31.85,,
2000-09-04,31.95,32.85,31.95,32.84,,
2000-09-05,32.8,33.0,32.38,32.98,,
2000-09-06,33.05,34.3,33.03,34.28,,
2000-09-07,34.35,34.6,33.46,34.55,,
2000-09-08,33.85,33.85,32.35,32.78,,
2000-09-11,32.2,34.25,32.1,33.62,,
2000-09-12,33.9,34.37,32.26,32.48,,
2000-09-13,32.01,32.37,31.3,31.53,,
2000-09-14,32.1,32.63,31.36,32.29,,
2000-09-15,32.8,34.05,32.65,33.98,,
2000-09-18,33.8,34.98,33.75,34.46,,
2000-09-19,34.38,34.46,33.6,33.63,,
2000-09-20,34.25,34.81,33.7,33.74,,
2000-09-21,33.55,34.08,32.71,32.73,,
2000-09-22,32.8,33.08,31.2,31.25,,
2000-09-25,30.25,30.97,29.9,30.24,,
2000-09-26,30.4,30.75,30.28,30.42,,
2000-09-27,30.6,31.27,30.5,30.54,,
2000-09-28,30.35,30.35,29.25,29.26,,
2000-09-29,29.47,30.0,29.35,29.84,,
2000-10-02,30.2,31.27,30.1,31.08,,
2000-10-03,31.0,31.19,30.7,31.05,,
2000-10-04,30.75,30.75,30.35,30.52,,
2000-10-05,29.9,29.95,29.42,29.89,,
2000-10-06,30.1,30.22,29.85,30.1,,
2000-10-09,30.7,30.96,30.24,30.76,,
2000-10-10,31.1,31.9,31.0,31.85,,
2000-10-11,32.65,32.65,31.5,31.79,,
2000-10-12,31.58,35.3,31.55,34.59,,
2000-10-13,34.85,35.07,32.5,32.52,,
2000-10-16,32.05,32.95,30.85,30.88,,
2000-10-17,31.45,31.58,30.56,31.13,,
2000-10-18,31.6,32.05,30.85,31.1,,
2000-10-19,31.1,31.7,30.7,30.74,,
2000-10-20,30.92,31.7,30.68,31.62,,
2000-10-23,32.05,32.18,31.32,32.09,,
2000-10-24,32.05,32.29,31.55,31.59,,
2000-10-25,31.8,32.15,31.3,31.36,,
2000-10-26,31.4,32.16,31.27,31.96,,
2000-10-27,31.85,32.08,30.75,30.95,,
2000-10-30,30.74,31.38,30.74,31.14,,
2000-10-31,31.09,31.1,30.38,30.76,,
2000-11-01,31.1,31.71,31.05,31.31,,
2000-11-02,30.85,31.13,30.45,30.78,,
2000-11-03,30.5,31.0,30.32,30.85,,
2000-11-06,30.63,31.3,30.4,31.29,,
2000-11-07,31.27,31.7,31.12,31.68,,
2000-11-08,31.68,31.74,30.88,31.32,,
2000-11-09,31.32,32.2,31.31,32.16,,
2000-11-10,32.1,32.2,31.8,32.02,,
2000-11-13,32.3,32.98,31.95,32.94,,
2000-11-14,32.98,33.54,32.25,32.69,,
2000-11-15,32.3,33.2,32.3,33.17,,
2000-11-16,32.8,33.12,32.7,32.77,,
2000-11-17,32.3,33.1,32.2,33.08,,
2000-11-20,33.38,33.95,32.8,33.07,,
2000-11-21,33.0,33.48,32.85,33.1,,
2000-11-22,32.73,33.32,32.65,33.24,,
2000-11-23,33.24,33.65,32.9,33.28,,
2000-11-24,33.25,33.41,33.1,33.12,,
2000-11-27,33.0,33.45,32.91,33.06,,
2000-11-28,33.0,33.0,32.1,32.19,,
2000-11-29,32.0,32.75,31.95,32.68,,
2000-11-30,32.64,33.15,31.8,31.88,,
2000-12-01,31.88,32.32,30.1,30.17,,
2000-12-04,30.5,30.81,29.2,29.34,,
2000-12-05,29.55,29.65,27.65,27.79,,
2000-12-06,27.84,28.43,26.7,28.01,,
2000-12-07,28.36,28.45,27.2,27.47,,
2000-12-08,27.3,27.3,26.13,26.56,,
2000-12-11,26.98,27.55,26.77,27.54,,
2000-12-12,27.6,27.82,26.8,27.06,,
2000-12-13,27.4,27.4,25.0,25.14,,
2000-12-14,26.2,26.4,25.1,25.53,,
2000-12-15,25.65,26.1,25.33,25.89,,
2000-12-18,26.14,26.84,25.98,26.24,,
2000-12-19,26.25,26.25,24.95,25.0,,
2000-12-20,25.2,25.23,22.9,22.97,,
2000-12-21,23.56,24.08,23.4,23.61,,
2000-12-22,23.85,23.87,23.51,23.66,,
2000-12-27,24.3,24.54,23.94,24.04,,
2000-12-28,23.65,23.93,23.63,23.71,,
2000-12-29,23.15,24.15,23.02,23.87,,
2001-01-02,24.4,24.9,24.2,24.3,,
2001-01-03,24.5,25.3,24.2,25.03,,
2001-01-04,25.09,25.85,24.77,25.35,,
2001-01-05,25.4,26.02,25.15,25.18,,
2001-01-08,25.33,25.63,24.4,24.43,,
2001-01-09,24.5,24.83,24.12,24.59,,
2001-01-10,24.78,25.4,23.72,25.34,,
2001-01-11,25.55,25.9,25.2,25.61,,
2001-01-12,25.8,25.85,25.59,25.75,,
2001-01-15,25.98,26.28,25.79,26.18,,
2001-01-16,26.05,26.34,25.5,25.52,,
2001-01-17,25.69,25.75,24.33,24.79,,
2001-01-18,24.9,25.7,24.55,25.62,,
2001-01-19,25.5,27.2,25.38,27.04,,
2001-01-22,26.9,27.28,26.5,26.53,,
2001-01-23,26.4,26.72,26.2,26.67,,
2001-01-24,26.5,26.79,25.83,26.26,,
2001-01-25,26.3,26.52,25.94,26.46,,
2001-01-26,26.5,27.0,26.2,26.98,,
2001-01-29,26.85,27.48,26.25,26.6,,
2001-01-30,26.58,27.08,26.3,26.89,,
2001-01-31,27.1,27.22,26.31,26.66,,
2001-02-01,26.55,28.25,26.35,28.1,,
2001-02-02,27.9,29.3,27.7,29.19,,
2001-02-05,29.2,29.2,28.08,28.45,,
2001-02-06,28.25,28.89,28.25,28.7,,
2001-02-07,28.6,29.95,28.6,29.91,,
2001-02-08,29.7,30.35,28.99,29.84,,
2001-02-09,30.0,30.0,29.23,29.25,,
2001-02-12,29.3,29.39,28.75,29.0,,
