Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2000-01-03,840.0,846.0,820.0,830.0,3154.0,92134.0
2000-01-04,828.0,841.0,823.0,836.0,5678.0,93245.0
2000-01-05,840.0,850.0,828.0,831.0,6020.0,94027.0
2000-01-06,825.0,847.0,824.0,841.0,5488.0,94193.0
2000-01-07,846.0,855.0,836.0,853.0,7451.0,90956.0
2000-01-10,845.0,855.0,837.0,839.0,6053.0,95696.0
2000-01-11,837.0,853.0,836.0,846.0,3698.0,95851.0
2000-01-12,847.0,855.0,843.0,854.0,4200.0,96469.0
2000-01-13,850.0,875.0,845.0,871.0,11229.0,93289.0
2000-01-14,868.0,872.0,847.0,850.0,6622.0,97099.0
2000-01-18,825.0,837.0,825.0,828.0,6622.0,97099.0
2000-01-19,815.0,845.0,815.0,844.0,8756.0,103234.0
2000-01-20,841.0,859.0,840.0,853.0,8924.0,103360.0
2000-01-21,860.0,865.0,848.0,861.0,7748.0,103805.0
2000-01-24,855.0,866.0,842.0,844.0,8499.0,105145.0
2000-01-25,840.0,846.0,835.0,838.0,5641.0,102844.0
2000-01-26,831.0,854.0,831.0,846.0,7334.0,105096.0
2000-01-27,846.0,852.0,820.0,823.0,6495.0,98568.0
2000-01-28,825.0,836.0,805.0,811.0,8956.0,96545.0
2000-01-31,805.0,812.0,794.0,795.0,10645.0,99621.0
2000-02-01,779.0,793.0,757.0,763.0,10645.0,99621.0
2000-02-02,775.0,779.0,763.0,766.0,12005.0,112753.0
2000-02-03,770.0,778.0,765.0,774.0,7290.0,111023.0
2000-02-04,770.0,774.0,751.0,765.0,9342.0,108755.0
2000-02-07,798.0,815.0,790.0,814.0,13650.0,111528.0
2000-02-08,810.0,817.0,791.0,796.0,13842.0,111528.0
2000-02-09,802.0,812.0,796.0,810.0,18472.0,110895.0
2000-02-10,805.0,808.0,799.0,805.0,13661.0,109100.0
2000-02-11,802.0,804.0,786.0,794.0,18851.0,109374.0
2000-02-14,795.0,800.0,773.0,775.0,28706.0,112243.0
2000-02-15,782.0,797.0,778.0,785.0,8406.0,112346.0
2000-02-16,792.0,805.0,786.0,800.0,10757.0,109103.0
2000-02-17,806.0,820.0,800.0,809.0,7924.0,107904.0
2000-02-18,809.0,818.0,800.0,815.0,3271.0,107468.0
2000-02-22,810.0,815.0,792.0,795.0,4731.0,108254.0
2000-02-23,800.0,808.0,797.0,806.0,3467.0,108547.0
2000-02-24,815.0,833.0,785.0,791.0,13814.0,110329.0
2000-02-25,800.0,800.0,756.0,759.0,14026.0,111829.0
2000-02-28,765.0,775.0,759.0,765.0,5057.0,110555.0
2000-02-29,765.0,783.0,758.0,778.0,5280.0,110361.0
2000-03-01,773.0,790.0,770.0,788.0,4781.0,110404.0
2000-03-02,798.0,826.0,792.0,821.0,9872.0,109050.0
2000-03-03,850.0,850.0,828.0,845.0,13612.0,107208.0
2000-03-06,838.0,845.0,820.0,842.0,6123.0,106252.0
2000-03-07,839.0,861.0,836.0,859.0,6123.0,106252.0
