Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2008-02-01,19.05,19.5,18.95,19.22,2851.0,152041.0
2008-02-04,19.15,19.55,19.05,19.19,1618.0,152305.0
2008-02-05,19.1,19.3,18.76,18.84,2613.0,152797.0
2008-02-06,18.85,20.2,18.85,19.97,4165.0,149241.0
2008-02-07,19.6,20.5,19.6,20.44,3210.0,149985.0
2008-02-08,20.55,21.0,20.2,20.39,2223.0,146869.0
2008-02-11,20.8,20.96,19.9,20.16,2542.0,148210.0
2008-02-12,20.3,20.3,19.72,19.97,1855.0,147025.0
2008-02-13,19.66,19.96,19.61,19.93,1583.0,147366.0
2008-02-14,20.0,20.82,19.85,20.72,2620.0,148687.0
2008-02-15,20.8,21.1,20.61,20.87,3168.0,147836.0
2008-02-18,20.89,21.04,20.68,20.93,1747.0,147497.0
2008-02-19,20.9,21.75,20.7,21.64,4172.0,148207.0
2008-02-20,21.95,22.04,21.33,21.5,2217.0,148695.0
2008-02-21,21.9,22.1,21.57,21.7,2783.0,149980.0
2008-02-22,21.4,21.67,21.31,21.48,2314.0,150407.0
2008-02-25,21.9,21.9,21.48,21.59,1458.0,146218.0
2008-02-26,21.47,21.57,21.05,21.35,1780.0,147696.0
2008-02-27,21.65,21.76,21.15,21.26,1839.0,148502.0
2008-02-28,21.03,21.38,20.88,21.16,2189.0,147917.0
2008-02-29,21.71,21.79,21.21,21.31,1785.0,147119.0
2008-03-03,21.55,21.55,20.62,20.88,1683.0,146628.0
2008-03-04,20.55,20.84,20.35,20.67,2141.0,147271.0
2008-03-05,20.5,21.46,20.3,21.24,2543.0,147812.0
2008-03-06,21.5,21.58,21.14,21.35,1853.0,147967.0
2008-03-07,21.42,21.58,21.2,21.38,1133.0,149839.0
2008-03-10,21.26,21.72,21.25,21.66,1468.0,149642.0
2008-03-11,21.66,21.99,21.65,21.86,1191.0,148316.0
2008-03-12,21.99,22.3,21.8,21.95,1024.0,148142.0
2008-03-13,22.27,22.69,22.26,22.55,1607.0,147937.0
2008-03-14,22.55,22.61,22.02,22.21,1770.0,150613.0
2008-03-17,22.2,22.29,21.26,21.43,2284.0,151205.0
2008-03-18,21.15,21.72,20.9,21.66,3794.0,151150.0
2008-03-19,21.79,22.2,21.36,21.56,3500.0,150480.0
2008-03-20,21.17,22.1,21.05,21.97,3500.0,150383.0
2008-03-25,21.77,22.68,21.77,22.54,3795.0,149174.0
2008-03-26,22.6,22.79,22.25,22.51,2986.0,149889.0
2008-03-27,22.55,22.65,22.05,22.26,2048.0,151735.0
2008-03-28,22.11,22.15,21.68,21.76,2208.0,151984.0
2008-03-31,21.72,22.39,21.56,22.27,2991.0,151578.0
2008-04-01,21.9,22.66,21.8,22.52,1919.0,153355.0
2008-04-02,22.21,23.57,22.21,23.42,4868.0,155544.0
2008-04-03,23.3,24.05,23.21,23.47,2976.0,158048.0
2008-04-04,23.6,23.6,22.97,23.31,1441.0,155015.0
2008-04-07,23.18,23.9,23.18,23.82,2192.0,155130.0
2008-04-08,23.95,24.05,23.46,23.51,3037.0,153996.0
2008-04-09,23.4,23.75,23.31,23.69,1584.0,154525.0
2008-04-10,23.87,24.62,23.71,24.44,4266.0,154446.0
2008-04-11,24.45,24.6,24.25,24.38,1447.0,155675.0
2008-04-14,24.25,25.05,24.18,25.0,3207.0,155393.0
2008-04-15,25.2,25.38,24.84,25.14,3035.0,156623.0
2008-04-16,24.91,25.12,24.45,24.8,2923.0,155745.0
2008-04-17,24.7,24.85,24.46,24.69,1959.0,154906.0
2008-04-18,24.6,24.6,24.25,24.51,1006.0,156040.0
2008-04-21,24.6,25.5,24.59,25.23,2908.0,159947.0
2008-04-22,25.38,25.67,25.27,25.34,2136.0,160964.0
2008-04-23,25.32,25.32,24.8,25.0,3120.0,161998.0
2008-04-24,25.1,25.29,24.36,24.51,2508.0,162726.0
2008-04-25,24.29,24.8,24.2,24.74,2500.0,164062.0
2008-04-28,24.93,25.05,24.45,24.63,1867.0,164701.0
2008-04-29,24.35,24.45,23.9,24.19,2741.0,165214.0
2008-04-30,24.0,24.2,23.7,23.88,2708.0,165721.0
2008-05-01,23.71,23.98,23.52,23.56,464.0,166295.0
2008-05-02,23.64,24.7,23.6,24.5,464.0,166322.0
2008-05-06,25.1,25.4,25.05,25.31,1935.0,167854.0
2008-05-07,25.45,25.45,24.85,25.03,1455.0,168918.0
2008-05-08,25.25,25.3,24.8,24.91,932.0,169087.0
2008-05-09,25.02,25.28,24.97,25.17,833.0,169600.0
2008-05-12,25.3,25.8,25.3,25.39,1246.0,169471.0
2008-05-13,25.2,25.4,24.93,25.04,2211.0,170849.0
2008-05-14,25.1,25.16,24.35,24.46,3103.0,170311.0
2008-05-15,24.35,25.45,24.35,24.68,1378.0,171484.0
2008-05-16,24.7,24.95,24.6,24.89,2290.0,171017.0
2008-05-19,24.99,25.4,24.99,25.31,2181.0,171484.0
2008-05-20,25.3,25.44,25.05,25.36,2835.0,171963.0
2008-05-21,25.74,25.79,25.4,25.73,2798.0,172750.0
2008-05-22,26.0,26.55,25.91,26.06,3745.0,172394.0
2008-05-23,26.1,26.27,25.81,26.11,1652.0,173441.0
2008-05-26,26.01,26.5,26.01,26.38,6521.0,172821.0
2008-05-27,26.4,26.68,26.22,26.34,2540.0,173623.0
2008-05-28,26.08,26.37,25.92,26.19,3266.0,174416.0
2008-05-29,26.4,26.85,26.17,26.59,2922.0,174586.0
2008-05-30,26.13,26.18,25.86,26.1,3081.0,174678.0
2008-06-02,26.1,26.5,25.89,26.34,3935.0,175834.0
2008-06-03,26.38,27.25,26.21,27.13,4230.0,182602.0
