Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2000-01-04,25.05,25.69,24.75,25.55,85484.0,501819.0
2000-01-05,25.05,25.05,24.91,24.91,123346.0,506407.0
2000-01-06,24.76,25.34,24.51,24.78,125051.0,506233.0
2000-01-07,24.8,25.02,24.13,24.22,176785.0,511248.0
2000-01-10,24.35,24.75,24.02,24.67,184061.0,520053.0
2000-01-11,24.9,25.8,24.9,25.77,94382.0,525849.0
2000-01-12,25.48,26.55,25.41,26.28,211612.0,508001.0
2000-01-13,26.5,27.12,26.42,26.69,214876.0,507455.0
2000-01-14,26.2,27.25,26.2,27.14,225654.0,532076.0
2000-01-18,27.55,27.9,27.15,27.8,146749.0,553880.0
2000-01-19,27.6,28.05,27.45,27.93,199361.0,530366.0
2000-01-20,27.8,28.37,27.2,27.97,224111.0,525748.0
2000-01-21,28.65,29.1,27.7,28.2,224111.0,525748.0
2000-01-24,28.4,28.45,27.51,27.83,176426.0,498578.0
2000-01-25,27.7,28.44,27.7,28.28,117206.0,497801.0
2000-01-26,28.6,28.69,27.8,27.84,150411.0,497031.0
2000-01-27,27.85,28.1,27.19,27.32,132212.0,501980.0
2000-01-28,27.4,27.56,26.94,27.22,163048.0,502938.0
2000-01-31,26.8,27.9,26.71,27.64,115381.0,497026.0
2000-02-01,27.8,28.4,27.7,28.22,141148.0,498987.0
2000-02-02,28.55,28.65,27.45,27.55,145801.0,502121.0
2000-02-03,27.9,28.47,27.67,28.03,158986.0,504796.0
2000-02-04,28.08,28.87,27.75,28.82,157107.0,516503.0
2000-02-07,28.65,28.9,28.25,28.45,119285.0,521546.0
2000-02-08,28.38,28.49,27.9,28.02,137060.0,510876.0
2000-02-09,27.8,28.84,27.71,28.77,139030.0,520812.0
2000-02-10,28.7,29.5,28.65,29.43,190141.0,525824.0
2000-02-11,29.8,29.94,29.02,29.44,186114.0,535689.0
2000-02-14,29.7,30.3,29.47,30.25,172547.0,540151.0
2000-02-15,30.2,30.45,29.8,30.06,150069.0,539116.0
2000-02-16,30.03,30.2,29.35,30.05,172148.0,548901.0
2000-02-17,29.4,29.58,29.05,29.46,219462.0,541760.0
2000-02-18,29.3,29.6,29.05,29.51,164117.0,535273.0
2000-02-22,27.95,29.0,27.9,28.92,114177.0,519217.0
2000-02-23,28.83,29.45,28.75,29.39,184114.0,504828.0
2000-02-24,29.44,30.15,29.4,29.97,117732.0,498920.0
2000-02-25,29.8,30.83,29.7,30.35,136877.0,501043.0
2000-02-28,30.01,30.59,29.82,30.13,149596.0,498155.0
2000-02-29,30.35,30.63,30.3,30.43,109659.0,492233.0
2000-03-01,30.6,31.8,30.45,31.77,118140.0,500336.0
