Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2000-01-03,50.45,51.1,50.35,51.07,9833.0,58305.0
2000-01-04,50.8,50.97,50.25,50.73,5930.0,58785.0
2000-01-05,50.75,51.84,50.75,51.55,13515.0,57488.0
2000-01-06,51.8,52.1,51.55,52.08,14234.0,52134.0
2000-01-07,51.95,54.05,51.9,53.96,24724.0,56635.0
2000-01-10,53.7,53.95,53.2,53.56,12235.0,55412.0
2000-01-11,53.6,54.2,53.31,54.18,13936.0,56930.0
2000-01-12,54.15,54.6,53.65,53.72,11455.0,57876.0
2000-01-13,53.8,54.8,53.4,54.75,11941.0,57687.0
2000-01-14,54.92,55.85,54.65,55.12,21486.0,59408.0
2000-01-18,54.9,55.1,54.26,54.76,8189.0,60255.0
2000-01-19,55.1,57.76,55.1,57.75,30311.0,65960.0
2000-01-20,57.5,57.8,56.6,57.44,15959.0,68218.0
2000-01-21,57.9,58.6,55.8,56.15,21720.0,71615.0
2000-01-24,56.25,57.05,55.85,56.35,6880.0,72307.0
2000-01-25,56.1,58.0,56.1,57.86,9697.0,72598.0
2000-01-26,57.86,58.75,56.7,57.42,11059.0,72716.0
2000-01-27,57.3,57.9,56.56,57.53,9075.0,72668.0
2000-01-28,57.5,57.75,56.9,57.45,7181.0,72847.0
2000-01-31,56.86,57.9,56.45,57.86,9403.0,72944.0
2000-02-01,57.3,57.8,56.85,57.13,7198.0,72917.0
2000-02-02,57.25,57.5,56.9,57.08,7847.0,73330.0
2000-02-03,57.35,57.5,55.75,56.09,15874.0,72047.0
2000-02-04,55.9,56.4,55.21,56.08,2217.0,71706.0
2000-02-07,55.75,56.35,55.65,56.18,9170.0,70516.0
2000-02-08,55.45,55.9,55.25,55.3,9244.0,68733.0
2000-02-09,55.2,55.9,55.05,55.8,18831.0,66875.0
2000-02-10,55.65,57.8,55.65,57.54,25558.0,68248.0
2000-02-11,57.3,57.7,56.9,56.97,14867.0,69474.0
2000-02-14,56.65,59.1,56.65,57.26,21460.0,70864.0
2000-02-15,56.95,57.0,55.71,55.74,18359.0,68825.0
2000-02-16,55.25,56.15,54.8,55.4,18359.0,68825.0
2000-02-17,55.8,56.5,55.41,55.47,11619.0,64759.0
2000-02-18,55.85,57.24,55.5,57.09,19531.0,63067.0
2000-02-22,57.4,59.2,56.6,58.8,24631.0,64203.0
2000-02-23,57.9,59.35,57.0,58.42,12883.0,65333.0
2000-02-24,58.1,58.2,57.0,58.15,8833.0,65049.0
2000-02-25,58.7,58.7,56.88,56.88,10253.0,64802.0
2000-02-28,57.1,57.6,56.3,57.58,1063.0,64883.0
2000-02-29,56.6,57.1,56.2,56.6,7642.0,63340.0
2000-03-01,57.8,60.7,57.8,59.5,17847.0,65631.0
2000-03-02,59.6,59.75,58.65,58.65,7207.0,66933.0
2000-03-03,58.4,59.15,58.4,59.05,6153.0,67614.0
2000-03-06,59.75,59.75,59.0,59.4,8469.0,68764.0
2000-03-07,59.4,59.65,58.75,59.65,8469.0,68764.0
2000-03-08,59.6,60.9,59.6,60.5,11413.0,69486.0
2000-03-09,62.65,63.3,62.4,63.01,10438.0,70330.0
2000-03-10,62.6,63.75,62.6,63.6,8806.0,71537.0
2000-03-13,62.95,63.45,62.26,63.21,12298.0,72535.0
2000-03-14,62.9,63.8,62.75,63.36,8213.0,73980.0
2000-03-15,63.8,63.95,62.8,63.22,9690.0,74096.0
2000-03-16,62.8,63.2,62.45,62.54,7147.0,74402.0
2000-03-17,62.65,63.0,62.36,62.69,5715.0,74519.0
2000-03-20,61.9,62.9,61.01,61.14,13746.0,74104.0
2000-03-21,60.71,61.91,60.5,61.38,10406.0,73840.0
2000-03-22,60.6,61.2,59.8,59.86,13812.0,71806.0
2000-03-23,59.75,60.02,58.9,59.04,16194.0,69975.0
2000-03-24,59.05,59.5,58.5,58.81,13209.0,67961.0
2000-03-27,59.05,59.4,58.5,59.25,2.0,67878.0
2000-03-28,59.15,59.65,58.95,59.1,2.0,67494.0
2000-03-29,58.55,58.7,57.82,57.95,15042.0,65644.0
2000-03-30,57.85,58.45,57.51,57.57,11252.0,63844.0
2000-03-31,57.6,58.9,57.6,58.3,14245.0,63290.0
2000-04-03,57.4,58.45,57.4,58.39,7410.0,62583.0
2000-04-04,58.4,58.48,57.05,57.21,14355.0,61132.0
2000-04-05,57.3,57.65,56.36,56.41,20216.0,59165.0
2000-04-06,56.8,57.15,55.51,55.68,23274.0,59914.0
2000-04-07,56.0,56.6,55.9,56.29,10466.0,58607.0
2000-04-10,56.0,56.4,55.6,55.99,4.0,58605.0
2000-04-11,55.75,55.9,54.75,54.95,19241.0,57503.0
2000-04-12,54.65,55.8,53.5,55.75,2767.0,57514.0
2000-04-13,55.95,57.3,55.95,56.82,14464.0,57268.0
2000-04-14,57.04,57.4,56.1,56.43,7667.0,56431.0
2000-04-17,56.33,57.05,55.9,56.92,8744.0,55801.0
2000-04-18,56.6,57.6,56.6,57.3,8452.0,53704.0
2000-04-19,57.36,57.85,56.0,56.62,13782.0,54790.0
2000-04-20,56.25,57.0,56.15,56.42,10131.0,53699.0
2000-04-24,56.7,56.8,55.2,56.72,1662.0,53765.0
2000-04-25,56.89,56.89,56.0,56.3,3485.0,51866.0
2000-04-26,56.2,56.94,56.2,56.6,4546.0,51532.0
2000-04-27,56.9,56.9,56.45,56.45,2241.0,50827.0
2000-04-28,56.8,56.8,55.71,55.71,2241.0,50826.0
2000-05-01,55.3,56.65,55.0,56.3,6346.0,50775.0
2000-05-02,56.1,57.75,56.1,57.75,11060.0,51438.0
2000-05-03,57.5,58.4,56.95,56.95,9532.0,51917.0
2000-05-04,57.2,57.2,56.4,56.8,4343.0,51436.0
2000-05-05,57.02,58.4,57.02,58.4,5983.0,51577.0
2000-05-08,58.65,58.95,58.3,58.46,5036.0,51386.0
2000-05-09,58.65,59.9,58.65,59.66,12578.0,53014.0
2000-05-10,60.2,61.29,60.2,61.24,697.0,53202.0
2000-05-11,61.25,62.47,60.0,60.8,19442.0,53533.0
2000-05-12,61.7,62.25,61.25,62.23,11702.0,52157.0
2000-05-15,62.3,62.89,61.4,62.75,10599.0,53479.0
2000-05-16,62.8,62.9,62.35,62.62,10599.0,53479.0
2000-05-17,62.62,62.8,61.5,62.07,2775.0,54153.0
2000-05-18,61.65,62.4,61.65,62.1,6781.0,54682.0
2000-05-19,61.8,62.55,61.25,61.3,4275.0,54708.0
2000-05-22,61.8,63.45,61.6,63.44,14408.0,57411.0
2000-05-23,63.3,63.5,62.9,63.42,7297.0,57965.0
2000-05-24,63.4,63.6,62.3,62.73,11373.0,56691.0
2000-05-25,62.9,64.15,62.8,63.28,13512.0,56664.0
2000-05-26,62.3,63.75,61.0,63.22,9934.0,56245.0
2000-05-30,63.1,63.32,60.9,61.01,14931.0,55423.0
2000-05-31,61.5,63.0,60.6,62.64,11777.0,55199.0
2000-06-01,60.8,61.8,60.15,60.25,11696.0,53976.0
2000-06-02,59.25,59.7,58.9,58.99,6424.0,53803.0
2000-06-05,58.7,59.25,58.0,58.55,10965.0,52184.0
2000-06-06,58.0,58.65,57.57,57.6,15134.0,50542.0
2000-06-07,57.6,58.45,57.4,58.25,14184.0,49046.0
2000-06-08,58.1,58.85,57.87,58.19,6031.0,48310.0
2000-06-09,58.5,58.8,58.1,58.35,694.0,49390.0
2000-06-12,57.5,57.75,56.4,56.75,7384.0,47410.0
2000-06-13,56.2,57.95,56.2,56.98,13456.0,47789.0
2000-06-14,57.2,57.75,56.8,57.0,4347.0,48761.0
