Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2000-01-03,10.25,10.31,10.25,10.26,119.0,5539.0
2000-01-04,10.25,10.27,10.25,10.27,139.0,5649.0
2000-01-05,10.25,10.25,10.2,10.2,64.0,5626.0
2000-01-06,10.2,10.2,10.05,10.05,275.0,5769.0
2000-01-07,10.0,10.02,10.0,10.02,218.0,4889.0
2000-01-10,10.05,10.05,10.0,10.03,111.0,4901.0
2000-01-11,10.03,10.03,9.97,9.98,119.0,4920.0
2000-01-12,9.95,9.97,9.95,9.96,65.0,4949.0
2000-01-13,10.01,10.01,10.01,10.01,79.0,4960.0
2000-01-14,10.1,10.14,10.1,10.13,80.0,4989.0
2000-01-18,10.1,10.1,10.1,10.1,358.0,5181.0
2000-01-19,10.1,10.1,10.1,10.1,148.0,5294.0
2000-01-20,10.1,10.1,10.1,10.1,49.0,5319.0
2000-01-21,10.07,10.07,10.07,10.07,93.0,5338.0
2000-01-24,10.15,10.15,10.0,10.15,73.0,5375.0
2000-01-25,10.15,10.15,10.15,10.15,100.0,5440.0
2000-01-26,10.07,10.07,10.07,10.07,80.0,5474.0
2000-01-27,10.07,10.07,10.07,10.07,119.0,5541.0
2000-01-28,10.12,10.12,10.1,10.1,77.0,5581.0
2000-01-31,9.98,9.98,9.98,9.98,45.0,5606.0
2000-02-01,9.99,10.1,9.99,10.06,245.0,5770.0
2000-02-02,10.06,10.06,10.05,10.06,142.0,5824.0
2000-02-03,10.06,10.07,10.01,10.01,142.0,5532.0
2000-02-04,10.0,10.0,9.6,9.65,452.0,6071.0
2000-02-07,9.8,9.8,9.75,9.75,232.0,6181.0
2000-02-08,9.75,9.75,9.7,9.7,182.0,5557.0
2000-02-09,9.7,9.75,9.7,9.7,222.0,5672.0
2000-02-10,9.7,9.75,9.68,9.68,202.0,5759.0
2000-02-11,9.65,9.67,9.6,9.6,396.0,5865.0
2000-02-14,9.7,9.7,9.61,9.61,381.0,6054.0
2000-02-15,9.61,9.61,9.61,9.61,519.0,6317.0
2000-02-16,9.62,9.62,9.6,9.6,432.0,6518.0
2000-02-17,9.61,9.61,9.61,9.61,411.0,6737.0
2000-02-18,9.61,9.61,9.6,9.6,633.0,7070.0
2000-02-22,9.6,9.6,9.55,9.55,762.0,7344.0
2000-02-23,9.55,9.55,9.55,9.55,150.0,7399.0
