Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2015-01-21,643.0,643.0,643.0,643.0,240.0,7480.0
2015-01-22,621.5,621.5,621.5,621.5,540.0,7780.0
2015-01-23,620.5,620.5,620.5,620.5,820.0,8280.0
2015-01-26,601.75,601.75,601.75,601.75,280.0,7840.0
2015-01-27,602.75,602.75,602.75,602.75,520.0,8160.0
2015-01-28,606.0,606.0,606.0,606.0,120.0,8160.0
2015-01-29,582.5,582.5,582.5,582.5,,
2015-01-30,588.5,588.5,588.5,588.5,160.0,7340.0
2015-02-02,588.5,588.5,588.5,588.5,,
2015-02-03,588.5,588.5,588.5,588.5,,
2015-02-04,613.5,613.5,613.5,613.5,780.0,7400.0
2015-02-05,643.0,643.0,643.0,643.0,180.0,7100.0
2015-02-06,657.5,657.5,657.5,657.5,360.0,7460.0
2015-02-09,649.5,649.5,649.5,649.5,60.0,7520.0
2015-02-10,641.25,641.25,641.25,641.25,360.0,7520.0
2015-02-11,634.0,634.0,634.0,634.0,,
2015-02-12,633.0,633.0,633.0,633.0,,
2015-02-13,636.25,636.25,636.25,636.25,,
2015-02-17,637.25,637.25,637.25,637.25,320.0,7520.0
2015-02-18,639.25,639.25,639.25,639.25,160.0,7360.0
2015-02-19,639.25,639.25,639.25,639.25,,
2015-02-20,639.25,639.25,639.25,639.25,,
2015-02-23,615.75,615.75,615.75,615.75,580.0,7240.0
2015-02-24,621.5,621.5,621.5,621.5,120.0,7320.0
2015-02-25,620.5,620.5,620.5,620.5,40.0,7360.0
2015-02-26,631.5,631.5,631.5,631.5,360.0,6320.0
2015-02-27,637.25,637.25,637.25,637.25,200.0,6360.0
2015-03-02,653.25,653.25,653.25,653.25,,
2015-03-03,655.5,655.5,655.5,655.5,,
2015-03-04,651.75,651.75,651.75,651.75,,
2015-03-05,637.75,637.75,637.75,637.75,180.0,6360.0
2015-03-06,631.0,631.0,631.0,631.0,60.0,6360.0
2015-03-09,622.0,622.0,622.0,622.0,,
2015-03-10,614.75,614.75,614.75,614.75,360.0,6560.0
2015-03-11,619.75,619.75,619.75,619.75,360.0,6800.0
2015-03-12,616.5,616.5,616.5,616.5,320.0,6880.0
2015-03-13,616.75,616.75,616.75,616.75,200.0,7000.0
2015-03-16,608.25,608.25,608.25,608.25,120.0,6880.0
2015-03-17,601.5,601.5,601.5,601.5,240.0,6860.0
2015-03-18,607.75,607.75,607.75,607.75,280.0,6900.0
2015-03-19,610.75,610.75,610.75,610.75,,
2015-03-20,603.75,603.75,603.75,603.75,,
2015-03-23,607.0,607.0,607.0,607.0,140.0,6960.0
2015-03-24,606.25,606.25,606.25,606.25,380.0,7240.0
2015-03-25,607.25,607.25,607.25,607.25,240.0,7080.0
2015-03-26,607.75,607.75,607.75,607.75,400.0,6100.0
2015-03-27,591.0,591.0,591.0,591.0,120.0,5980.0
2015-03-30,590.75,590.75,590.75,590.75,200.0,5980.0
2015-03-31,582.0,582.0,582.0,582.0,80.0,6060.0
2015-04-01,584.25,584.25,584.25,584.25,,
2015-04-02,588.25,588.25,588.25,588.25,,
