Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2000-01-04,283.0,284.1,280.0,283.7,32932.0,155835.0
2000-01-06,281.1,282.8,280.2,282.4,28943.0,158161.0
2000-01-07,284.1,284.5,282.0,282.9,23344.0,143543.0
2000-01-10,282.6,283.9,282.4,282.7,12758.0,156952.0
2000-01-11,282.2,285.3,281.9,284.4,34255.0,157326.0
2000-01-12,283.0,284.1,282.5,283.7,496.0,135159.0
2000-01-13,283.1,285.9,283.0,285.1,2484.0,133093.0
2000-01-14,284.9,285.3,284.0,284.9,14308.0,103796.0
2000-01-18,287.5,289.8,285.9,289.6,42296.0,125430.0
2000-01-19,289.5,290.6,287.5,290.3,37696.0,135089.0
2000-01-20,288.8,290.1,288.7,289.3,33699.0,145671.0
2000-01-21,287.8,290.3,287.4,289.7,30654.0,148601.0
2000-01-24,287.6,288.3,286.9,288.1,33852.0,141353.0
2000-01-25,290.5,291.0,286.6,286.6,47290.0,117625.0
2000-01-26,285.8,287.5,285.3,286.5,64879.0,140990.0
2000-01-27,289.3,290.0,288.4,289.9,21475.0,125492.0
2000-01-28,289.2,290.7,283.0,286.0,3.0,112118.0
2000-01-31,286.6,287.4,285.6,286.2,266.0,109924.0
2000-02-01,286.1,286.4,285.0,285.4,17659.0,134305.0
2000-02-02,286.5,289.2,286.5,287.7,19056.0,124483.0
2000-02-03,288.1,290.9,287.4,289.9,22697.0,139034.0
2000-02-04,291.2,318.5,291.0,313.0,10697.0,137248.0
2000-02-07,322.5,323.0,302.0,304.5,13977.0,147889.0
2000-02-08,302.5,303.0,298.5,301.7,89293.0,154668.0
2000-02-09,310.0,314.0,307.6,308.6,48859.0,156968.0
2000-02-10,314.0,319.0,311.5,318.7,4623.0,159582.0
2000-02-11,317.8,318.2,311.0,313.6,36572.0,159184.0
2000-02-14,311.5,313.6,308.3,311.0,28924.0,146799.0
2000-02-15,309.2,309.3,303.8,304.1,31933.0,149505.0
2000-02-16,301.7,306.0,301.7,305.0,29405.0,159002.0
2000-02-17,310.5,312.5,300.0,303.8,29405.0,159233.0
2000-02-18,304.5,307.8,303.3,307.3,13192.0,167012.0
2000-02-22,306.3,307.8,304.2,307.7,20538.0,168125.0
2000-02-23,307.0,307.0,302.3,302.4,29724.0,168886.0
2000-02-24,301.5,303.4,300.2,300.9,3628.0,172299.0
2000-02-25,298.3,299.0,293.5,294.6,54910.0,168604.0
2000-02-28,293.8,295.3,293.5,294.2,14104.0,165369.0
2000-02-29,295.4,296.5,293.7,294.2,27358.0,166520.0
2000-03-01,295.7,295.8,292.8,293.3,14989.0,165813.0
2000-03-02,290.7,293.3,289.4,289.7,30728.0,162107.0
2000-03-03,289.7,291.3,289.2,290.3,15323.0,160344.0
2000-03-06,290.4,291.2,289.2,289.4,13814.0,156414.0
2000-03-07,289.7,295.4,289.6,293.7,31912.0,161587.0
2000-03-08,294.4,294.4,289.8,290.4,25762.0,160212.0
2000-03-09,290.5,293.0,290.0,292.7,23148.0,160358.0
2000-03-10,292.3,292.5,289.4,290.0,44923.0,161072.0
2000-03-13,290.7,292.9,290.6,291.5,21202.0,161210.0
2000-03-14,292.0,292.2,289.2,289.7,1129.0,161544.0
2000-03-15,290.0,291.0,289.3,289.6,2202.0,144104.0
2000-03-16,289.3,289.4,286.3,287.0,277.0,157319.0
2000-03-17,286.7,286.8,283.6,285.0,27264.0,164289.0
2000-03-20,285.5,286.9,285.3,286.5,7198.0,165132.0
2000-03-21,284.7,292.0,284.2,290.4,11083.0,164776.0
2000-03-22,289.5,290.2,288.1,288.3,1665.0,164800.0
2000-03-23,286.3,286.3,283.8,285.4,46220.0,154244.0
2000-03-24,285.4,286.1,284.6,285.1,17118.0,155185.0
2000-03-27,284.0,284.8,280.2,280.5,85295.0,148281.0
2000-03-28,283.0,284.5,282.0,282.2,43575.0,150712.0
2000-03-29,282.2,283.2,277.8,278.7,71387.0,156293.0
2000-03-30,279.3,279.5,277.9,279.1,32057.0,159945.0
2000-03-31,278.2,283.0,277.5,281.4,45102.0,157483.0
2000-04-03,280.7,281.5,279.7,280.4,13159.0,158310.0
2000-04-04,279.5,291.5,278.4,286.6,47557.0,155539.0
2000-04-05,285.8,286.2,283.2,283.8,23820.0,154200.0
2000-04-06,281.5,283.8,281.3,282.7,655.0,152932.0
2000-04-07,282.7,283.6,281.9,282.5,8984.0,152978.0
2000-04-10,284.9,284.9,283.9,284.0,7241.0,151335.0
2000-04-11,283.9,286.0,283.3,283.7,18852.0,144468.0
2000-04-12,282.6,285.7,281.7,283.5,20619.0,152175.0
2000-04-13,283.8,284.4,282.0,283.2,721.0,152270.0
2000-04-14,283.0,288.5,282.6,284.6,31626.0,150479.0
2000-04-17,285.0,286.0,282.8,284.2,36406.0,146517.0
2000-04-18,283.6,284.7,282.4,283.0,15774.0,153546.0
2000-04-19,283.4,283.9,282.2,282.5,105.0,153376.0
2000-04-20,282.7,282.7,280.8,281.5,27806.0,152510.0
2000-04-24,282.0,282.9,280.9,281.2,9170.0,156328.0
2000-04-25,281.4,282.0,279.5,279.8,670.0,156486.0
2000-04-26,279.0,279.2,276.4,277.1,30640.0,162093.0
2000-04-27,277.7,279.1,276.8,278.4,15983.0,160207.0
2000-04-28,277.0,277.2,274.2,274.7,31353.0,162253.0
2000-05-01,274.8,276.1,273.6,274.8,132.0,166997.0
2000-05-02,276.6,277.9,275.9,277.0,1409.0,156576.0
2000-05-03,278.0,279.4,276.6,279.1,26495.0,166399.0
2000-05-04,278.9,284.0,278.6,281.2,38736.0,163257.0
2000-05-05,281.8,283.8,278.5,280.1,33393.0,161927.0
2000-05-08,278.9,279.7,277.3,277.6,19377.0,161315.0
2000-05-09,277.5,278.9,276.7,278.2,22039.0,162859.0
2000-05-10,279.0,279.7,278.3,278.7,2088.0,151484.0
2000-05-11,278.0,278.3,276.1,276.5,176.0,164301.0
2000-05-12,277.3,277.9,276.5,276.9,13507.0,162030.0
2000-05-15,276.3,276.6,274.8,276.4,6152.0,162789.0
2000-05-16,276.6,278.0,276.0,276.2,19844.0,158913.0
2000-05-17,274.3,275.1,272.7,273.8,48212.0,160577.0
2000-05-18,273.1,274.8,272.7,273.7,24331.0,160628.0
2000-05-19,274.2,274.9,273.3,274.6,31384.0,160996.0
2000-05-22,274.7,277.5,274.3,276.2,41672.0,161454.0
