Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2000-01-03,86.5,86.5,85.53,85.9,4297.0,26566.0
2000-01-04,85.75,85.8,85.4,85.7,2758.0,26608.0
2000-01-05,85.55,85.85,85.4,85.7,4055.0,27068.0
2000-01-06,85.55,86.45,85.55,86.38,5078.0,28113.0
2000-01-07,86.6,87.25,86.55,86.88,5277.0,28780.0
2000-01-10,87.15,87.15,86.7,86.85,2516.0,29226.0
2000-01-11,86.8,86.95,86.47,86.65,3723.0,29346.0
2000-01-12,86.3,86.4,85.8,85.97,6248.0,30329.0
2000-01-13,85.97,86.1,85.2,85.55,4668.0,29535.0
2000-01-14,85.85,86.1,85.55,86.05,2463.0,29797.0
2000-01-18,86.2,86.45,85.7,85.97,3113.0,30604.0
2000-01-19,86.2,86.2,84.85,84.95,4675.0,30491.0
2000-01-20,84.9,84.9,84.35,84.67,3829.0,30090.0
2000-01-21,84.55,85.08,84.55,84.85,2232.0,29976.0
2000-01-24,84.9,85.1,84.45,84.72,2064.0,30147.0
2000-01-25,85.0,85.35,84.65,85.22,3518.0,30122.0
2000-01-26,85.45,85.75,85.03,85.65,3131.0,30212.0
2000-01-27,85.62,85.8,84.55,84.75,3137.0,30188.0
2000-01-28,84.5,84.9,84.0,84.78,3528.0,29993.0
2000-01-31,85.05,85.4,84.15,85.35,2922.0,30291.0
2000-02-01,85.35,85.95,85.3,85.6,3476.0,29083.0
2000-02-02,85.25,85.5,84.55,84.78,3566.0,28973.0
2000-02-03,84.8,85.28,84.65,85.22,2584.0,28974.0
2000-02-04,85.3,85.45,84.7,84.85,1953.0,29193.0
2000-02-07,85.0,85.3,84.55,84.82,2762.0,29211.0
2000-02-08,84.75,84.9,84.15,84.25,3806.0,29008.0
2000-02-09,83.85,84.35,83.4,83.45,5041.0,28792.0
2000-02-10,83.4,83.7,83.12,83.28,4619.0,29228.0
2000-02-11,83.25,83.95,83.15,83.53,3961.0,29506.0
2000-02-14,83.35,83.5,83.0,83.22,2979.0,29243.0
2000-02-15,83.4,83.65,82.8,82.88,3407.0,28803.0
2000-02-16,82.75,83.1,82.68,83.03,2492.0,28481.0
2000-02-17,83.15,83.7,83.05,83.47,2687.0,28296.0
2000-02-18,83.6,83.65,83.03,83.1,1281.0,28149.0
2000-02-22,82.55,82.75,82.05,82.3,4476.0,27799.0
2000-02-23,82.3,82.95,82.15,82.6,2880.0,27694.0
2000-02-24,82.82,82.97,82.25,82.93,2148.0,27806.0
2000-02-25,84.35,84.82,84.35,84.4,3201.0,27495.0
2000-02-28,84.47,85.1,84.35,84.8,2219.0,27557.0
2000-02-29,84.85,84.95,84.35,84.55,1957.0,27638.0
2000-03-01,84.45,85.0,84.45,84.95,2400.0,27717.0
2000-03-02,85.65,85.75,85.2,85.28,3565.0,27634.0
2000-03-03,85.3,85.45,85.1,85.43,1836.0,27702.0
2000-03-06,85.55,85.55,85.05,85.22,1320.0,27748.0
2000-03-07,85.35,85.38,84.75,84.97,2011.0,27569.0
2000-03-08,85.05,85.18,84.6,84.75,2335.0,27544.0
2000-03-09,84.7,85.1,84.3,84.7,2984.0,27497.0
2000-03-10,84.75,84.95,84.7,84.78,1112.0,27578.0
2000-03-13,84.8,84.85,84.05,84.25,2042.0,27560.0
2000-03-14,84.2,84.38,83.4,83.5,3769.0,27143.0
2000-03-15,83.5,84.0,83.5,83.68,2318.0,26906.0
2000-03-16,83.8,83.82,83.07,83.22,2017.0,26596.0
2000-03-17,83.1,83.32,82.78,82.95,2793.0,26299.0
2000-03-20,83.65,83.9,83.4,83.4,1961.0,26049.0
2000-03-21,83.65,83.8,83.45,83.57,1042.0,25885.0
2000-03-22,83.8,84.35,83.8,84.12,2741.0,25664.0
2000-03-23,84.35,84.5,84.2,84.28,1604.0,25678.0
