Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2000-01-03,54.95,56.3,54.95,55.975,8343.0,45443.0
2000-01-04,55.7,55.85,55.025,55.625,7641.0,45604.0
2000-01-05,55.25,55.9,55.0,55.075,6871.0,45965.0
2000-01-06,54.85,55.55,54.55,55.175,6629.0,45723.0
2000-01-07,56.0,56.75,55.55,55.625,10887.0,46181.0
2000-01-10,56.2,56.6,55.6,55.65,10678.0,46327.0
2000-01-11,55.9,56.375,55.7,56.025,7860.0,46188.0
2000-01-12,55.8,56.25,54.7,54.8,9366.0,46140.0
2000-01-13,55.0,55.575,54.75,54.825,7449.0,46965.0
2000-01-14,55.0,56.2,54.45,56.15,8171.0,47891.0
2000-01-18,55.4,55.75,55.05,55.55,6181.0,47849.0
2000-01-19,55.95,56.15,55.95,56.0,11263.0,48340.0
2000-01-20,59.1,59.3,58.55,59.25,6862.0,49210.0
2000-01-21,59.4,60.1,59.1,60.05,10269.0,50479.0
2000-01-24,59.8,60.0,59.375,59.65,7022.0,51577.0
2000-01-25,59.8,60.0,59.0,59.125,10373.0,53585.0
2000-01-26,59.4,59.8,59.05,59.525,9390.0,53654.0
2000-01-27,59.7,59.9,58.6,58.75,10581.0,54507.0
2000-01-28,59.0,59.9,58.75,59.775,9437.0,55490.0
2000-01-31,60.0,60.4,59.45,60.25,10126.0,57054.0
2000-02-01,60.05,60.675,59.9,60.525,13430.0,58933.0
2000-02-02,60.4,60.725,59.65,59.775,9763.0,59283.0
2000-02-03,59.9,61.0,59.425,60.925,12430.0,60004.0
2000-02-04,60.95,61.45,60.65,61.15,10246.0,60700.0
2000-02-07,61.15,61.45,60.95,61.38,8071.0,61033.0
2000-02-08,61.12,61.17,59.58,59.85,11017.0,60330.0
2000-02-09,59.55,59.7,58.8,58.95,13324.0,58438.0
2000-02-10,59.0,59.7,58.7,59.1,9084.0,58184.0
2000-02-11,59.3,60.03,59.0,59.4,7724.0,59182.0
2000-02-14,59.2,59.2,57.4,57.4,12717.0,56167.0
2000-02-15,57.1,57.2,56.0,56.03,14777.0,52904.0
2000-02-16,56.6,57.72,56.6,57.35,8112.0,51449.0
2000-02-17,57.65,57.85,56.95,57.05,5537.0,51573.0
2000-02-18,57.05,57.5,56.97,57.22,3510.0,47685.0
