Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2000-01-04,85.4,85.7,84.5,84.8,13451.0,75564.0
2000-01-06,84.95,85.55,84.8,85.3,8822.0,78129.0
2000-01-07,85.3,86.25,84.95,85.4,8156.0,76290.0
2000-01-10,85.15,85.45,84.0,84.65,8148.0,77711.0
2000-01-11,84.65,85.1,84.2,84.35,6802.0,77442.0
2000-01-12,84.7,86.95,84.7,86.6,17843.0,74919.0
2000-01-13,86.35,86.6,85.5,85.65,13018.0,82460.0
2000-01-14,85.8,86.3,85.75,86.25,4987.0,69863.0
2000-01-18,85.6,86.9,85.1,86.6,685.0,76739.0
2000-01-19,87.25,88.3,86.8,88.2,1670.0,84835.0
2000-01-20,87.9,88.5,86.75,87.3,11136.0,90470.0
2000-01-21,87.4,88.1,86.8,87.3,8495.0,91061.0
2000-01-24,86.5,86.7,85.6,85.65,9446.0,91133.0
2000-01-25,85.95,86.2,84.1,84.25,20572.0,83678.0
2000-01-26,84.7,85.0,83.5,84.15,16447.0,79912.0
2000-01-27,83.1,84.8,83.1,84.45,2138.0,70546.0
2000-01-28,84.7,85.2,83.35,83.5,11993.0,76035.0
2000-01-31,83.25,85.0,83.25,84.95,10083.0,75606.0
2000-02-01,84.65,85.4,83.55,84.3,11942.0,77687.0
2000-02-02,83.9,84.1,81.8,82.25,21261.0,69021.0
2000-02-03,82.0,82.7,81.55,82.6,10759.0,75076.0
2000-02-04,81.6,82.85,81.25,82.75,16563.0,77223.0
2000-02-07,82.7,82.75,81.9,82.7,4535.0,75147.0
2000-02-08,82.55,82.65,81.7,82.0,7158.0,74669.0
2000-02-09,82.1,82.5,81.7,82.2,4903.0,73634.0
2000-02-10,83.2,85.2,83.15,84.95,18274.0,73884.0
2000-02-11,85.1,85.2,84.45,84.5,6110.0,74136.0
2000-02-14,84.2,84.45,83.55,84.4,4801.0,74420.0
2000-02-15,84.4,84.6,82.1,82.7,12259.0,72991.0
2000-02-16,82.4,83.0,82.05,82.8,516.0,72754.0
2000-02-17,82.9,83.6,82.25,83.6,854.0,72204.0
2000-02-18,83.8,84.1,83.1,83.2,2890.0,72115.0
2000-02-22,82.5,82.8,81.8,82.75,12869.0,74026.0
2000-02-23,82.85,84.0,82.8,83.9,15008.0,72406.0
2000-02-24,84.4,84.7,83.3,83.4,12346.0,74634.0
2000-02-25,84.2,84.2,82.7,82.75,25571.0,72833.0
2000-02-28,81.2,81.3,79.15,79.4,35014.0,71793.0
2000-02-29,79.9,79.9,78.1,79.8,19183.0,66270.0
2000-03-01,80.05,81.0,79.3,80.3,12344.0,65166.0
2000-03-02,79.8,80.2,79.1,79.7,7799.0,66892.0
2000-03-03,79.65,80.55,78.8,80.3,1032.0,66580.0
2000-03-06,79.9,80.8,79.7,80.45,7527.0,66593.0
2000-03-07,80.75,81.0,79.15,79.45,8350.0,66752.0
2000-03-08,78.8,79.2,78.15,78.95,9177.0,67068.0
2000-03-09,79.2,79.95,78.7,79.9,5656.0,66572.0
2000-03-10,79.85,80.3,79.0,79.15,5288.0,66718.0
2000-03-13,79.0,79.35,78.2,79.0,6048.0,67263.0
2000-03-14,79.75,81.0,79.7,80.3,11207.0,67277.0
2000-03-15,80.6,81.4,80.25,81.1,537.0,67729.0
2000-03-16,81.3,82.25,80.6,81.95,937.0,67780.0
2000-03-17,81.4,82.1,81.3,81.45,9573.0,67539.0
2000-03-20,81.2,81.9,80.6,80.75,7490.0,68249.0
2000-03-21,80.9,82.2,80.6,81.85,960.0,69324.0
2000-03-22,82.3,82.6,81.35,81.7,13173.0,68998.0
2000-03-23,81.45,81.85,81.0,81.8,2066.0,70155.0
2000-03-24,81.8,81.95,80.9,81.1,7538.0,69815.0
2000-03-27,80.0,80.3,79.5,80.25,8656.0,69046.0
2000-03-28,80.2,80.65,79.9,80.4,619.0,68700.0
2000-03-29,80.0,80.85,80.0,80.7,296.0,68468.0
2000-03-30,80.65,81.4,80.6,80.75,863.0,67412.0
2000-03-31,80.15,80.65,79.8,80.5,8596.0,69585.0
2000-04-03,79.4,80.3,78.8,80.25,816.0,71748.0
2000-04-04,79.7,80.2,79.2,79.3,7228.0,71752.0
2000-04-05,79.1,79.7,78.9,79.1,6404.0,72008.0
2000-04-06,77.6,77.6,76.2,76.35,19180.0,76380.0
2000-04-07,76.5,76.95,75.85,76.85,7931.0,76112.0
2000-04-10,77.25,77.7,76.6,77.55,7542.0,76601.0
2000-04-11,77.6,78.4,77.4,78.0,9036.0,71783.0
