Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2000-01-04,0.6659999999999999,0.6829999999999999,0.654,0.6778,28442.0,138511.0
2000-01-05,0.6659999999999999,0.6659999999999999,0.6655,0.6655,27290.0,137723.0
2000-01-06,0.6579999999999999,0.6829999999999999,0.655,0.6628,43336.0,131972.0
2000-01-07,0.6659999999999999,0.6709999999999999,0.6459999999999999,0.6475,38231.0,136256.0
2000-01-10,0.6505,0.652,0.6355,0.6472,37158.0,132240.0
2000-01-11,0.654,0.6679999999999999,0.6515,0.6675,30981.0,132786.0
2000-01-12,0.6609999999999999,0.69,0.6605,0.6847,32453.0,131152.0
2000-01-13,0.696,0.7,0.685,0.6928,32456.0,123699.0
2000-01-14,0.701,0.74,0.701,0.7381,43346.0,128569.0
2000-01-18,0.754,0.773,0.74,0.7704,63098.0,135751.0
2000-01-19,0.754,0.7979999999999999,0.754,0.7979999999999999,47756.0,135057.0
2000-01-20,0.795,0.8690000000000001,0.795,0.8646,66099.0,139032.0
2000-01-21,0.94,0.9774,0.895,0.935,70240.0,137263.0
2000-01-24,0.94,0.96,0.83,0.8635,66971.0,137548.0
2000-01-25,0.745,0.763,0.74,0.7521,42862.0,136417.0
2000-01-26,0.78,0.78,0.745,0.7475,42263.0,129886.0
2000-01-27,0.7559999999999999,0.76,0.726,0.7321,33127.0,131580.0
2000-01-28,0.735,0.7475,0.7225,0.7327,1919.0,134181.0
2000-01-31,0.725,0.7559999999999999,0.72,0.7434,8799.0,128568.0
2000-02-01,0.748,0.773,0.7465,0.7719,37862.0,129916.0
2000-02-02,0.7775,0.787,0.748,0.7553,41772.0,130453.0
2000-02-03,0.7625,0.794,0.74,0.779,38152.0,131762.0
2000-02-04,0.7825,0.797,0.769,0.7878,29517.0,131694.0
2000-02-07,0.782,0.7825,0.755,0.7581,38226.0,128334.0
2000-02-08,0.758,0.759,0.726,0.7284,3801.0,129429.0
2000-02-09,0.7275,0.752,0.725,0.746,36474.0,129629.0
2000-02-10,0.74,0.752,0.732,0.7446,45609.0,137335.0
2000-02-11,0.7495,0.755,0.73,0.7424,38547.0,137217.0
2000-02-14,0.748,0.758,0.7425,0.757,23668.0,137307.0
2000-02-15,0.758,0.759,0.745,0.752,39295.0,137634.0
2000-02-16,0.7559999999999999,0.765,0.742,0.7621,1940.0,135254.0
2000-02-17,0.75,0.753,0.74,0.7506,26911.0,134078.0
2000-02-18,0.75,0.7585,0.7440000000000001,0.7545,21318.0,135528.0
2000-02-22,0.74,0.753,0.7325,0.7487,32967.0,133226.0
2000-02-23,0.742,0.763,0.741,0.7613,37774.0,132014.0
2000-02-24,0.76,0.7809999999999999,0.759,0.7802,42895.0,135769.0
2000-02-25,0.7759999999999999,0.835,0.7135,0.8288,50061.0,132406.0
2000-02-28,0.818,0.83,0.8025,0.8167,45993.0,127331.0
2000-02-29,0.7635,0.7725,0.7605,0.7645,52729.0,118614.0
2000-03-01,0.7705,0.7995,0.762,0.7967,19781.0,116574.0
2000-03-02,0.787,0.807,0.785,0.7946,21217.0,117045.0
2000-03-03,0.8,0.8025,0.7785,0.7889,23963.0,116640.0
2000-03-06,0.7929999999999999,0.8,0.7815,0.7945,21694.0,115376.0
2000-03-07,0.805,0.826,0.805,0.8238,28509.0,116206.0
2000-03-08,0.8,0.81,0.7475,0.7531,40949.0,113299.0
2000-03-09,0.7625,0.7705,0.722,0.7646,36559.0,112973.0
2000-03-10,0.76,0.764,0.745,0.7454,10897.0,112514.0
2000-03-13,0.742,0.7609999999999999,0.741,0.7545,17348.0,112319.0
2000-03-14,0.75,0.755,0.7340000000000001,0.7368,32030.0,112853.0
2000-03-15,0.7295,0.73,0.711,0.7171,15536.0,111600.0
2000-03-16,0.705,0.728,0.7035,0.7203,30666.0,111276.0
2000-03-17,0.721,0.7285,0.715,0.7172,21084.0,111426.0
2000-03-20,0.71,0.7115,0.679,0.6808,18011.0,110209.0
