Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2000-01-03,122.25,124.0,116.1,116.5,1296.0,43996.0
2000-01-04,116.25,120.5,115.75,116.25,5502.0,41324.0
2000-01-06,119.0,121.4,116.5,116.85,6185.0,46941.0
2000-01-07,117.25,117.75,113.8,114.15,8318.0,46733.0
2000-01-10,123.5,126.0,116.7,117.55,9233.0,47462.0
2000-01-11,115.5,118.25,115.5,117.8,4742.0,47234.0
2000-01-12,117.8,120.5,116.9,118.95,5184.0,43597.0
2000-01-13,119.25,120.0,117.5,118.55,5566.0,47824.0
2000-01-14,117.75,120.25,112.25,112.55,13087.0,48630.0
2000-01-18,111.75,118.25,110.6,115.75,9071.0,48166.0
2000-01-19,111.75,118.0,111.75,116.7,9073.0,48464.0
2000-01-20,118.25,118.8,111.7,112.0,11822.0,48129.0
2000-01-21,112.0,113.5,110.8,111.2,8412.0,47881.0
2000-01-24,110.95,114.4,110.95,111.9,8347.0,48383.0
2000-01-25,111.6,113.7,111.6,112.85,6298.0,48154.0
2000-01-26,112.5,115.3,111.9,115.15,8081.0,48426.0
2000-01-27,114.75,116.4,112.8,114.6,8055.0,48237.0
2000-01-28,115.1,115.4,113.7,114.7,8745.0,48600.0
2000-01-31,113.75,114.0,110.5,111.1,6857.0,43256.0
2000-02-01,110.5,112.75,109.8,111.65,9552.0,48679.0
2000-02-02,112.75,114.25,111.75,112.25,8968.0,49690.0
2000-02-03,111.25,113.5,111.25,112.95,7163.0,49113.0
2000-02-04,112.5,114.5,112.5,112.9,6581.0,49174.0
2000-02-07,114.0,114.25,111.25,111.7,10148.0,50268.0
2000-02-08,112.25,112.4,108.5,108.55,17889.0,51771.0
2000-02-09,108.55,109.4,106.9,107.7,12451.0,52246.0
2000-02-10,108.0,109.0,107.3,108.75,9923.0,52451.0
2000-02-11,111.75,113.5,111.2,111.55,10801.0,50433.0
2000-02-14,110.5,110.5,107.1,107.75,15230.0,50796.0
2000-02-15,108.5,109.4,108.0,108.65,13035.0,50768.0
2000-02-16,108.0,109.75,107.5,107.55,18998.0,51259.0
2000-02-17,108.0,108.5,107.0,108.05,16217.0,52767.0
2000-02-18,108.5,109.0,105.8,106.15,9825.0,51972.0
2000-02-22,105.25,106.3,104.3,104.35,10611.0,51415.0
2000-02-23,104.5,105.45,103.7,104.75,10180.0,51323.0
2000-02-24,104.5,104.9,103.0,103.15,7235.0,49137.0
2000-02-25,103.0,103.3,98.4,99.35,16212.0,49695.0
2000-02-28,99.0,102.2,99.0,102.1,632.0,50421.0
2000-02-29,103.0,104.0,100.25,100.4,11593.0,49722.0
2000-03-01,101.25,102.5,100.8,101.9,7075.0,49267.0
2000-03-02,103.0,106.25,103.0,105.85,9153.0,48916.0
2000-03-03,105.5,106.5,104.3,105.4,7566.0,49112.0
2000-03-06,105.0,107.5,105.0,106.8,6822.0,49024.0
2000-03-07,108.5,109.4,107.55,108.75,8612.0,48844.0
2000-03-08,108.7,108.7,106.5,108.0,2272.0,49320.0
2000-03-09,109.0,110.25,107.25,107.7,7564.0,50096.0
2000-03-10,108.0,108.25,105.0,106.45,5951.0,50377.0
2000-03-13,106.5,107.3,105.25,106.4,3431.0,50425.0
2000-03-14,107.0,107.5,102.3,102.75,9775.0,51111.0
2000-03-15,103.25,103.5,101.25,103.15,7606.0,50874.0
2000-03-16,103.75,107.15,103.75,106.65,9639.0,50366.0
2000-03-17,106.25,106.55,105.1,106.35,9553.0,50717.0
2000-03-20,105.25,105.5,102.5,103.25,6951.0,51436.0
2000-03-21,104.0,104.4,103.5,104.2,2414.0,51493.0
2000-03-22,104.5,105.9,104.5,105.8,5616.0,50509.0
2000-03-23,105.75,107.0,101.5,102.1,12545.0,51174.0
2000-03-24,103.0,103.25,101.05,103.15,6050.0,51108.0
2000-03-27,102.75,103.25,101.35,103.15,344.0,51179.0
2000-03-28,104.0,105.3,103.8,104.5,5846.0,51627.0
2000-03-29,104.75,105.25,103.5,103.9,5398.0,51532.0
2000-03-30,103.8,104.4,103.25,103.5,4392.0,51518.0
2000-03-31,103.5,104.6,102.0,103.7,8019.0,52478.0
