Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2000-01-03,277.0,277.5,272.5,274.25,4972.0,62757.0
2000-01-04,273.25,274.25,270.25,274.0,5642.0,63463.0
2000-01-05,273.75,276.5,272.5,276.25,7394.0,63128.0
2000-01-06,276.0,277.25,274.5,275.0,6378.0,62370.0
2000-01-07,274.0,278.0,273.0,277.75,6300.0,63251.0
2000-01-10,276.0,282.0,275.5,279.75,7654.0,63745.0
2000-01-11,278.5,282.0,278.5,280.0,10092.0,64462.0
2000-01-12,285.0,287.5,282.5,285.75,10005.0,64424.0
2000-01-13,284.5,291.0,284.25,290.0,11284.0,64505.0
2000-01-14,290.0,296.0,288.75,293.0,12880.0,64722.0
2000-01-18,290.0,293.5,289.5,292.0,9812.0,65053.0
2000-01-19,292.25,294.0,290.5,293.5,7237.0,65215.0
2000-01-20,292.5,293.5,290.0,292.75,6848.0,64928.0
2000-01-21,293.0,293.75,289.5,293.0,5171.0,64213.0
2000-01-24,296.0,297.0,293.5,294.5,8119.0,63736.0
2000-01-25,294.0,294.5,292.0,293.5,4878.0,63341.0
2000-01-26,291.5,291.5,288.0,288.25,8391.0,64073.0
2000-01-27,287.0,291.5,286.0,290.75,10291.0,65420.0
2000-01-28,290.5,290.75,286.5,287.75,7503.0,63905.0
2000-01-31,284.0,284.5,282.5,283.5,7059.0,64190.0
2000-02-01,284.0,285.0,282.25,285.0,6261.0,64967.0
2000-02-02,285.0,286.5,284.25,285.0,4378.0,64580.0
2000-02-03,284.0,284.0,281.0,281.25,8655.0,64302.0
2000-02-04,279.0,285.0,278.0,284.75,8632.0,64908.0
2000-02-07,286.5,288.0,285.0,286.75,6375.0,64928.0
2000-02-08,285.5,288.0,284.75,287.25,9498.0,64527.0
2000-02-09,286.5,294.5,286.0,293.25,11303.0,65251.0
2000-02-10,295.0,302.0,294.25,301.25,19506.0,67950.0
2000-02-11,300.25,302.5,297.25,298.5,16635.0,67348.0
2000-02-14,300.0,302.5,297.5,299.25,14714.0,67953.0
2000-02-15,296.5,299.5,295.75,296.5,14288.0,67165.0
2000-02-16,296.5,298.0,294.0,295.75,12249.0,65868.0
2000-02-17,306.5,306.5,304.0,304.5,12867.0,68452.0
2000-02-18,303.0,306.5,303.0,305.75,8872.0,67944.0
2000-02-22,305.75,307.0,304.25,305.0,8341.0,65887.0
2000-02-23,302.0,302.5,297.5,298.0,17231.0,65481.0
2000-02-24,297.5,299.5,296.0,297.5,11552.0,64239.0
2000-02-25,297.5,297.5,288.5,289.0,22181.0,64790.0
2000-02-28,288.0,290.0,285.0,286.25,19447.0,63934.0
2000-02-29,285.25,289.5,285.25,288.0,11624.0,62638.0
2000-03-01,287.75,291.0,286.5,287.75,9150.0,63046.0
2000-03-02,285.5,287.0,283.0,286.0,8526.0,63949.0
2000-03-03,285.75,288.0,285.25,286.75,6011.0,63649.0
2000-03-06,286.0,289.25,285.0,288.25,4593.0,63838.0
2000-03-07,288.5,290.5,287.0,287.75,3602.0,63459.0
2000-03-08,287.0,291.0,286.75,290.25,3857.0,63468.0
2000-03-09,292.5,295.5,292.0,293.0,6100.0,63222.0
2000-03-10,292.75,293.5,287.5,289.0,7006.0,63391.0
2000-03-13,291.5,292.5,290.25,291.5,3413.0,63285.0
2000-03-14,292.5,300.0,292.5,299.0,11716.0,62890.0
