Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2000-01-03,69.65,69.9,69.4,69.7,9499.0,111559.0
2000-01-04,69.375,69.375,68.8,69.075,16088.0,112198.0
2000-01-05,69.0,69.225,68.725,68.975,12122.0,113289.0
2000-01-06,68.85,70.25,68.85,70.075,23567.0,117738.0
2000-01-07,70.375,71.175,70.325,70.875,29938.0,124994.0
2000-01-10,71.05,71.075,70.75,70.775,15786.0,126378.0
2000-01-11,70.95,71.475,70.7,70.875,27182.0,129499.0
2000-01-12,70.875,71.075,70.4,70.425,22215.0,130926.0
2000-01-13,70.35,70.775,70.025,70.6,23628.0,132867.0
2000-01-14,70.55,70.85,70.325,70.825,10155.0,132738.0
2000-01-18,70.7,70.85,70.275,70.7,16224.0,135148.0
2000-01-19,72.85,72.85,72.025,72.075,19887.0,134938.0
2000-01-20,71.9,72.2,71.7,71.9,14466.0,134916.0
2000-01-21,71.925,72.15,71.85,72.025,13640.0,134273.0
2000-01-24,72.025,72.45,71.8,72.025,10343.0,135332.0
2000-01-25,72.1,72.3,71.825,72.175,14213.0,135080.0
2000-01-26,72.175,72.225,71.85,72.15,14948.0,135992.0
2000-01-27,72.075,72.425,71.2,71.375,23089.0,134095.0
2000-01-28,71.25,71.8,71.0,71.575,13675.0,133869.0
2000-01-31,71.5,72.15,71.2,72.05,16625.0,132540.0
2000-02-01,72.075,72.85,72.075,72.8,22098.0,132697.0
2000-02-02,72.7,72.775,71.675,71.975,25492.0,133188.0
2000-02-03,71.85,72.45,71.725,72.425,18757.0,132780.0
2000-02-04,72.7,72.8,72.25,72.425,16257.0,131316.0
2000-02-07,72.55,72.9,72.38,72.75,18212.0,132639.0
2000-02-08,72.6,72.62,72.03,72.07,14904.0,130406.0
2000-02-09,71.9,72.05,71.5,71.68,15586.0,129591.0
2000-02-10,71.68,71.72,71.22,71.3,16851.0,128135.0
2000-02-11,71.35,71.57,70.85,71.03,16299.0,125862.0
2000-02-14,70.95,71.05,70.43,70.62,18927.0,122685.0
2000-02-15,70.68,70.93,70.45,70.62,15760.0,121429.0
2000-02-16,70.6,70.95,70.6,70.88,8908.0,120859.0
2000-02-17,70.85,71.2,70.6,71.12,11171.0,120892.0
2000-02-18,71.1,71.18,70.8,70.9,6416.0,119933.0
2000-02-22,70.38,70.6,69.8,69.88,27227.0,119818.0
2000-02-23,69.78,70.4,69.75,70.35,15130.0,118407.0
2000-02-24,70.4,71.0,70.25,70.97,15721.0,117360.0
2000-02-25,71.05,71.68,71.05,71.32,16947.0,114397.0
2000-02-28,71.45,71.68,71.18,71.47,11413.0,113858.0
2000-02-29,71.4,71.43,71.05,71.18,11448.0,113345.0
2000-03-01,71.12,72.03,71.12,71.97,20514.0,113802.0
2000-03-02,72.45,72.82,72.25,72.53,19507.0,114918.0
2000-03-03,72.6,73.0,72.35,72.97,14073.0,115744.0
2000-03-06,72.95,73.07,72.53,72.85,13462.0,118319.0
2000-03-07,72.8,72.85,72.28,72.45,13297.0,117828.0
2000-03-08,72.6,73.3,72.28,72.32,30936.0,120344.0
2000-03-09,72.5,72.75,72.2,72.55,13929.0,121839.0
2000-03-10,72.72,72.82,72.45,72.6,12904.0,123242.0
2000-03-13,72.75,72.8,72.22,72.45,12932.0,124238.0
2000-03-14,72.6,72.7,72.3,72.47,10698.0,125262.0
2000-03-15,72.4,72.85,72.38,72.78,12333.0,126406.0
2000-03-16,72.8,72.88,72.1,72.12,15475.0,126818.0
2000-03-17,72.0,72.05,71.75,71.93,10488.0,126771.0
2000-03-20,72.4,72.68,72.1,72.2,12276.0,127176.0
2000-03-21,72.3,72.57,72.22,72.45,9033.0,127258.0
2000-03-22,72.8,73.4,72.75,73.12,21614.0,127611.0
2000-03-23,69.3,69.55,69.2,69.4,10865.0,127597.0
2000-03-24,69.35,69.57,69.15,69.4,8751.0,127872.0
2000-03-27,69.5,69.78,69.5,69.72,11805.0,128302.0
2000-03-28,69.8,70.2,69.7,69.95,17220.0,129091.0
2000-03-29,70.25,70.25,68.7,68.78,32745.0,128326.0
2000-03-30,68.85,68.95,68.55,68.8,20543.0,126373.0
2000-03-31,68.8,69.18,68.8,68.97,10858.0,125143.0
2000-04-03,69.05,69.2,68.78,69.15,6624.0,125367.0
2000-04-04,69.1,69.25,68.22,68.68,16277.0,124966.0
2000-04-05,68.6,69.15,68.55,69.1,14530.0,124564.0
2000-04-06,69.15,69.25,68.72,68.75,12576.0,124789.0
