Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2000-01-04,213.75,214.75,210.75,213.5,16789.0,118648.0
2000-01-05,215.5,215.75,211.75,213.0,31712.0,115536.0
2000-01-06,209.5,211.25,205.0,211.25,30404.0,115608.0
2000-01-07,206.75,209.25,204.0,205.25,45092.0,116269.0
2000-01-10,200.5,202.5,195.75,196.0,39979.0,113431.0
2000-01-11,200.0,203.0,199.0,201.5,50067.0,116920.0
2000-01-12,202.0,203.25,201.0,201.5,47320.0,104781.0
2000-01-13,206.0,209.25,203.5,208.25,37571.0,102595.0
2000-01-14,207.0,214.5,207.0,213.75,24614.0,103427.0
2000-01-18,221.5,222.75,217.75,221.0,23597.0,108964.0
2000-01-19,223.5,223.75,218.5,221.25,36712.0,114281.0
2000-01-20,224.0,231.0,223.75,227.75,25798.0,113631.0
2000-01-21,239.0,243.0,234.75,235.25,36831.0,117846.0
2000-01-24,237.0,239.0,224.5,225.5,36543.0,118260.0
2000-01-25,223.5,230.0,219.25,226.0,34493.0,117155.0
2000-01-26,234.0,234.0,226.0,227.5,29827.0,118111.0
2000-01-27,224.0,225.5,220.0,222.0,24507.0,118774.0
2000-01-28,218.5,222.0,217.75,218.25,30092.0,123130.0
2000-01-31,215.25,219.5,212.25,219.5,22201.0,119391.0
2000-02-01,220.5,223.0,219.5,221.25,25992.0,120890.0
2000-02-02,225.0,227.5,221.5,222.0,20522.0,121637.0
2000-02-04,227.5,229.0,224.0,225.5,31519.0,127352.0
2000-02-07,227.5,228.0,225.5,227.0,27736.0,127550.0
2000-02-08,222.75,225.0,221.0,222.0,22288.0,122775.0
2000-02-09,219.25,221.5,216.25,220.75,44446.0,123915.0
2000-02-10,221.75,222.0,220.75,220.75,45319.0,118407.0
2000-02-11,218.0,220.25,215.75,217.5,35432.0,109309.0
2000-02-14,218.0,221.25,218.0,220.0,21129.0,109411.0
2000-02-15,222.25,224.0,218.5,219.75,14108.0,107675.0
2000-02-16,220.25,225.5,220.25,223.5,18896.0,106710.0
2000-02-17,224.0,224.0,219.75,220.5,19819.0,106199.0
2000-02-18,221.5,222.0,219.0,219.75,15644.0,106810.0
2000-02-22,216.25,216.25,210.5,213.0,18365.0,104767.0
2000-02-23,215.0,217.75,214.5,217.5,26850.0,104121.0
2000-02-24,219.0,221.5,217.75,219.25,22209.0,105942.0
2000-02-25,219.75,229.0,219.75,227.25,19459.0,104484.0
2000-02-28,226.0,227.5,224.0,226.75,26376.0,112645.0
2000-02-29,226.75,230.0,225.5,230.0,18282.0,107610.0
2000-03-01,230.5,235.0,229.75,233.75,22540.0,107473.0
2000-03-02,235.5,240.5,232.25,238.0,27771.0,109131.0
2000-03-06,235.5,244.75,235.5,241.25,23675.0,112227.0
2000-03-07,244.0,253.5,244.0,253.0,25784.0,103351.0
2000-03-08,254.0,254.75,242.5,248.75,34438.0,101525.0
2000-03-09,241.0,243.5,233.0,234.0,37957.0,103090.0
2000-03-10,236.0,236.0,230.5,234.0,41839.0,99045.0
2000-03-13,222.5,226.0,221.25,222.75,26336.0,89202.0
2000-03-14,223.5,225.0,217.75,218.25,15565.0,91359.0
2000-03-15,219.25,220.5,210.25,211.0,19686.0,89391.0
2000-03-16,209.5,214.75,205.0,214.5,27891.0,87603.0
2000-03-17,215.5,218.75,215.0,217.5,28561.0,88380.0
2000-03-20,214.0,216.75,209.0,209.25,19008.0,88890.0
2000-03-21,207.0,211.25,206.0,209.0,32229.0,96441.0
2000-03-22,207.0,212.0,206.0,210.25,23770.0,94519.0
2000-03-23,206.75,210.0,205.5,208.25,23612.0,94533.0
2000-03-24,211.0,215.5,210.75,213.75,19533.0,97794.0
2000-03-27,211.5,212.0,208.75,211.0,19098.0,96809.0
2000-03-28,211.0,214.0,209.5,211.25,15367.0,97711.0
2000-03-29,211.5,211.5,203.0,203.5,14641.0,98142.0
2000-03-30,203.25,205.0,202.0,204.0,30594.0,101151.0
2000-03-31,204.0,207.75,203.0,204.0,20511.0,101767.0
2000-04-04,203.5,203.5,199.5,201.25,20129.0,102094.0
2000-04-05,197.0,205.0,196.75,205.0,21870.0,103693.0
2000-04-06,207.0,209.75,206.0,207.0,35065.0,103431.0
2000-04-07,205.0,205.5,201.5,204.5,24029.0,100852.0
2000-04-10,198.5,202.5,198.25,200.75,21290.0,99173.0
2000-04-11,200.0,204.5,199.25,203.75,34025.0,97664.0
2000-04-12,208.0,210.5,203.75,203.75,48641.0,91621.0
2000-04-13,199.0,200.75,197.0,199.25,42230.0,84420.0
2000-04-14,198.0,200.75,197.0,199.0,23596.0,88019.0
2000-04-17,196.5,201.25,194.0,201.0,17192.0,89386.0
2000-04-18,204.5,205.75,202.25,205.0,20392.0,89337.0
2000-04-19,206.0,209.75,204.0,209.5,25970.0,89002.0
2000-04-20,212.0,212.25,209.25,210.75,30943.0,87990.0
2000-04-25,210.5,211.0,206.75,207.0,15803.0,90902.0
2000-04-26,204.5,206.25,201.5,206.0,13814.0,90708.0
2000-04-27,204.5,209.25,203.5,208.5,26812.0,94694.0
2000-04-28,211.0,212.0,209.75,211.5,26297.0,92402.0
2000-05-02,212.0,216.25,208.5,216.0,27209.0,95518.0
2000-05-04,212.5,213.25,208.5,212.0,29219.0,96989.0
2000-05-05,211.0,211.0,206.5,207.5,34595.0,95669.0
2000-05-08,206.5,211.0,205.75,211.0,23008.0,92354.0
2000-05-09,210.0,218.75,209.5,217.75,28482.0,92354.0
2000-05-10,217.25,224.0,217.0,223.5,29197.0,90726.0
2000-05-11,220.0,226.5,218.0,226.0,42387.0,92475.0
2000-05-12,228.5,231.0,227.0,229.0,40902.0,93695.0
2000-05-15,226.5,228.0,221.75,226.75,15112.0,93821.0
2000-05-16,227.75,228.75,225.5,227.0,20556.0,91918.0
2000-05-17,226.0,227.0,223.25,226.5,15310.0,92804.0
2000-05-18,228.0,233.5,228.0,231.5,22127.0,92784.0
2000-05-19,234.5,237.0,231.0,233.0,26734.0,94858.0
2000-05-22,231.25,233.0,224.5,225.25,21338.0,102318.0
2000-05-23,223.5,225.0,220.5,223.25,22808.0,108843.0
2000-05-24,225.0,228.75,225.0,228.75,17113.0,105544.0
2000-05-25,233.0,233.0,229.5,232.0,19326.0,104448.0
2000-05-26,235.0,235.5,229.5,231.25,19376.0,98779.0
2000-05-30,228.0,230.5,226.5,230.5,19745.0,99475.0
2000-05-31,230.0,233.0,227.75,228.5,20746.0,100689.0
2000-06-01,224.5,229.5,224.5,228.25,24439.0,101919.0
2000-06-02,231.75,232.25,227.5,231.5,24779.0,108657.0
2000-06-05,232.75,233.25,225.25,225.75,22903.0,107357.0
2000-06-06,225.75,232.5,225.75,231.5,35962.0,110483.0
2000-06-07,229.5,230.0,225.25,227.25,27581.0,111377.0
2000-06-08,230.5,232.5,229.5,232.5,35547.0,116140.0
2000-06-09,229.0,233.0,228.25,232.25,32797.0,119132.0
2000-06-12,235.75,237.75,232.25,232.25,43507.0,115447.0
2000-06-13,234.0,238.5,234.0,238.0,31061.0,106953.0
2000-06-14,237.0,238.25,234.5,238.25,29224.0,113097.0
