Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2000-01-03,352.0,354.8,350.2,350.3,653.0,2903.0
2000-01-04,351.5,358.0,349.0,357.9,1165.0,3024.0
2000-01-05,355.8,356.2,350.6,351.5,1164.0,3209.0
2000-01-06,353.0,353.0,347.1,347.2,724.0,3174.0
2000-01-07,347.6,352.0,347.6,348.8,680.0,3261.0
2000-01-10,349.4,352.4,346.6,350.1,988.0,3254.0
2000-01-11,351.8,353.9,349.3,351.7,988.0,3259.0
2000-01-12,350.5,351.0,345.2,346.7,1522.0,3252.0
2000-01-13,345.2,347.5,342.7,344.5,1268.0,3154.0
2000-01-14,343.9,344.5,339.6,340.3,1064.0,3017.0
2000-01-18,336.7,338.2,333.5,333.8,947.0,3002.0
2000-01-19,332.0,336.3,329.7,334.8,1176.0,2909.0
2000-01-20,333.5,335.0,331.4,331.6,699.0,2840.0
2000-01-21,328.0,331.0,327.0,330.5,1049.0,2939.0
2000-01-24,328.7,333.5,327.6,331.5,587.0,2913.0
2000-01-25,330.0,331.5,327.0,328.3,810.0,2904.0
2000-01-26,325.5,332.5,323.2,332.0,1317.0,2817.0
2000-01-27,342.0,342.0,342.0,342.0,885.0,2817.0
2000-01-28,349.0,349.8,341.3,345.6,1344.0,2719.0
2000-01-31,347.0,349.0,345.5,346.6,841.0,2688.0
2000-02-01,345.5,345.5,341.7,342.9,762.0,2776.0
2000-02-02,341.0,347.5,340.1,347.2,852.0,2777.0
2000-02-03,348.5,357.2,348.0,357.2,1846.0,3194.0
2000-02-04,357.9,358.7,352.2,353.2,826.0,3215.0
2000-02-07,354.5,354.5,350.0,350.6,387.0,3219.0
2000-02-08,349.0,355.0,346.5,353.7,1324.0,3179.0
2000-02-09,353.0,355.6,349.1,351.3,1180.0,3295.0
2000-02-10,350.5,353.0,347.2,351.5,703.0,3250.0
2000-02-11,350.0,360.5,349.7,356.4,1384.0,3425.0
2000-02-14,355.0,357.0,350.6,351.8,745.0,3414.0
2000-02-15,349.0,349.5,344.5,345.2,1167.0,3312.0
2000-02-16,348.0,350.1,338.1,340.3,1324.0,3279.0
2000-02-17,341.0,342.7,338.2,339.3,691.0,3329.0
2000-02-18,338.5,342.0,338.5,340.0,353.0,3199.0
2000-02-22,337.5,338.5,332.7,332.8,1172.0,3145.0
2000-02-23,332.0,334.7,330.9,332.2,1198.0,2962.0
2000-02-24,333.0,340.0,333.0,335.0,955.0,3013.0
2000-02-25,334.0,336.5,332.6,334.5,693.0,2854.0
2000-02-28,336.0,338.8,334.4,336.0,847.0,2961.0
2000-02-29,337.5,339.3,329.5,330.2,1077.0,2811.0
2000-03-01,335.0,342.8,333.6,340.2,1553.0,2860.0
2000-03-02,345.5,346.0,341.7,341.9,543.0,2837.0
2000-03-03,342.7,346.6,342.2,343.5,676.0,2814.0
2000-03-06,344.7,344.7,338.4,340.8,817.0,2817.0
