Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2006-08-18,70.0,70.0,70.0,70.0,,
2006-08-21,70.0,70.0,70.0,70.0,,
2006-08-22,70.0,70.0,70.0,70.0,,
2006-08-23,70.5,70.5,70.5,70.5,,
2006-08-24,70.5,70.5,70.5,70.5,,
2006-08-25,70.0,70.0,70.0,70.0,,
2006-08-28,70.0,70.0,70.0,70.0,,
2006-08-29,69.1,69.1,69.1,69.1,,
2006-08-30,67.9,67.9,67.9,67.9,,
2006-08-31,68.45,68.45,68.45,68.45,,
2006-09-01,67.5,67.5,67.5,67.5,,
2006-09-04,67.25,67.25,67.25,67.25,,
2006-09-05,67.0,67.0,67.0,67.0,,
2006-09-06,67.2,67.2,67.2,67.2,,
2006-09-07,66.95,66.95,66.95,66.95,,
2006-09-08,65.6,65.6,65.6,65.6,,
2006-09-11,64.5,64.5,64.5,64.5,,
2006-09-12,64.75,64.75,64.75,64.75,,
2006-09-13,65.0,65.0,65.0,65.0,,
2006-09-14,65.15,65.15,65.15,65.15,,
2006-09-15,65.25,65.25,65.25,65.25,,
2006-09-18,65.0,65.0,65.0,65.0,,
2006-09-19,65.1,65.1,65.1,65.1,,
2006-09-20,65.0,65.0,65.0,65.0,,
2006-09-21,65.25,65.25,65.25,65.25,,
2006-09-22,65.05,65.05,65.05,65.05,,
2006-09-25,63.75,63.75,63.75,63.75,,
2006-09-26,63.75,63.75,63.75,63.75,,
2006-09-27,64.6,64.6,64.6,64.6,,
2006-09-28,64.0,64.0,64.0,64.0,,
2006-09-29,66.75,66.75,66.75,66.75,,
2006-10-02,65.0,65.0,65.0,65.0,,
2006-10-03,63.7,63.7,63.7,63.7,,
2006-10-04,63.7,63.7,63.7,63.7,,
2006-10-05,63.5,63.5,63.5,63.5,,
2006-10-06,63.85,63.85,63.85,63.85,,
2006-10-09,64.4,64.4,64.4,64.4,,
2006-10-10,64.95,64.95,64.95,64.95,10.0,195.0
2006-10-11,64.75,64.75,64.75,64.75,,
2006-10-12,65.3,65.3,65.3,65.3,,
2006-10-13,65.3,65.3,65.3,65.3,,
2006-10-16,65.3,65.3,65.3,65.3,,
2006-10-17,66.25,66.25,66.25,66.25,,
2006-10-18,66.15,66.15,66.15,66.15,,
2006-10-19,66.5,66.5,66.5,66.5,,
2006-10-20,66.5,66.5,66.5,66.5,,
2006-10-23,66.8,66.8,66.8,66.8,,
2006-10-24,67.0,67.0,67.0,67.0,,
2006-10-25,66.5,66.5,66.5,66.5,,
2006-10-26,66.5,66.5,66.5,66.5,,
2006-10-27,68.55,68.55,68.55,68.55,,
2006-10-30,68.55,68.55,68.55,68.55,,
2006-10-31,67.75,67.75,67.75,67.75,,
2006-11-01,68.25,68.25,68.25,68.25,,
2006-11-02,68.75,68.75,68.75,68.75,,
2006-11-03,68.75,68.75,68.75,68.75,,
2006-11-06,68.75,68.75,68.75,68.75,,
2006-11-07,68.5,68.5,68.5,68.5,,
2006-11-08,68.25,68.25,68.25,68.25,,
2006-11-09,68.1,68.1,68.1,68.1,,
2006-11-10,67.75,67.75,67.75,67.75,,
2006-11-13,67.6,67.6,67.6,67.6,,
2006-11-14,67.4,67.4,67.4,67.4,,
2006-11-15,67.25,67.25,67.25,67.25,,
2006-11-16,67.14,67.14,67.14,67.14,,
2006-11-17,67.2,67.2,67.2,67.2,,
2006-11-20,67.0,67.0,67.0,67.0,,
2006-11-21,67.0,67.0,67.0,67.0,,
2006-11-22,67.0,67.0,67.0,67.0,,
2006-11-23,67.0,67.0,67.0,67.0,,
2006-11-24,66.2,66.2,66.2,66.2,,
2006-11-27,66.5,66.5,66.5,66.5,,
2006-11-28,66.75,66.75,66.75,66.75,,
2006-11-29,67.3,67.3,67.3,67.3,,
2006-11-30,68.75,68.75,68.75,68.75,,
2006-12-01,67.0,67.0,67.0,67.0,,
2006-12-04,69.25,69.25,69.25,69.25,,
2006-12-05,68.55,68.55,68.55,68.55,,
2006-12-06,68.5,68.5,68.5,68.5,,
2006-12-07,68.0,68.0,68.0,68.0,,
2006-12-08,68.35,68.35,68.35,68.35,,
2006-12-11,68.35,68.35,68.35,68.35,,
2006-12-12,68.3,68.3,68.3,68.3,,
2006-12-13,68.1,68.1,68.1,68.1,,
2006-12-14,68.45,68.45,68.45,68.45,,
2006-12-15,68.3,68.3,68.3,68.3,,
2006-12-18,68.05,68.05,68.05,68.05,,
2006-12-19,68.05,68.05,68.05,68.05,,
2006-12-20,68.05,68.05,68.05,68.05,,
2006-12-21,68.0,68.0,68.0,68.0,,
2006-12-22,68.0,68.0,68.0,68.0,,
2006-12-26,68.0,68.0,68.0,68.0,,
2006-12-27,67.95,67.95,67.95,67.95,,
2006-12-28,68.0,68.0,68.0,68.0,,
2006-12-29,68.0,68.0,68.0,68.0,,
2007-01-02,67.5,67.5,67.5,67.5,,
2007-01-03,67.0,67.0,67.0,67.0,,
2007-01-04,65.75,65.75,65.75,65.75,,
2007-01-05,66.25,66.25,66.25,66.25,,
2007-01-08,66.25,66.25,66.25,66.25,,
2007-01-09,66.35,66.35,66.35,66.35,,
2007-01-10,66.25,66.25,66.25,66.25,,
2007-01-11,66.6,66.6,66.6,66.6,,
2007-01-12,67.0,67.0,67.0,67.0,,
2007-01-15,66.8,66.8,66.8,66.8,,
2007-01-16,67.25,67.25,67.25,67.25,,
2007-01-17,67.75,67.75,67.75,67.75,,
2007-01-18,67.6,67.6,67.6,67.6,,
2007-01-19,67.75,67.75,67.75,67.75,,
2007-01-22,68.5,68.5,68.5,68.5,,
2007-01-23,68.7,68.7,68.7,68.7,,
