Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2000-01-03,320.0,321.0,315.0,316.5,2470,20284.0
2000-01-04,316.0,317.5,313.0,316.25,3856,20473.0
2000-01-05,317.0,317.75,315.5,317.0,1944,20555.0
2000-01-06,317.0,317.75,315.5,315.75,3894,20432.0
2000-01-07,315.0,317.75,314.75,317.5,2798,20633.0
2000-01-10,316.0,319.75,315.5,318.5,1850,20132.0
2000-01-11,320.0,320.25,317.5,318.25,3440,20222.0
2000-01-12,320.0,323.0,320.0,322.75,5101,19834.0
2000-01-13,322.0,327.0,322.0,326.0,4717,21121.0
2000-01-14,325.5,331.0,324.5,325.0,7751,21575.0
2000-01-18,322.0,323.75,321.0,323.0,3849,22008.0
2000-01-19,323.25,328.0,323.0,327.5,3759,21779.0
2000-01-20,326.5,328.0,325.0,326.5,2725,21993.0
2000-01-21,326.5,327.5,324.5,326.0,2244,22209.0
2000-01-24,327.5,329.5,326.5,328.0,2535,22452.0
2000-01-25,327.0,327.75,326.25,326.75,2588,22533.0
2000-01-26,324.5,325.5,322.25,323.25,2367,22549.0
2000-01-27,322.0,325.0,321.0,324.5,2640,22691.0
2000-01-28,325.0,325.0,321.5,322.25,2889,22573.0
2000-01-31,319.5,320.0,317.5,318.75,2878,22671.0
2000-02-01,319.0,319.75,316.0,317.75,3255,22759.0
2000-02-02,318.0,319.75,316.0,316.25,3861,22489.0
2000-02-03,315.5,317.0,310.5,313.25,5599,22739.0
2000-02-04,311.0,316.5,310.5,315.25,3918,23530.0
2000-02-07,316.5,317.75,315.75,317.25,2128,23392.0
2000-02-08,316.5,318.5,315.5,317.75,2464,23527.0
2000-02-09,316.5,321.5,316.25,321.25,2808,23832.0
2000-02-10,323.0,329.5,322.0,328.5,6563,24208.0
2000-02-11,327.5,329.0,324.0,324.25,5410,24169.0
2000-02-14,325.25,327.5,323.5,324.0,4005,24681.0
2000-02-15,323.0,325.5,322.5,324.0,3714,24276.0
2000-02-16,324.5,326.0,322.5,323.5,3315,23014.0
2000-02-17,323.5,323.5,321.5,322.0,2611,22380.0
2000-02-18,321.0,323.0,320.5,322.75,2517,22229.0
2000-02-22,323.0,324.0,321.25,321.75,5070,21299.0
2000-02-23,319.5,320.5,314.0,314.5,7351,19876.0
2000-02-24,325.0,326.75,324.25,326.5,5143,20054.0
2000-02-25,326.5,326.75,320.5,321.5,11450,21889.0
2000-02-28,321.5,321.75,317.0,317.5,10597,23139.0
2000-02-29,316.0,321.0,316.0,320.25,7097,23045.0
2000-03-01,320.0,323.5,319.75,321.0,2857,22282.0
2000-03-02,320.0,320.5,318.5,320.0,3425,22400.0
2000-03-03,320.0,321.5,319.5,321.0,1765,22094.0
2000-03-06,321.0,323.5,320.5,322.75,2694,22295.0
2000-03-07,324.0,324.0,321.0,321.25,2988,22678.0
2000-03-08,320.5,321.75,320.0,321.5,2469,22735.0
2000-03-09,325.0,327.0,322.25,323.0,2650,22876.0
2000-03-10,323.0,324.25,320.25,320.5,2992,22768.0
2000-03-13,321.5,323.5,321.5,322.75,1250,22617.0
2000-03-14,323.5,330.5,323.25,329.25,5058,23289.0
2000-03-15,329.0,329.5,326.0,326.25,3190,23413.0
2000-03-16,325.25,328.5,324.75,325.25,2610,23252.0
2000-03-17,328.0,330.0,325.5,327.75,4111,23436.0
2000-03-20,323.5,324.75,322.5,324.5,2144,23251.0
2000-03-21,324.0,324.5,320.0,321.5,2661,23198.0
2000-03-22,322.0,324.5,320.0,324.5,3853,23733.0
2000-03-23,323.0,323.5,320.0,320.25,3708,23611.0
2000-03-24,321.25,322.25,319.0,320.5,3706,23945.0
2000-03-27,321.5,323.0,320.5,322.0,2608,23550.0
2000-03-28,322.0,322.0,317.25,318.25,3200,23850.0
2000-03-29,318.0,319.0,316.5,317.5,3758,23829.0
2000-03-30,318.5,321.0,318.0,321.0,2196,24077.0
2000-03-31,324.0,327.0,322.5,327.0,5149,24932.0
2000-04-03,329.0,329.5,322.25,322.5,3267,24720.0
2000-04-04,322.5,323.0,319.0,321.25,3229,24168.0
2000-04-05,321.0,324.5,320.5,324.25,2591,23121.0
2000-04-06,322.5,323.75,321.5,322.5,3061,23369.0
2000-04-07,321.5,323.75,319.25,323.5,2174,23019.0
2000-04-10,321.5,322.5,320.5,321.25,2030,23243.0
2000-04-11,322.0,323.0,320.5,321.0,3040,23584.0
