Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2000-01-04,2.28,2.28,2.13,2.176,62354.0,239526.0
2000-01-05,2.28,2.28,2.168,2.168,57115.0,253834.0
2000-01-06,2.175,2.22,2.165,2.1959999999999997,40847.0,257933.0
2000-01-07,2.21,2.24,2.12,2.173,47111.0,260032.0
2000-01-10,2.155,2.255,2.155,2.2159999999999997,32736.0,262343.0
2000-01-11,2.25,2.265,2.205,2.26,39378.0,265456.0
2000-01-12,2.28,2.285,2.19,2.244,61692.0,264664.0
2000-01-13,2.28,2.29,2.235,2.252,45578.0,261234.0
2000-01-14,2.28,2.35,2.27,2.322,45492.0,208434.0
2000-01-18,2.36,2.39,2.335,2.383,43697.0,258525.0
2000-01-19,2.39,2.465,2.37,2.42,82819.0,270632.0
2000-01-20,2.47,2.58,2.417,2.559,106444.0,271906.0
2000-01-21,2.61,2.635,2.42,2.485,132261.0,276509.0
2000-01-24,2.53,2.57,2.49,2.528,73631.0,272934.0
2000-01-25,2.6,2.63,2.575,2.616,64815.0,275109.0
2000-01-26,2.66,2.67,2.5,2.523,110425.0,244007.0
2000-01-27,2.54,2.68,2.52,2.61,127788.0,230667.0
2000-01-28,2.56,2.66,2.495,2.532,87229.0,231432.0
2000-01-31,2.575,2.675,2.565,2.662,59219.0,212123.0
2000-02-01,2.69,2.745,2.635,2.699,74850.0,206824.0
2000-02-02,2.77,2.78,2.7,2.759,71544.0,167276.0
2000-02-03,2.71,2.775,2.63,2.659,97650.0,265115.0
2000-02-04,2.61,2.75,2.61,2.742,63371.0,270026.0
2000-02-07,2.69,2.71,2.55,2.56,47075.0,262093.0
2000-02-08,2.53,2.56,2.47,2.49,130141.0,260867.0
2000-02-09,2.52,2.57,2.52,2.54,47095.0,257907.0
2000-02-10,2.57,2.61,2.53,2.59,78746.0,260109.0
2000-02-11,2.62,2.66,2.56,2.57,81647.0,262645.0
2000-02-14,2.53,2.56,2.52,2.54,25132.0,251134.0
2000-02-15,2.56,2.62,2.55,2.62,57917.0,267720.0
2000-02-16,2.62,2.62,2.56,2.56,61749.0,268691.0
2000-02-17,2.59,2.67,2.59,2.67,72755.0,276696.0
2000-02-18,2.61,2.66,2.6,2.63,50542.0,276721.0
2000-02-22,2.56,2.57,2.49,2.52,83862.0,271734.0
2000-02-23,2.48,2.55,2.46,2.53,73748.0,277421.0
2000-02-24,2.53,2.56,2.51,2.55,95284.0,273147.0
2000-02-25,2.55,2.64,2.54,2.62,117869.0,259714.0
2000-02-28,2.59,2.72,2.59,2.69,68643.0,257064.0
2000-02-29,2.67,2.77,2.66,2.76,62377.0,264381.0
2000-03-01,2.74,2.84,2.72,2.82,57265.0,268906.0
2000-03-02,2.82,2.87,2.75,2.78,74606.0,273445.0
2000-03-03,2.76,2.83,2.75,2.83,47582.0,280132.0
2000-03-06,2.8,2.86,2.78,2.85,45638.0,284496.0
2000-03-07,2.87,2.88,2.78,2.8,76598.0,283127.0
2000-03-08,2.79,2.8,2.71,2.71,64404.0,281233.0
