Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2000-01-03,83.75,85.2,83.75,84.05,3889.0,21345.0
2000-01-04,83.4,83.9,82.6,83.1,4490.0,20843.0
2000-01-06,85.0,86.0,83.75,83.95,1798.0,21851.0
2000-01-07,84.4,85.0,83.9,84.0,1057.0,21745.0
2000-01-10,84.1,84.75,84.05,84.15,565.0,21901.0
2000-01-11,82.5,83.8,81.85,82.2,3061.0,22535.0
2000-01-12,82.45,82.8,82.35,82.8,1524.0,23155.0
2000-01-13,82.6,84.7,82.6,84.55,1524.0,23155.0
2000-01-14,84.7,85.4,83.25,83.6,1827.0,23717.0
2000-01-18,84.5,84.7,83.6,84.4,1245.0,21545.0
2000-01-19,84.5,84.5,83.3,83.3,2286.0,23846.0
2000-01-20,82.2,83.75,82.1,83.2,2142.0,24145.0
2000-01-21,83.9,85.25,83.7,83.85,2421.0,24957.0
2000-01-24,83.5,84.0,81.5,82.6,3845.0,25304.0
2000-01-25,82.5,83.4,82.45,82.75,3845.0,24956.0
2000-01-26,83.1,84.4,82.8,83.7,2356.0,25412.0
2000-01-27,82.25,83.0,81.7,81.8,2387.0,25612.0
2000-01-28,81.5,81.9,80.75,80.9,2416.0,25964.0
2000-01-31,80.3,80.6,79.45,79.5,2416.0,25964.0
2000-02-01,78.75,80.6,78.75,80.45,2573.0,26849.0
2000-02-02,80.65,81.4,80.2,81.15,1119.0,26820.0
2000-02-03,80.9,82.0,80.7,81.8,1514.0,27160.0
2000-02-04,82.1,82.25,80.3,80.9,1612.0,27457.0
2000-02-07,80.3,81.5,80.2,81.2,1647.0,27664.0
2000-02-08,81.2,84.25,81.2,83.65,1629.0,27715.0
2000-02-09,84.6,84.7,82.8,82.9,3068.0,26495.0
2000-02-10,83.0,84.0,82.0,83.4,2476.0,26151.0
2000-02-11,84.5,87.9,82.6,87.3,12374.0,25819.0
2000-02-14,86.7,87.5,85.6,86.4,8601.0,26032.0
2000-02-15,86.4,87.3,85.9,86.6,4743.0,24661.0
2000-02-16,84.5,84.7,83.5,84.0,3256.0,24480.0
2000-02-17,84.25,85.15,83.85,84.05,2162.0,24361.0
2000-02-18,84.25,84.25,82.35,82.35,6044.0,24157.0
2000-02-22,82.75,85.0,82.5,83.45,4847.0,22997.0
2000-02-23,84.3,84.3,83.25,83.5,2407.0,22630.0
2000-02-24,83.5,84.9,83.0,84.4,3874.0,22504.0
2000-02-25,85.0,87.15,85.0,86.9,7206.0,20776.0
2000-02-28,87.1,87.3,85.7,85.9,4839.0,19694.0
2000-02-29,85.9,86.25,82.4,82.55,5656.0,18696.0
2000-03-01,83.6,84.5,83.0,83.75,2231.0,18977.0
2000-03-02,84.5,84.95,83.55,84.75,895.0,18851.0
2000-03-03,84.9,85.0,83.5,83.65,485.0,18863.0
2000-03-06,83.9,84.4,82.15,82.6,2051.0,19132.0
2000-03-07,82.75,83.1,81.7,81.8,2242.0,19329.0
2000-03-08,81.75,82.6,81.6,82.45,658.0,19427.0
2000-03-09,83.25,83.4,82.6,83.25,823.0,18274.0
2000-03-10,81.25,82.9,80.6,82.7,3548.0,19851.0
2000-03-13,82.9,83.3,82.6,82.9,670.0,19874.0
2000-03-14,83.15,84.1,82.6,84.0,1535.0,19963.0
2000-03-15,84.7,86.45,84.7,85.55,3983.0,19622.0
2000-03-16,85.4,86.0,84.8,85.9,3981.0,19512.0
2000-03-17,86.35,86.4,85.35,86.2,1254.0,19714.0
2000-03-20,86.4,86.5,84.45,84.55,1144.0,19964.0
2000-03-21,83.9,84.1,83.1,83.85,1144.0,19964.0
2000-03-22,83.7,84.1,83.7,83.9,477.0,19106.0
2000-03-23,84.5,85.0,83.75,84.15,729.0,20019.0
2000-03-24,84.0,84.4,82.5,82.55,2206.0,19886.0
2000-03-27,82.55,83.2,82.45,82.5,2206.0,19886.0
2000-03-28,82.5,83.05,82.35,82.55,727.0,19923.0
2000-03-29,82.8,83.0,82.3,82.3,654.0,19304.0
2000-03-30,81.7,82.9,81.7,82.1,1487.0,19433.0
2000-03-31,82.6,82.7,81.6,81.8,1533.0,20252.0
2000-04-03,82.0,83.9,81.85,83.3,1475.0,20355.0
2000-04-04,82.9,83.3,81.9,82.2,42.0,20507.0
2000-04-05,82.0,82.3,81.0,81.3,2981.0,20968.0
2000-04-06,80.9,81.3,80.7,81.05,2816.0,21514.0
2000-04-07,81.0,81.8,81.0,81.5,1536.0,21979.0
2000-04-10,81.3,83.4,81.3,82.7,2518.0,22264.0
2000-04-11,82.15,82.35,81.75,82.35,2518.0,22264.0
2000-04-12,82.5,84.5,82.5,84.35,7731.0,21846.0
2000-04-13,84.45,84.75,83.3,84.5,1264.0,22427.0
2000-04-14,84.5,84.75,82.0,82.5,4325.0,21984.0
2000-04-17,82.35,84.8,82.0,84.8,4851.0,21697.0
2000-04-18,84.8,85.3,83.6,84.6,4173.0,21497.0
2000-04-19,84.4,84.75,83.25,83.65,2573.0,21529.0
2000-04-20,83.65,83.8,82.8,83.0,6004.0,24057.0
2000-04-24,82.75,83.25,82.5,82.5,35.0,24076.0
2000-04-25,82.5,82.7,80.8,81.25,8179.0,24385.0
2000-04-26,81.25,81.75,81.05,81.75,2916.0,24389.0
2000-04-27,81.75,81.75,80.0,80.0,4878.0,24506.0
2000-04-28,79.8,80.2,79.25,79.75,5187.0,25108.0
2000-05-01,80.1,83.7,80.1,83.5,5679.0,24464.0
2000-05-02,83.25,84.45,82.9,84.4,5149.0,24406.0
2000-05-03,84.65,85.25,81.2,81.35,5527.0,24206.0
2000-05-04,81.4,82.4,80.9,81.0,3067.0,23472.0
2000-05-05,81.3,82.7,81.3,81.65,882.0,23436.0
2000-05-08,82.0,82.0,81.05,81.05,981.0,23292.0
2000-05-09,81.15,83.4,81.15,83.25,1668.0,23359.0
2000-05-10,83.1,83.8,82.6,83.75,1314.0,22635.0
2000-05-11,83.75,83.85,82.8,83.5,1.0,23409.0
2000-05-12,83.0,83.0,82.1,82.15,881.0,23329.0
2000-05-15,81.75,82.8,81.25,82.55,959.0,22441.0
2000-05-16,82.55,83.4,82.4,83.1,959.0,22441.0
2000-05-17,83.25,83.3,81.6,82.15,1000.0,22228.0
2000-05-18,82.15,82.7,81.6,81.65,583.0,22327.0
2000-05-19,81.5,81.6,80.5,80.55,3115.0,23294.0
2000-05-22,80.75,82.2,80.75,81.15,1456.0,23358.0
2000-05-23,81.15,81.4,80.55,80.95,1037.0,23706.0
2000-05-24,81.4,84.0,81.4,83.25,8302.0,24854.0
2000-05-25,83.05,83.4,81.25,81.95,3463.0,24212.0
2000-05-26,81.6,82.4,81.55,81.85,2145.0,24025.0
2000-05-30,82.35,82.7,82.1,82.2,933.0,23606.0
2000-05-31,82.0,82.8,81.1,81.35,293.0,24391.0
