Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2000-01-04,445.0,446.0,439.0,441.9,177.0,2825.0
2000-01-05,436.0,439.0,433.0,438.1,177.0,2892.0
2000-01-06,434.5,437.0,431.5,435.3,187.0,2884.0
2000-01-07,437.0,444.5,436.5,443.9,104.0,2885.0
2000-01-10,443.9,456.0,443.9,451.95,2.0,2895.0
2000-01-11,452.0,452.0,447.5,449.4,133.0,2888.0
2000-01-12,450.0,453.0,448.25,452.25,103.0,2938.0
2000-01-13,445.0,448.0,441.2,447.0,241.0,2914.0
2000-01-14,439.0,443.1,436.2,441.0,274.0,2966.0
2000-01-18,438.0,440.0,436.5,438.7,1.0,2987.0
2000-01-19,443.0,445.0,440.0,442.75,396.0,3153.0
2000-01-20,442.0,451.8,442.0,451.7,396.0,3269.0
2000-01-21,452.0,458.0,451.0,457.1,396.0,3269.0
2000-01-24,460.0,470.5,460.0,470.25,4.0,3266.0
2000-01-25,477.0,482.0,475.2,479.0,4.0,3311.0
2000-01-26,474.0,480.0,468.0,472.0,439.0,3452.0
2000-01-27,479.0,483.2,476.0,483.0,258.0,3443.0
2000-01-28,492.0,492.0,483.0,485.9,591.0,3493.0
2000-01-31,485.8,488.5,483.5,484.7,80.0,3452.0
2000-02-01,485.0,499.5,485.0,492.55,361.0,3466.0
2000-02-02,502.0,506.0,498.5,502.25,515.0,3514.0
2000-02-03,510.0,517.0,506.5,514.05,211.0,3515.0
2000-02-04,516.0,528.0,514.0,525.0,565.0,3528.0
2000-02-07,535.0,544.0,529.0,540.9,781.0,3543.0
2000-02-08,570.0,580.0,560.0,579.8,736.0,3347.0
2000-02-09,578.0,598.0,574.0,590.2,476.0,3286.0
2000-02-10,576.0,589.0,571.0,580.0,424.0,3286.0
2000-02-11,593.0,600.0,590.0,598.85,587.0,3353.0
2000-02-14,602.0,609.0,597.0,605.5,3.0,3196.0
2000-02-15,645.0,655.0,640.0,655.0,1367.0,2873.0
2000-02-16,670.0,720.0,670.0,711.15,1047.0,2808.0
2000-02-17,730.0,747.0,695.0,705.55,654.0,2656.0
2000-02-18,689.0,695.0,659.5,693.25,979.0,2757.0
2000-02-22,775.0,835.0,730.0,816.8,1860.0,2882.0
2000-02-23,750.0,750.0,710.0,713.0,658.0,2831.0
2000-02-24,691.0,710.0,690.0,693.4,915.0,2840.0
2000-02-25,675.0,700.0,670.0,686.0,535.0,2786.0
2000-02-28,700.0,720.0,700.0,718.7,556.0,2757.0
2000-02-29,727.0,730.0,705.0,710.0,407.0,2679.0
2000-03-01,700.0,700.0,680.0,682.9,369.0,2515.0
2000-03-02,665.0,670.0,655.0,658.9,285.0,2462.0
2000-03-03,640.1,660.0,633.0,650.0,207.0,2369.0
2000-03-06,645.0,651.0,641.0,650.0,35.0,2327.0
2000-03-07,633.0,670.0,632.9,665.5,157.0,2326.0
2000-03-08,666.0,715.0,665.5,704.7,,
2000-03-09,702.85,702.85,675.25,687.0,65.0,2337.0
2000-03-10,700.0,700.0,695.0,700.0,65.0,2337.0
2000-03-13,696.0,696.0,685.0,685.0,27.0,2328.0
2000-03-14,690.0,690.0,685.0,690.0,30.0,2335.0
2000-03-15,691.0,708.0,691.0,699.0,100.0,2339.0
2000-03-16,710.0,719.0,710.0,713.0,55.0,2338.0
2000-03-17,713.0,717.0,709.0,710.0,10.0,2332.0
2000-03-20,709.0,710.0,675.0,678.4,64.0,2352.0
2000-03-21,680.0,680.0,650.5,655.0,202.0,2352.0
2000-03-22,655.0,670.0,650.5,652.05,,
2000-03-23,647.0,658.0,638.0,642.0,138.0,2384.0
2000-03-24,630.0,631.0,615.1,618.0,138.0,2349.0
2000-03-27,610.0,620.0,605.0,614.75,83.0,2326.0
2000-03-28,616.5,622.0,615.0,615.55,83.0,2368.0
2000-03-29,620.0,620.0,610.0,610.0,83.0,2368.0
2000-03-30,610.0,610.0,595.0,602.8,76.0,2403.0
2000-03-31,595.0,600.0,555.0,595.5,250.0,2369.0
2000-04-03,585.0,588.0,578.0,582.0,72.0,2375.0
2000-04-04,582.0,598.0,582.0,592.35,49.0,2378.0
2000-04-05,595.0,599.0,590.0,595.7,72.0,2378.0
2000-04-06,590.0,595.0,585.0,586.0,55.0,2408.0
2000-04-07,582.0,582.0,572.0,579.0,55.0,2369.0
2000-04-10,568.0,568.0,550.0,555.0,254.0,2219.0
2000-04-11,548.0,568.0,547.5,565.2,188.0,2481.0
2000-04-12,562.0,566.0,562.0,562.0,42.0,2299.0
2000-04-13,564.0,564.0,559.0,560.7,210.0,2316.0
2000-04-14,563.0,581.0,563.0,580.95,92.0,2326.0
2000-04-17,577.0,581.0,575.0,577.5,55.0,2346.0
2000-04-18,579.0,587.0,579.0,585.15,70.0,2356.0
2000-04-19,583.0,583.0,570.2,574.3,60.0,2360.0
2000-04-20,560.0,569.9,560.0,562.1,70.0,2364.0
2000-04-24,563.0,565.9,562.5,565.4,70.0,2361.0
2000-04-25,564.0,580.0,564.0,578.75,41.0,2364.0
2000-04-26,575.0,576.0,566.1,574.9,92.0,2376.0
2000-04-27,577.0,595.0,577.0,590.8,92.0,2414.0
2000-04-28,600.0,625.0,594.0,620.6,131.0,2448.0
2000-05-01,620.0,649.9,614.0,630.0,131.0,2454.0
2000-05-02,630.0,630.0,588.0,599.0,161.0,2445.0
2000-05-03,590.0,600.0,578.0,593.25,156.0,2502.0
2000-05-04,575.2,589.0,575.0,588.5,411.0,2537.0
2000-05-05,580.0,586.0,580.0,585.4,123.0,2637.0
2000-05-08,580.0,584.0,580.0,584.0,201.0,2692.0
2000-05-09,589.4,589.4,581.0,584.35,451.0,2804.0
2000-05-10,584.5,584.5,577.0,583.6,451.0,2745.0
2000-05-11,578.0,581.0,576.0,577.6,451.0,2745.0
2000-05-12,569.0,570.75,569.0,570.75,147.0,2722.0
2000-05-15,563.5,565.0,563.5,565.0,164.0,2705.0
2000-05-16,565.5,579.9,565.5,576.0,164.0,2717.0
2000-05-17,568.0,575.0,568.0,572.25,272.0,2698.0
2000-05-18,572.9,574.5,572.25,574.5,347.0,2726.0
2000-05-19,575.0,592.0,574.5,578.5,479.0,2856.0
2000-05-22,572.0,572.0,565.0,570.1,572.0,2652.0
2000-05-23,566.0,578.0,566.0,575.0,522.0,2566.0
2000-05-24,570.0,570.0,565.0,568.0,649.0,2611.0
2000-05-25,563.0,567.0,563.0,565.0,751.0,2546.0
2000-05-26,563.0,567.5,563.0,567.5,492.0,2490.0
2000-05-30,568.0,573.0,567.0,572.7,409.0,2423.0
2000-05-31,576.0,584.0,571.7,582.85,213.0,2480.0
2000-06-01,583.0,583.0,576.0,583.0,176.0,2111.0
2000-06-02,589.0,610.0,589.0,596.35,303.0,2138.0
2000-06-05,605.0,620.0,603.0,619.15,139.0,2140.0
2000-06-06,620.0,623.0,612.0,621.15,174.0,2180.0
2000-06-07,628.0,644.0,625.0,641.65,311.0,2068.0
2000-06-08,640.0,646.0,640.0,644.7,142.0,2034.0
2000-06-09,647.0,655.0,644.7,645.55,181.0,2018.0
2000-06-12,645.5,650.0,645.5,647.25,46.0,2029.0
2000-06-13,650.25,673.0,650.25,667.3,252.0,1943.0
2000-06-14,667.0,667.0,660.0,665.0,55.0,1976.0
2000-06-15,664.1,675.0,664.0,671.9,46.0,1956.0
2000-06-16,685.0,686.0,681.0,684.95,64.0,1963.0
2000-06-19,694.0,696.9,687.5,692.15,84.0,1989.0
2000-06-20,692.0,693.0,688.0,688.0,32.0,1990.0
2000-06-21,688.0,688.0,678.25,679.45,66.0,1995.0
2000-06-22,663.0,668.0,650.0,651.65,161.0,1988.0
2000-06-23,655.0,662.0,653.0,662.0,50.0,1967.0
2000-06-26,665.0,670.0,665.0,667.0,73.0,2006.0
2000-06-27,660.0,660.0,650.0,654.15,31.0,1992.0
2000-06-28,654.15,665.0,650.0,660.25,128.0,1954.0
2000-06-29,659.6,659.6,652.0,654.3,28.0,1947.0
2000-06-30,635.0,651.1,635.0,647.95,80.0,1897.0
2000-07-05,624.0,627.0,618.0,625.55,222.0,1964.0
2000-07-06,626.0,645.0,626.0,641.4,80.0,1896.0
2000-07-07,647.0,664.0,647.0,662.35,548.0,1884.0
2000-07-10,675.0,675.0,665.0,671.0,152.0,1944.0
2000-07-11,675.0,678.0,670.0,672.95,51.0,1942.0
2000-07-12,676.0,676.0,663.5,665.2,65.0,1932.0
2000-07-13,662.0,670.0,660.0,669.5,26.0,1951.0
2000-07-14,673.0,689.5,672.0,686.65,278.0,1945.0
2000-07-17,699.8,710.0,695.0,708.25,402.0,2133.0
2000-07-18,719.0,719.0,711.0,717.5,146.0,2153.0
2000-07-19,713.0,718.0,704.0,713.75,76.0,2126.0
2000-07-20,720.0,740.0,715.0,735.85,166.0,2141.0
2000-07-21,775.0,780.0,756.0,765.4,120.0,2152.0
2000-07-24,773.0,776.0,762.0,762.95,127.0,2190.0
2000-07-25,769.0,770.0,762.5,764.0,205.0,2158.0
2000-07-26,762.0,768.0,760.0,764.0,174.0,2159.0
2000-07-27,761.0,766.0,760.0,762.0,74.0,2144.0
2000-07-28,768.0,774.0,766.0,773.0,47.0,2148.0
2000-07-31,805.0,828.0,779.1,818.95,161.0,2153.0
2000-08-01,836.0,848.0,836.0,842.0,189.0,2166.0
2000-08-02,851.0,859.0,851.0,855.15,187.0,2222.0
2000-08-03,825.0,830.0,791.1,792.1,198.0,2247.0
2000-08-04,795.0,814.0,763.0,781.75,405.0,2219.0
2000-08-07,720.0,747.0,720.0,738.4,447.0,2148.0
2000-08-08,727.0,785.0,727.0,772.0,114.0,2134.0
2000-08-09,790.0,800.0,775.0,785.65,243.0,2177.0
2000-08-10,790.0,797.0,785.0,792.9,494.0,2073.0
2000-08-11,790.0,790.0,780.0,785.0,283.0,2022.0
2000-08-14,765.0,765.0,725.0,744.45,254.0,1978.0
2000-08-15,770.65,770.65,770.65,770.65,183.0,1977.0
2000-08-16,758.9,758.9,758.9,758.9,219.0,1973.0
2000-08-17,757.0,757.0,740.2,744.0,61.0,1913.0
2000-08-18,748.5,750.15,735.0,735.0,214.0,1913.0
2000-08-21,735.0,750.0,735.0,743.25,203.0,1827.0
2000-08-22,745.0,745.0,735.0,738.15,421.0,1810.0
2000-08-23,734.0,739.0,725.5,730.0,140.0,1783.0
2000-08-24,722.0,725.0,718.0,721.0,166.0,1821.0
2000-08-25,715.5,725.0,715.5,724.45,122.0,1817.0
2000-08-28,715.0,719.0,711.2,715.0,164.0,1801.0
2000-08-29,720.0,727.5,715.0,721.0,376.0,1748.0
2000-08-30,710.2,717.0,710.2,713.05,43.0,1769.0
2000-08-31,716.0,719.0,716.0,718.75,43.0,1768.0
2000-09-01,731.0,731.0,725.0,726.7,26.0,1687.0
2000-09-05,725.0,728.0,718.0,722.65,23.0,1692.0
2000-09-06,722.65,740.0,722.65,740.0,30.0,1696.0
2000-09-07,750.0,768.0,750.0,763.3,69.0,1669.0
2000-09-08,779.0,779.0,752.0,756.5,81.0,1686.0
2000-09-11,760.0,760.0,751.0,753.65,50.0,1720.0
2000-09-12,760.0,770.0,760.0,767.9,45.0,1729.0
2000-09-13,757.0,757.0,734.0,745.0,140.0,1720.0
2000-09-14,731.1,731.1,717.0,720.0,140.0,1758.0
2000-09-15,710.0,725.0,705.0,723.0,196.0,1758.0
2000-09-18,720.0,722.0,710.0,711.0,412.0,1751.0
2000-09-19,716.0,725.0,716.0,722.0,165.0,1810.0
2000-09-20,720.0,735.0,715.1,717.25,60.0,1823.0
2000-09-21,718.0,727.5,718.0,727.5,26.0,1815.0
2000-09-22,732.0,742.0,732.0,738.0,26.0,1812.0
2000-09-25,720.5,720.5,713.0,716.25,115.0,1794.0
2000-09-26,714.0,718.0,714.0,718.0,12.0,1253.0
2000-09-27,716.0,719.5,714.0,716.5,19.0,1803.0
2000-09-28,716.5,716.5,707.0,708.0,53.0,1236.0
2000-09-29,707.0,716.0,707.0,714.85,210.0,1857.0
2000-10-02,712.25,719.0,712.25,717.0,153.0,1869.0
2000-10-03,718.0,750.0,716.0,727.8,33.0,1868.0
2000-10-04,733.0,735.0,727.0,734.15,135.0,1883.0
2000-10-05,744.0,745.0,737.0,744.0,46.0,1887.0
2000-10-06,749.0,749.0,740.0,740.85,21.0,1895.0
2000-10-09,739.75,739.75,733.0,736.9,22.0,1903.0
2000-10-10,736.9,739.5,736.0,736.75,17.0,1901.0
2000-10-11,736.75,743.0,736.75,739.35,56.0,1903.0
2000-10-12,739.35,741.0,736.0,741.0,81.0,1907.0
2000-10-13,738.0,739.0,738.0,738.0,30.0,1906.0
2000-10-16,738.0,739.0,737.0,738.65,66.0,1906.0
2000-10-17,739.5,739.5,736.5,738.5,20.0,1906.0
2000-10-18,742.0,742.0,740.0,740.0,7.0,1903.0
2000-10-19,740.0,761.0,740.0,760.7,225.0,1968.0
2000-10-20,755.0,760.0,754.0,760.0,66.0,1954.0
2000-10-23,758.0,762.0,755.0,761.35,77.0,1946.0
2000-10-24,758.0,758.0,750.0,752.0,54.0,1981.0
2000-10-25,750.0,757.0,750.0,753.9,34.0,1977.0
2000-10-26,754.0,758.0,752.5,755.0,422.0,1881.0
2000-10-27,757.0,757.0,754.0,756.0,430.0,1823.0
2000-10-30,756.0,759.0,752.0,752.0,70.0,1829.0
2000-10-31,754.0,785.0,754.0,782.05,483.0,1913.0
2000-11-01,775.0,782.0,775.0,777.2,228.0,1919.0
2000-11-02,784.0,794.0,782.0,794.0,72.0,1917.0
2000-11-03,799.0,799.0,789.0,790.5,69.0,1908.0
2000-11-06,782.0,782.0,775.0,777.5,45.0,1900.0
2000-11-07,780.0,781.0,778.0,780.75,65.0,1907.0
2000-11-08,785.0,785.0,781.0,781.0,47.0,1910.0
2000-11-09,781.0,787.0,781.0,784.55,73.0,1911.0
2000-11-10,784.55,786.0,783.0,785.05,49.0,1803.0
2000-11-13,781.0,781.0,777.0,777.0,177.0,1719.0
2000-11-14,780.5,783.0,780.5,783.0,84.0,1779.0
2000-11-15,786.0,786.0,783.0,783.0,304.0,1723.0
2000-11-16,786.0,786.0,778.0,784.0,370.0,1668.0
2000-11-17,782.0,784.0,782.0,783.1,262.0,1653.0
2000-11-20,783.1,787.0,783.1,785.0,210.0,1830.0
2000-11-21,785.0,788.0,783.0,784.0,182.0,1828.0
2000-11-22,787.0,791.0,785.0,790.15,182.0,1828.0
2000-11-27,794.8,794.8,792.0,793.0,297.0,1639.0
2000-11-28,798.0,804.0,798.0,804.0,240.0,1789.0
2000-11-29,808.0,809.8,803.0,807.85,256.0,1855.0
2000-11-30,810.0,820.0,810.0,818.0,86.0,1812.0
2000-12-01,826.0,839.8,825.0,839.6,161.0,1790.0
2000-12-04,875.0,890.0,865.0,880.0,162.0,1792.0
2000-12-05,876.5,878.0,868.0,868.0,69.0,1660.0
2000-12-06,851.0,859.0,851.0,856.45,41.0,1800.0
2000-12-07,872.0,900.0,872.0,900.0,139.0,1660.0
2000-12-08,891.0,913.0,890.0,905.8,109.0,1843.0
2000-12-11,915.0,923.5,915.0,919.05,89.0,1740.0
