Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2000-01-04,417.5,417.5,407.0,413.7,2430.0,11816.0
2000-01-05,407.5,407.5,398.0,401.9,3497.0,11377.0
2000-01-06,395.5,397.9,388.1,394.0,5692.0,11038.0
2000-01-07,394.0,399.5,394.0,396.0,967.0,10085.0
2000-01-10,396.0,400.8,395.0,398.5,967.0,9969.0
2000-01-11,397.5,400.5,395.5,398.0,673.0,9627.0
2000-01-12,397.5,402.9,396.5,402.4,950.0,9563.0
2000-01-13,402.0,406.5,401.0,404.9,663.0,9568.0
2000-01-14,409.8,412.0,407.0,410.4,775.0,9663.0
2000-01-18,407.0,416.0,407.0,415.7,2188.0,10317.0
2000-01-19,418.0,429.0,418.0,428.2,2960.0,10336.0
2000-01-20,428.0,428.2,418.0,423.5,1893.0,11102.0
2000-01-21,421.0,430.5,420.1,427.0,1249.0,11150.0
2000-01-24,431.0,438.0,431.0,436.0,1772.0,11647.0
2000-01-25,440.5,444.0,438.0,441.9,1228.0,11610.0
2000-01-26,435.0,437.0,431.2,432.5,1443.0,11573.0
2000-01-27,436.0,446.0,435.5,445.6,1801.0,11603.0
2000-01-28,456.0,458.5,445.0,453.8,1924.0,11773.0
2000-01-31,455.0,457.5,454.5,455.0,554.0,11531.0
2000-02-01,455.0,455.5,451.5,452.9,636.0,11346.0
2000-02-02,459.5,468.0,459.5,466.2,1673.0,11476.0
2000-02-03,474.0,475.0,468.5,474.8,960.0,11528.0
2000-02-04,477.0,480.5,473.0,479.5,1462.0,11377.0
2000-02-07,489.0,490.0,469.5,474.3,1288.0,11444.0
2000-02-08,484.0,502.0,479.0,498.5,1759.0,11261.0
2000-02-09,515.0,532.0,510.5,529.6,2433.0,11204.0
2000-02-10,511.2,519.5,505.0,517.9,3564.0,11204.0
2000-02-11,523.0,528.0,515.0,526.4,1624.0,11024.0
2000-02-14,516.4,520.0,514.0,517.2,1722.0,11383.0
2000-02-15,516.0,537.5,512.0,527.9,1761.0,11444.0
2000-02-16,531.2,544.9,529.0,542.4,1495.0,11528.0
2000-02-17,548.0,555.0,516.2,529.4,2111.0,11677.0
2000-02-18,510.0,515.0,489.4,503.2,2297.0,10799.0
2000-02-22,490.0,518.0,483.0,509.3,1388.0,10942.0
2000-02-23,490.5,498.0,470.1,471.9,1606.0,10297.0
2000-02-24,465.0,476.0,460.0,468.0,2025.0,10256.0
2000-02-25,465.0,467.0,450.1,452.1,1744.0,10124.0
2000-02-28,460.0,470.0,458.1,465.1,564.0,9708.0
2000-02-29,474.0,480.0,467.0,471.7,1052.0,9531.0
2000-03-01,466.7,474.0,463.5,467.2,484.0,9409.0
2000-03-02,460.0,460.0,445.0,452.5,1554.0,9011.0
2000-03-03,454.0,465.0,454.0,463.5,1438.0,8994.0
2000-03-06,461.0,465.0,460.0,464.1,247.0,8667.0
2000-03-07,461.0,471.0,457.0,469.0,823.0,8754.0
