Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2000-01-04,0.6629999999999999,0.6890000000000001,0.657,0.685,39158.0,89804.0
2000-01-05,0.677,0.6855,0.675,0.6758,34604.0,91919.0
2000-01-06,0.6679999999999999,0.6975,0.6659999999999999,0.6789,25658.0,86963.0
2000-01-07,0.6829999999999999,0.691,0.66,0.6609999999999999,45027.0,89550.0
2000-01-10,0.6629999999999999,0.6709999999999999,0.654,0.6696,41870.0,88779.0
2000-01-11,0.6759999999999999,0.688,0.674,0.6872,29954.0,86536.0
2000-01-12,0.682,0.718,0.679,0.7127,31207.0,85388.0
2000-01-13,0.715,0.725,0.711,0.7127,46892.0,87374.0
2000-01-14,0.72,0.748,0.72,0.7452,35928.0,87586.0
2000-01-18,0.7509999999999999,0.775,0.7440000000000001,0.772,27050.0,88724.0
2000-01-19,0.7705,0.779,0.763,0.7674,41530.0,88468.0
2000-01-20,0.763,0.785,0.753,0.7733,41530.0,88468.0
2000-01-21,0.792,0.799,0.7605,0.7696,42151.0,92344.0
2000-01-24,0.77,0.7709999999999999,0.748,0.7548,33855.0,91694.0
2000-01-25,0.757,0.779,0.7559999999999999,0.7679,32026.0,89652.0
2000-01-26,0.77,0.772,0.748,0.7499,36918.0,92260.0
2000-01-27,0.754,0.7565,0.735,0.7415,39590.0,90690.0
2000-01-28,0.7440000000000001,0.748,0.735,0.7431,32150.0,90419.0
2000-01-31,0.735,0.762,0.7290000000000001,0.7553,38565.0,88266.0
2000-02-01,0.758,0.7785,0.7559999999999999,0.7767,45231.0,86788.0
2000-02-02,0.7809999999999999,0.787,0.7609999999999999,0.7668,25970.0,87211.0
2000-02-04,0.784,0.8015,0.7805,0.7983,32612.0,93546.0
2000-02-07,0.794,0.7975,0.782,0.7862,23800.0,95764.0
2000-02-08,0.7859999999999999,0.789,0.7735,0.7748,25650.0,96322.0
2000-02-09,0.773,0.802,0.7715,0.7966,25115.0,96684.0
2000-02-10,0.7945,0.82,0.7929999999999999,0.8175,36493.0,101340.0
2000-02-11,0.8220000000000001,0.8295,0.805,0.8107,35301.0,104319.0
2000-02-14,0.815,0.8370000000000001,0.812,0.8341,31647.0,105214.0
2000-02-15,0.833,0.846,0.831,0.8376,26812.0,108772.0
2000-02-16,0.845,0.8505,0.83,0.8454,36606.0,112606.0
2000-02-17,0.8370000000000001,0.841,0.8220000000000001,0.8349,36024.0,109228.0
2000-02-18,0.8340000000000001,0.836,0.8240000000000001,0.8267,35005.0,110150.0
2000-02-22,0.816,0.848,0.815,0.8449,108262.0,109349.0
2000-02-23,0.84,0.848,0.838,0.8462,31593.0,110227.0
2000-02-24,0.85,0.8590000000000001,0.8420000000000001,0.8505,34835.0,111557.0
2000-02-25,0.846,0.885,0.846,0.8626,56390.0,109373.0
2000-02-28,0.86,0.917,0.858,0.9138,53222.0,111722.0
2000-02-29,0.922,0.9440000000000001,0.92,0.9358,56191.0,108180.0
2000-03-01,0.9490000000000001,0.995,0.9465,0.9938,63514.0,98756.0
2000-03-02,0.993,1.002,0.9690000000000001,0.988,47628.0,98676.0
2000-03-06,0.981,0.986,0.9640000000000001,0.9825,39012.0,99580.0
2000-03-07,0.995,1.025,0.991,1.0191,33033.0,98313.0
2000-03-08,0.99,1.0035,0.946,0.9518,47754.0,102481.0
2000-03-09,0.9625,0.99,0.938,0.988,43547.0,104657.0
2000-03-10,0.98,1.0,0.9775,0.9942,37072.0,103357.0
2000-03-13,0.99,1.0,0.9790000000000001,0.9911,32237.0,104717.0
