Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2008-07-31,2317.0,2317.0,2317.0,2317.0,246.0,1132.0
2008-08-01,2337.0,2337.0,2337.0,2337.0,532.0,1362.0
2008-08-04,2330.0,2330.0,2261.0,2261.0,170.0,1411.0
2008-08-05,2340.0,2340.0,2340.0,2340.0,33.0,1434.0
2008-08-06,2320.0,2320.0,2320.0,2320.0,7.0,1441.0
2008-08-07,2340.0,2340.0,2340.0,2340.0,100.0,1487.0
2008-08-08,2295.0,2295.0,2295.0,2295.0,40.0,1497.0
2008-08-11,2292.0,2292.0,2292.0,2292.0,24.0,1521.0
2008-08-12,2266.0,2266.0,2265.0,2265.0,92.0,1534.0
2008-08-13,2259.0,2259.0,2210.0,2210.0,76.0,1556.0
2008-08-14,2203.0,2203.0,2203.0,2203.0,37.0,1562.0
2008-08-15,2170.0,2170.0,2170.0,2170.0,43.0,1585.0
2008-08-18,2223.0,2223.0,2223.0,2223.0,31.0,1616.0
2008-08-19,2258.0,2258.0,2258.0,2258.0,125.0,1741.0
2008-08-20,2250.0,2250.0,2250.0,2250.0,11.0,1752.0
2008-08-21,2250.0,2250.0,2250.0,2250.0,88.0,1821.0
2008-08-22,2260.0,2260.0,2260.0,2260.0,28.0,1843.0
2008-08-26,2300.0,2300.0,2300.0,2300.0,291.0,2039.0
2008-08-27,2275.0,2275.0,2275.0,2275.0,22.0,2054.0
2008-08-28,2260.0,2260.0,2260.0,2260.0,85.0,2130.0
2008-08-29,2275.0,2275.0,2275.0,2275.0,16.0,2140.0
2008-09-01,2222.0,2222.0,2222.0,2222.0,39.0,2146.0
2008-09-02,2225.0,2225.0,2225.0,2225.0,113.0,2152.0
2008-09-03,2195.0,2195.0,2195.0,2195.0,128.0,2211.0
2008-09-04,2196.0,2196.0,2196.0,2196.0,229.0,2317.0
2008-09-05,2148.0,2148.0,2148.0,2148.0,224.0,2389.0
2008-09-08,2162.0,2162.0,2162.0,2162.0,246.0,2507.0
2008-09-09,2147.0,2147.0,2147.0,2147.0,248.0,2675.0
2008-09-10,2158.0,2158.0,2158.0,2158.0,796.0,3242.0
2008-09-11,2147.0,2147.0,2147.0,2147.0,182.0,3273.0
2008-09-12,2149.0,2149.0,2149.0,2149.0,645.0,3823.0
2008-09-15,2164.0,2164.0,2164.0,2164.0,260.0,4004.0
2008-09-16,2062.0,2062.0,2062.0,2062.0,2785.0,6351.0
