Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2000-01-03,260.0,260.5,256.5,256.9,5465.0,57104.0
2000-01-04,256.9,257.4,255.2,256.4,7307.0,53587.0
2000-01-05,255.5,256.9,254.6,256.8,4106.0,55122.0
2000-01-06,257.4,259.5,257.4,258.5,7721.0,55448.0
2000-01-07,258.5,261.3,258.1,260.0,3866.0,56069.0
2000-01-10,258.0,258.2,256.5,256.7,4718.0,56048.0
2000-01-11,258.0,258.5,256.8,258.1,8135.0,56930.0
2000-01-12,261.0,261.5,258.6,258.7,5451.0,58879.0
2000-01-13,258.5,262.8,258.3,261.7,8660.0,61102.0
2000-01-14,261.5,264.3,261.5,262.3,7971.0,61743.0
2000-01-18,260.5,262.8,259.8,261.4,6827.0,64055.0
2000-01-19,262.5,266.0,262.5,263.2,7337.0,61752.0
2000-01-20,263.2,265.5,263.0,265.2,6277.0,61053.0
2000-01-21,268.4,270.5,265.7,265.9,5944.0,58952.0
2000-01-24,270.0,270.8,267.7,268.2,4449.0,58522.0
2000-01-25,267.7,267.7,264.8,266.5,7406.0,59217.0
2000-01-26,265.8,265.9,264.0,264.2,6070.0,59274.0
2000-01-27,262.5,267.8,262.1,266.6,7780.0,60068.0
2000-01-28,267.5,271.7,266.4,266.5,10626.0,61559.0
2000-01-31,264.0,264.0,262.1,262.7,5522.0,61960.0
2000-02-01,263.5,263.5,259.7,261.2,10803.0,63277.0
2000-02-02,260.1,260.6,258.9,259.3,6556.0,65376.0
2000-02-03,258.5,258.7,255.8,256.3,9819.0,66172.0
2000-02-04,254.0,254.8,252.6,253.7,12104.0,64784.0
2000-02-07,254.5,254.8,252.2,254.0,9264.0,66937.0
2000-02-08,253.0,253.1,251.1,251.7,8480.0,68158.0
2000-02-09,250.5,253.5,248.4,253.1,6104.0,68414.0
2000-02-10,254.0,256.7,252.9,256.2,5662.0,68291.0
2000-02-11,256.2,257.3,253.5,253.8,13099.0,66242.0
2000-02-14,259.5,260.8,258.8,258.9,2910.0,66188.0
2000-02-15,257.5,259.2,256.7,258.0,10568.0,67541.0
2000-02-16,259.0,259.0,257.4,258.6,7174.0,64460.0
2000-02-17,259.5,260.0,257.3,257.8,14363.0,67457.0
2000-02-18,256.5,259.5,256.4,259.4,8843.0,64873.0
2000-02-22,263.3,265.3,263.3,263.6,9155.0,66120.0
2000-02-23,262.0,262.0,258.1,258.1,9863.0,64778.0
2000-02-24,257.1,259.8,256.8,259.6,7827.0,63979.0
2000-02-25,259.5,259.5,256.1,256.3,9204.0,63341.0
2000-02-28,256.0,256.3,253.3,253.8,8932.0,62184.0
2000-02-29,253.3,255.9,252.7,254.6,6234.0,63180.0
2000-03-01,253.6,256.3,253.2,253.7,4232.0,59599.0
2000-03-02,253.0,254.0,252.3,253.5,4070.0,59572.0
2000-03-03,253.5,255.9,252.7,254.8,6726.0,59767.0
2000-03-06,254.8,258.5,254.8,256.6,2673.0,59573.0
2000-03-07,257.5,258.2,255.7,256.1,7089.0,61168.0
2000-03-08,255.7,258.0,255.6,256.5,7489.0,61765.0
2000-03-09,258.0,258.9,256.1,256.3,6974.0,62779.0
2000-03-10,255.5,255.7,252.8,252.9,8768.0,62571.0
2000-03-13,253.5,257.8,253.5,257.5,5253.0,63757.0
2000-03-14,257.8,264.5,257.8,264.4,9544.0,66467.0
2000-03-15,264.0,266.3,261.0,261.2,7588.0,68892.0
2000-03-16,260.2,267.1,259.6,263.9,16676.0,68670.0
2000-03-17,268.0,271.4,267.1,271.1,14555.0,70282.0
2000-03-20,265.0,265.5,262.1,263.3,12542.0,68466.0
2000-03-21,262.3,262.7,260.4,261.2,4480.0,65351.0
2000-03-22,262.0,263.8,260.5,263.0,5703.0,66987.0
2000-03-23,261.5,262.1,260.2,260.4,4407.0,67714.0
2000-03-24,260.9,263.4,260.9,262.2,3627.0,68094.0
2000-03-27,264.0,264.5,262.0,262.9,2276.0,67125.0
2000-03-28,262.0,262.6,261.2,262.2,5307.0,68112.0
2000-03-29,262.0,265.8,261.8,264.6,7897.0,68170.0
2000-03-30,265.5,268.2,265.5,267.8,5488.0,68039.0
2000-03-31,269.0,272.2,267.0,267.7,9624.0,68888.0
2000-04-03,280.0,280.0,277.5,277.7,9106.0,69485.0
2000-04-04,272.0,272.1,268.5,269.5,11878.0,70212.0
2000-04-05,275.0,277.7,274.0,277.4,7247.0,69707.0
2000-04-06,275.0,275.5,272.5,272.9,6164.0,70753.0
2000-04-07,272.5,275.0,270.4,274.5,8974.0,69654.0
2000-04-10,273.0,274.6,272.0,274.0,4418.0,69566.0
2000-04-11,274.0,274.8,272.5,272.7,11354.0,67759.0
2000-04-12,272.0,276.0,272.0,275.8,6476.0,68901.0
2000-04-13,276.5,279.5,276.0,278.8,8939.0,66251.0
2000-04-14,280.5,281.2,274.7,275.1,15486.0,70379.0
2000-04-17,275.1,276.5,274.7,276.1,15486.0,70379.0
2000-04-18,276.4,280.0,275.9,279.8,5041.0,67653.0
2000-04-19,279.0,280.5,277.7,278.1,12248.0,63727.0
2000-04-20,276.0,278.1,276.0,277.5,6098.0,62908.0
2000-04-24,278.5,282.7,277.5,281.7,7431.0,63511.0
2000-04-25,281.0,284.0,279.7,281.8,12367.0,59812.0
2000-04-26,282.0,283.5,280.0,280.3,9434.0,58692.0
2000-04-27,279.0,279.5,276.0,276.3,9877.0,59687.0
2000-04-28,276.5,277.0,274.0,274.2,10134.0,59766.0
2000-05-01,279.0,284.2,277.2,282.0,14314.0,61466.0
2000-05-02,283.0,285.0,281.1,281.1,6597.0,63226.0
2000-05-03,282.0,288.0,282.0,284.6,15321.0,65890.0
2000-05-04,283.0,285.8,282.5,284.5,7420.0,66080.0
2000-05-05,283.5,283.5,279.3,280.2,7646.0,64374.0
2000-05-08,276.0,278.1,275.2,275.8,3713.0,63564.0
2000-05-09,275.5,277.8,275.0,275.4,7139.0,64808.0
2000-05-10,277.0,281.5,276.3,280.2,8036.0,64234.0
2000-05-11,279.5,280.5,277.1,278.5,4146.0,64609.0
2000-05-12,275.5,276.8,275.1,276.4,6500.0,64185.0
2000-05-15,275.0,275.0,266.9,269.1,7871.0,64187.0
2000-05-16,269.5,270.9,267.9,268.3,15795.0,65013.0
2000-05-17,267.5,269.0,266.2,268.9,9048.0,65082.0
2000-05-18,273.8,275.5,272.0,272.7,5320.0,65082.0
2000-05-19,272.7,274.9,272.0,274.7,2892.0,66164.0
2000-05-23,273.0,273.6,269.5,269.8,4484.0,65206.0
2000-05-24,270.0,270.9,268.3,269.2,8666.0,65789.0
2000-05-25,266.2,267.0,266.0,267.0,10503.0,68197.0
2000-05-26,267.7,267.7,267.7,267.7,6491.0,69859.0
2000-05-30,262.8,263.5,262.0,262.0,7782.0,71998.0
2000-05-31,262.5,262.5,262.5,262.5,3664.0,69898.0
2000-06-01,266.5,268.9,266.5,266.5,5353.0,69558.0
2000-06-02,267.0,268.0,265.9,267.5,9490.0,70077.0
2000-06-05,266.0,266.0,266.0,266.0,6103.0,69004.0
2000-06-06,266.4,266.4,263.7,265.8,8336.0,68142.0
2000-06-07,264.5,264.5,262.5,263.0,11020.0,67041.0
2000-06-08,263.1,263.1,263.1,263.1,6304.0,66290.0
2000-06-09,264.6,264.9,262.8,262.8,4847.0,65082.0
2000-06-12,257.0,260.4,257.0,260.4,5147.0,63664.0
2000-06-13,261.2,261.2,259.7,260.9,6228.0,63311.0
2000-06-14,260.0,261.0,260.0,260.2,7490.0,58246.0
2000-06-15,261.5,261.5,260.0,260.2,5097.0,56469.0
2000-06-16,262.0,262.0,260.1,260.1,5468.0,54538.0
2000-06-19,259.8,259.8,259.5,259.5,7832.0,53493.0
2000-06-20,258.5,259.0,257.8,258.4,5699.0,54312.0
2000-06-21,259.6,259.8,257.8,257.8,5660.0,53776.0
2000-06-22,258.0,258.3,256.0,256.0,8730.0,55176.0
2000-06-23,254.5,255.0,252.4,252.5,8748.0,54942.0
2000-06-26,249.8,253.1,249.8,252.0,10211.0,57275.0
2000-06-27,252.0,252.0,251.0,251.0,5340.0,56590.0
2000-06-28,250.6,252.4,249.9,249.9,6729.0,52656.0
2000-06-29,251.0,251.9,250.8,251.3,6705.0,52122.0
2000-06-30,250.0,251.3,249.5,249.5,3425.0,51032.0
2000-07-05,246.0,248.2,246.0,246.7,4128.0,47768.0
2000-07-06,246.0,246.0,244.0,244.0,7675.0,47418.0
2000-07-07,246.3,246.5,245.5,246.0,3227.0,47804.0
2000-07-10,243.7,245.3,242.8,244.6,3386.0,47556.0
2000-07-11,246.3,247.8,246.1,247.7,5011.0,47372.0
2000-07-12,248.3,249.5,246.4,248.7,3962.0,46503.0
2000-07-13,248.5,249.5,247.6,248.0,4655.0,45741.0
2000-07-14,247.1,247.1,245.1,245.2,5262.0,45072.0
2000-07-17,244.5,245.0,244.1,244.9,2773.0,45735.0
2000-07-18,245.5,245.6,244.1,244.1,3269.0,45674.0
2000-07-19,243.5,246.3,243.3,244.0,3719.0,46585.0
2000-07-20,245.0,245.8,243.5,243.8,2561.0,49369.0
2000-07-21,243.7,244.6,243.3,244.5,4568.0,47082.0
2000-07-24,254.5,255.0,253.0,253.0,3154.0,46190.0
2000-07-25,252.0,252.4,251.5,252.1,4702.0,46438.0
2000-07-26,252.3,252.5,251.1,252.4,2484.0,46590.0
2000-07-27,253.0,253.4,251.8,252.0,2587.0,45025.0
2000-07-28,252.2,253.2,251.5,252.9,3642.0,46348.0
2000-07-31,251.5,253.5,251.1,252.7,5269.0,45306.0
2000-08-01,253.2,254.3,253.0,254.0,5761.0,44294.0
2000-08-02,254.5,255.4,254.1,254.7,3137.0,44594.0
2000-08-03,254.0,255.0,253.7,254.1,2672.0,45133.0
2000-08-04,254.1,254.6,252.1,252.1,3778.0,45541.0
2000-08-08,252.5,254.0,251.7,253.8,3790.0,48835.0
2000-08-09,253.5,253.8,252.5,252.6,6907.0,48260.0
2000-08-10,253.5,253.7,251.6,252.5,3017.0,48805.0
2000-08-11,251.5,254.3,251.5,252.7,3847.0,48408.0
2000-08-14,252.9,254.4,252.7,254.1,2501.0,49793.0
2000-08-15,254.0,254.5,253.1,253.4,2986.0,49314.0
2000-08-16,253.5,257.0,253.5,256.5,4839.0,51492.0
2000-08-17,256.1,258.9,255.0,255.2,6644.0,53633.0
2000-08-18,255.0,256.3,254.5,255.1,2978.0,54692.0
2000-08-21,254.6,254.7,254.1,254.1,2128.0,54374.0
2000-08-22,254.6,255.5,253.5,253.7,5363.0,55650.0
2000-08-23,253.0,255.0,253.0,254.7,3582.0,55135.0
2000-08-24,255.0,255.5,254.6,255.2,3215.0,55570.0
2000-08-25,255.2,255.7,254.0,254.1,3725.0,55202.0
2000-08-28,255.0,255.4,254.0,254.7,3322.0,53629.0
2000-08-29,255.5,257.6,255.5,257.0,6410.0,54777.0
2000-08-30,257.0,258.9,256.8,256.8,4834.0,56104.0
2000-08-31,257.3,261.3,257.3,261.1,6326.0,56847.0
2000-09-01,260.8,263.3,260.6,261.0,6326.0,56847.0
2000-09-05,264.0,268.2,263.5,267.5,6299.0,55294.0
2000-09-06,265.9,266.0,261.0,261.5,13668.0,58764.0
2000-09-07,261.2,261.4,259.4,259.6,8297.0,55530.0
2000-09-08,261.0,262.8,260.3,262.7,10109.0,58951.0
2000-09-11,262.2,263.8,261.5,261.9,8652.0,58794.0
2000-09-12,261.0,263.5,259.9,261.9,10273.0,60061.0
2000-09-13,262.5,262.7,260.4,260.5,5561.0,59427.0
2000-09-14,259.8,260.0,257.0,257.2,10488.0,58911.0
2000-09-15,256.5,256.5,254.6,254.7,10571.0,57980.0
2000-09-18,254.4,256.7,254.2,255.5,3384.0,58508.0
2000-09-19,255.0,255.1,253.7,254.6,4797.0,60751.0
2000-09-20,254.8,256.3,254.8,255.8,5552.0,58567.0
2000-09-21,255.8,258.1,255.8,257.2,6717.0,59552.0
2000-09-22,257.3,259.6,257.2,258.9,10366.0,60790.0
2000-09-25,258.9,258.9,256.3,256.7,4904.0,59512.0
2000-09-26,257.5,259.1,257.2,258.3,4336.0,60489.0
2000-09-27,257.5,261.0,257.0,260.9,4685.0,60849.0
2000-09-28,262.0,264.5,262.0,262.1,4884.0,62578.0
2000-09-29,262.0,262.0,260.1,260.8,6709.0,64684.0
2000-10-02,260.8,262.9,260.0,261.2,19348.0,69733.0
2000-10-03,261.2,261.6,260.1,260.4,5036.0,67365.0
2000-10-04,260.4,261.0,259.5,259.6,7346.0,68660.0
2000-10-05,259.5,260.2,258.7,259.6,7356.0,70572.0
2000-10-06,260.5,260.8,258.5,259.0,7356.0,70572.0
2000-10-10,259.0,259.5,258.5,259.2,5877.0,76084.0
2000-10-11,259.2,259.2,257.5,257.7,3439.0,73522.0
2000-10-12,257.5,258.2,256.0,256.4,7840.0,71768.0
2000-10-13,262.5,262.8,258.5,258.7,6852.0,74360.0
2000-10-16,251.5,252.6,250.3,252.5,7578.0,75417.0
2000-10-17,253.2,255.8,253.0,255.3,9073.0,74798.0
2000-10-18,260.5,262.4,259.5,259.7,11049.0,77117.0
2000-10-19,260.2,261.8,259.6,260.4,12674.0,80607.0
2000-10-20,261.0,261.2,258.6,259.0,9772.0,74889.0
2000-10-23,258.3,258.8,257.1,257.5,10371.0,72329.0
2000-10-24,258.0,259.5,256.8,259.1,13993.0,73384.0
2000-10-25,259.6,260.2,258.7,258.9,13842.0,71679.0
2000-10-26,258.0,258.8,255.1,256.2,15406.0,70597.0
2000-10-27,256.0,256.3,255.0,255.2,12416.0,69815.0
2000-10-30,254.7,255.0,253.0,253.3,10101.0,68480.0
2000-10-31,252.5,255.4,252.0,253.2,11955.0,69005.0
2000-11-01,253.0,255.3,253.0,254.6,5339.0,65515.0
2000-11-02,258.0,259.0,257.0,258.7,10057.0,64792.0
2000-11-03,259.0,259.5,257.6,258.4,2756.0,65466.0
2000-11-06,258.9,260.4,258.1,259.0,4943.0,66630.0
2000-11-07,258.5,260.0,257.9,259.7,7700.0,65545.0
2000-11-08,260.9,262.2,259.6,261.8,4989.0,67265.0
2000-11-09,260.5,261.1,258.6,259.1,4025.0,67960.0
2000-11-10,259.0,260.0,257.5,257.6,6911.0,66026.0
2000-11-14,259.0,259.4,258.5,258.6,7554.0,66997.0
2000-11-15,259.0,263.6,259.0,262.9,8011.0,67915.0
2000-11-16,262.9,265.0,260.3,261.7,7723.0,66027.0
2000-11-17,262.5,264.5,262.0,263.6,6878.0,65191.0
2000-11-20,266.0,266.1,264.6,264.7,8910.0,64450.0
2000-11-21,264.5,264.5,262.4,263.1,7184.0,61747.0
2000-11-22,263.5,264.4,263.5,264.3,4365.0,63397.0
2000-11-24,266.0,268.4,265.2,265.4,5144.0,62409.0
2000-11-27,267.0,267.5,263.3,263.5,11641.0,63640.0
2000-11-28,262.5,264.5,262.2,264.0,7916.0,64083.0
2000-11-29,264.5,265.5,263.6,263.9,6540.0,62897.0
2000-11-30,264.4,266.5,263.0,266.5,9110.0,61690.0
2000-12-01,266.9,267.4,266.0,267.2,6698.0,62514.0
2000-12-04,267.0,269.1,267.0,268.2,9304.0,64022.0
2000-12-05,267.0,267.0,266.0,266.6,8216.0,65871.0
2000-12-06,266.6,269.6,266.6,269.3,10811.0,67693.0
2000-12-07,270.2,270.7,268.2,268.7,12026.0,68381.0
2000-12-08,268.5,271.5,268.2,271.1,11774.0,66651.0
2000-12-11,270.0,270.3,269.3,269.6,9519.0,65472.0
2000-12-12,275.3,276.1,275.0,275.6,10618.0,64697.0
2000-12-13,275.5,276.7,275.2,276.4,7886.0,67062.0
2000-12-14,276.5,277.1,275.9,277.1,13891.0,64080.0
2000-12-15,276.7,278.2,276.3,278.1,12115.0,68189.0
2000-12-18,278.5,279.5,278.1,279.1,9660.0,70560.0
2000-12-19,279.1,280.0,278.8,279.7,9430.0,67240.0
2000-12-20,280.0,280.0,278.7,279.2,13234.0,64791.0
2000-12-21,279.0,279.2,278.5,279.1,14496.0,62640.0
2000-12-22,279.3,279.3,278.4,278.7,14496.0,62640.0
2000-12-27,276.5,276.5,271.5,271.9,11489.0,65011.0
2000-12-28,272.0,272.6,269.4,269.9,18098.0,62715.0
2000-12-29,271.0,271.0,268.3,269.7,9449.0,59078.0
2001-01-03,261.5,265.5,261.4,265.5,7023.0,52063.0
2001-01-04,264.8,264.8,264.8,264.8,4859.0,50233.0
2001-01-05,264.0,264.0,264.0,264.0,7489.0,48923.0
2001-01-08,263.0,263.0,261.0,262.3,8491.0,49688.0
2001-01-09,262.7,262.7,262.7,262.7,6081.0,50674.0
2001-01-10,262.5,262.5,262.0,262.0,8191.0,52248.0
2001-01-11,259.2,259.2,259.2,259.2,6254.0,54521.0
2001-01-12,261.2,261.2,261.2,261.2,13995.0,58303.0
2001-01-16,260.3,260.3,260.3,260.3,8666.0,58995.0
2001-01-17,261.3,261.3,261.3,261.3,10859.0,59220.0
2001-01-18,261.3,261.3,261.3,261.3,8246.0,60546.0
2001-01-19,261.5,261.5,261.5,261.5,17837.0,59917.0
2001-01-22,261.4,261.4,261.4,261.4,10868.0,59273.0
2001-01-30,259.0,259.9,258.8,259.7,10547.0,66380.0
2001-01-31,259.5,259.5,258.0,258.0,5491.0,64942.0
2001-02-01,258.4,261.7,257.9,261.6,9831.0,69975.0
2001-02-02,261.0,262.7,260.6,261.8,11491.0,71897.0
