Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2000-01-03,6.15,6.18,6.05,6.1,31234.0,174567.0
2000-01-04,6.08,6.11,5.76,5.77,30567.0,180374.0
2000-01-06,5.9,5.94,5.76,5.77,608.0,181008.0
2000-01-07,5.81,5.88,5.69,5.84,16879.0,181961.0
2000-01-10,5.85,5.93,5.78,5.83,11485.0,178843.0
2000-01-11,5.77,5.8,5.65,5.67,22466.0,183662.0
2000-01-12,5.6,5.62,5.42,5.45,36730.0,188501.0
2000-01-13,5.45,5.53,5.4,5.49,19247.0,190035.0
2000-01-14,5.56,5.6,5.43,5.45,20453.0,193234.0
2000-01-18,5.38,5.44,5.28,5.29,26626.0,197073.0
2000-01-19,5.38,5.49,5.33,5.49,17910.0,196984.0
2000-01-20,5.45,5.6,5.45,5.56,17715.0,198727.0
2000-01-21,5.47,5.52,5.42,5.43,15378.0,196873.0
2000-01-24,5.38,5.41,5.26,5.29,19263.0,197517.0
2000-01-25,5.35,5.4,5.3,5.32,18060.0,198075.0
2000-01-26,5.37,5.53,5.37,5.42,27278.0,197988.0
2000-01-27,5.36,5.52,5.36,5.41,25798.0,200774.0
2000-01-28,5.41,5.57,5.41,5.47,19279.0,202537.0
2000-01-31,5.47,5.59,5.32,5.42,32452.0,200685.0
2000-02-01,5.3,5.42,5.3,5.39,32452.0,200685.0
2000-02-02,5.42,5.54,5.42,5.5,13763.0,203776.0
2000-02-03,5.65,5.68,5.54,5.61,33744.0,203486.0
2000-02-04,5.58,5.8,5.58,5.79,27123.0,202170.0
2000-02-07,5.85,5.94,5.63,5.66,38731.0,196817.0
2000-02-08,5.68,5.69,5.4,5.53,35927.0,199934.0
2000-02-09,5.7,5.74,5.63,5.67,20486.0,194671.0
2000-02-10,5.7,5.7,5.63,5.66,23967.0,193700.0
2000-02-11,5.65,5.69,5.65,5.67,13030.0,192120.0
2000-02-14,5.62,5.62,5.38,5.4,39657.0,196919.0
2000-02-15,5.35,5.48,5.2,5.3,42747.0,199379.0
2000-02-16,5.4,5.44,5.1,5.11,44927.0,199588.0
2000-02-17,5.19,5.29,5.14,5.22,24350.0,201935.0
2000-02-18,5.2,5.24,5.16,5.17,26635.0,200929.0
2000-02-22,5.2,5.27,5.18,5.24,26987.0,200392.0
2000-02-23,5.23,5.27,5.2,5.24,29941.0,199197.0
2000-02-24,5.19,5.23,5.16,5.2,41411.0,200693.0
2000-02-25,5.18,5.21,4.97,4.99,48771.0,200217.0
2000-02-28,4.9,4.99,4.84,4.88,41964.0,195165.0
2000-02-29,4.94,5.03,4.91,4.99,19899.0,197890.0
2000-03-01,4.98,5.14,4.98,5.08,16721.0,193348.0
2000-03-02,5.08,5.13,4.94,4.96,19019.0,200341.0
2000-03-03,4.96,5.06,4.96,5.05,10269.0,194487.0
2000-03-06,5.1,5.16,5.03,5.04,17419.0,194330.0
2000-03-07,5.05,5.14,5.03,5.07,15838.0,192780.0
2000-03-08,5.13,5.29,5.07,5.12,22859.0,191278.0
2000-03-09,5.19,5.21,5.13,5.16,12112.0,193540.0
2000-03-10,5.23,5.26,5.15,5.22,13931.0,195199.0
2000-03-13,5.3,5.43,5.26,5.42,30744.0,191339.0
2000-03-14,5.37,5.39,5.17,5.28,22155.0,194855.0
2000-03-15,5.29,5.35,5.18,5.25,15537.0,196484.0
2000-03-16,5.32,5.35,5.25,5.34,10683.0,195406.0
2000-03-17,5.34,5.35,5.26,5.27,9914.0,195684.0
2000-03-20,5.2,5.29,5.11,5.13,14929.0,194484.0
2000-03-21,5.09,5.22,5.06,5.2,18494.0,195555.0
