Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2000-01-04,534.0,539.0,532.0,537.5,12142.0,72777.0
2000-01-06,515.0,521.5,515.0,516.7,13895.0,73036.0
2000-01-07,517.5,521.5,517.5,519.5,4885.0,72511.0
2000-01-10,519.0,523.0,518.0,519.0,6052.0,73061.0
2000-01-11,520.0,522.0,519.0,519.5,4451.0,68107.0
2000-01-12,518.5,522.5,512.5,514.3,19941.0,74130.0
2000-01-13,512.5,517.5,512.5,515.3,11783.0,74410.0
2000-01-14,514.0,518.0,513.0,515.0,5692.0,64021.0
2000-01-18,516.5,519.0,512.5,516.5,5656.0,65453.0
2000-01-19,516.0,519.5,514.0,517.3,6770.0,75429.0
2000-01-20,515.5,528.5,515.5,525.7,23229.0,76459.0
2000-01-21,524.0,530.0,523.0,526.0,12232.0,76984.0
2000-01-24,526.5,532.0,525.5,529.3,9838.0,77085.0
2000-01-25,533.0,536.0,530.0,531.5,10354.0,76786.0
2000-01-26,525.5,531.5,525.5,528.3,7885.0,77226.0
2000-01-27,533.0,543.0,533.0,541.5,28817.0,77269.0
2000-01-28,544.5,546.5,532.0,532.7,564.0,81286.0
2000-01-31,533.0,536.0,527.5,531.7,12995.0,79689.0
2000-02-01,530.0,532.0,523.0,525.3,12377.0,70717.0
2000-02-02,526.0,531.5,523.5,524.0,10458.0,79960.0
2000-02-03,525.5,529.5,524.0,528.8,7876.0,79834.0
2000-02-04,529.0,560.0,528.0,557.2,2605.0,86721.0
2000-02-07,553.0,560.0,526.0,528.0,7147.0,87473.0
2000-02-08,532.0,536.0,528.0,534.0,16765.0,84690.0
2000-02-09,539.0,546.0,539.0,543.0,21130.0,85769.0
2000-02-10,543.0,547.0,535.0,543.0,14679.0,85500.0
2000-02-11,542.0,542.0,534.0,535.0,13044.0,84388.0
2000-02-14,532.0,532.0,526.0,527.0,464.0,83016.0
2000-02-15,527.0,530.0,525.0,526.0,1502.0,82171.0
2000-02-16,527.0,532.0,526.0,530.0,12445.0,82527.0
2000-02-17,533.0,536.0,525.0,526.0,17223.0,81353.0
2000-02-18,527.0,530.0,526.0,528.0,5942.0,81280.0
2000-02-22,528.0,530.0,524.0,529.0,13487.0,79946.0
2000-02-23,530.0,530.0,526.0,526.0,13286.0,79725.0
2000-02-24,526.0,526.0,516.0,517.0,44606.0,77378.0
2000-02-25,521.0,521.0,508.0,509.0,61020.0,75978.0
2000-02-28,511.0,514.0,509.0,511.0,63996.0,71191.0
2000-02-29,513.0,515.0,510.0,511.0,15359.0,74070.0
2000-03-01,517.0,519.0,512.0,513.0,10743.0,73243.0
2000-03-02,508.0,511.0,506.0,506.0,19953.0,74587.0
2000-03-03,507.0,517.0,506.0,515.0,12062.0,71985.0
2000-03-06,514.0,514.0,510.0,511.0,5292.0,72577.0
2000-03-07,511.0,516.0,511.0,512.0,7379.0,74416.0
2000-03-08,511.0,514.0,511.0,512.0,4196.0,74143.0
2000-03-09,509.0,516.0,507.0,514.0,6187.0,73300.0
2000-03-10,514.0,516.0,511.0,511.0,3508.0,73038.0
2000-03-13,514.0,516.0,511.0,511.0,4946.0,73975.0
2000-03-14,512.0,516.0,511.0,513.0,5104.0,74268.0
2000-03-15,512.0,520.0,511.0,516.0,10179.0,71197.0
2000-03-16,516.0,516.0,509.0,512.0,10179.0,74622.0
2000-03-17,512.0,514.0,511.0,513.0,5081.0,75568.0
2000-03-20,512.0,514.0,506.0,507.0,11027.0,76220.0
2000-03-21,508.0,520.0,507.0,516.0,18606.0,74137.0
2000-03-22,516.0,521.0,515.0,516.0,9887.0,74113.0
2000-03-23,514.0,516.0,510.0,512.0,50.0,74473.0
2000-03-24,512.0,517.0,511.0,515.0,6982.0,76738.0
2000-03-27,512.0,514.0,511.0,512.0,6149.0,76742.0
2000-03-28,511.0,514.0,509.0,510.0,6193.0,78683.0
2000-03-29,510.0,512.0,497.0,498.0,32844.0,81387.0
2000-03-30,497.0,499.0,492.0,498.0,31582.0,79984.0
2000-03-31,497.0,505.0,495.0,505.0,11128.0,83217.0
2000-04-03,507.0,507.0,503.0,506.0,6001.0,79830.0
2000-04-04,503.0,521.0,501.0,516.0,36336.0,73613.0
2000-04-05,516.0,519.0,511.0,514.0,9798.0,71579.0
2000-04-06,511.0,514.0,510.0,513.0,1311.0,71203.0
2000-04-07,513.0,514.0,511.0,512.0,85.0,71314.0
2000-04-10,514.0,518.0,514.0,517.0,7488.0,69027.0
2000-04-11,516.0,518.0,513.0,514.0,14531.0,69128.0
2000-04-12,513.0,518.0,511.0,515.0,6842.0,70735.0
2000-04-13,515.0,520.0,514.0,518.0,17738.0,73668.0
2000-04-14,518.0,524.0,512.0,518.0,23314.0,76705.0
2000-04-17,518.0,518.0,514.0,514.0,7280.0,75465.0
2000-04-18,512.0,518.0,511.0,514.0,14846.0,76854.0
2000-04-19,515.0,516.0,512.0,513.0,9082.0,76915.0
2000-04-20,513.0,514.0,497.0,500.0,41912.0,78279.0
2000-04-24,502.0,503.0,495.0,495.0,25182.0,88920.0
2000-04-25,499.0,502.0,497.0,501.0,21343.0,82551.0
2000-04-26,503.0,505.0,498.0,500.0,38478.0,82728.0
2000-04-27,501.0,505.0,497.0,501.0,34528.0,80255.0
