Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2000-01-04,175.5,176.0,172.0,172.3,3993.0,39591.0
2000-01-05,172.5,173.2,171.0,173.0,1612.0,40383.0
2000-01-06,173.0,174.4,172.2,172.8,2082.0,40293.0
2000-01-07,172.5,173.2,171.0,172.8,2616.0,40179.0
2000-01-10,172.6,173.3,172.5,172.9,5744.0,40009.0
2000-01-11,172.5,173.2,170.0,170.3,5778.0,40575.0
2000-01-12,170.7,170.9,167.0,168.3,2657.0,41519.0
2000-01-13,168.5,169.4,168.0,169.4,3441.0,42036.0
2000-01-14,170.0,171.0,168.4,168.6,904.0,43284.0
2000-01-17,168.4,168.8,168.0,168.6,5141.0,43454.0
2000-01-18,168.5,168.6,166.1,166.4,4381.0,44723.0
2000-01-19,167.0,169.4,166.5,168.9,2925.0,44512.0
2000-01-20,170.0,170.0,167.7,169.6,2864.0,45738.0
2000-01-21,169.9,170.0,168.0,168.7,5706.0,46111.0
2000-01-24,168.8,169.0,166.2,166.4,3513.0,45551.0
2000-01-25,166.2,167.8,166.1,166.4,3457.0,45576.0
2000-01-26,166.2,169.8,165.4,167.8,1198.0,46170.0
2000-01-27,167.4,168.0,166.5,166.7,2295.0,46056.0
2000-01-28,166.5,168.0,165.3,167.4,3717.0,46209.0
2000-01-31,168.0,168.7,166.2,167.4,4831.0,44907.0
2000-02-01,167.4,167.6,165.0,166.2,9758.0,44967.0
2000-02-02,166.0,168.0,166.0,167.4,6394.0,44507.0
2000-02-03,167.0,172.0,167.0,169.7,4957.0,43776.0
2000-02-04,169.5,173.6,169.5,173.5,9717.0,45047.0
2000-02-07,174.3,179.5,172.8,173.0,4081.0,42139.0
2000-02-08,173.0,173.0,170.0,170.8,7392.0,42191.0
2000-02-09,170.5,172.9,169.1,169.8,4102.0,42545.0
2000-02-10,169.7,171.0,169.5,170.7,4140.0,41841.0
2000-02-11,170.7,171.0,168.5,170.6,6269.0,41232.0
2000-02-14,172.6,172.6,163.6,170.9,3179.0,38372.0
2000-02-15,166.5,166.5,166.5,166.5,3144.0,38915.0
2000-02-16,167.8,167.8,167.8,167.8,1050.0,39113.0
2000-02-17,167.8,168.1,167.0,167.4,960.0,39445.0
2000-02-18,167.4,167.4,166.1,166.6,143.0,39523.0
