Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2000-01-31,9.39,9.39,9.39,9.39,,
2000-02-29,9.31,9.31,9.31,9.31,,
2000-03-31,9.14,9.14,9.14,9.14,,
2000-04-28,8.5,8.5,8.5,8.5,,
2000-05-31,8.23,8.23,8.23,8.23,,
2000-06-30,8.1,8.1,8.1,8.1,,
2000-07-31,7.96,7.96,7.96,7.96,,
2000-08-31,7.57,7.57,7.57,7.57,,
2000-09-29,7.4,7.4,7.4,7.4,,
2000-10-31,7.13,7.13,7.13,7.13,,
2000-11-30,7.14,7.14,7.14,7.14,,
2000-12-29,7.1,7.1,7.1,7.1,,
2001-01-31,7.39,7.39,7.39,7.39,,
2001-02-28,7.69,7.69,7.69,7.69,,
2001-03-30,8.23,8.23,8.23,8.23,,
2001-04-30,9.0,9.0,9.0,9.0,,
2001-05-31,8.78,8.78,8.78,8.78,,
2001-06-29,8.75,8.75,8.75,8.75,,
2001-07-31,8.95,8.95,8.95,8.95,,
2001-08-31,9.15,9.15,9.15,9.15,,
2001-09-28,9.47,9.47,9.47,9.47,,
2001-10-31,9.43,9.43,9.43,9.43,,
2001-11-30,9.5,9.5,9.5,9.5,,
2001-12-31,9.59,9.59,9.59,9.59,,
2002-01-31,9.72,9.72,9.72,9.72,,
2002-02-28,9.95,9.95,9.95,9.95,,
2002-03-29,9.75,9.75,9.75,9.75,,
2002-04-30,9.9,9.9,9.9,9.9,,
2002-05-31,9.9,9.9,9.9,9.9,,
2002-06-28,9.89,9.89,9.89,9.89,,
2002-07-31,9.85,9.85,9.85,9.85,,
2002-08-30,9.8,9.8,9.8,9.8,,
2002-09-30,9.84,9.84,9.84,9.84,,
2002-10-31,9.86,9.86,9.86,9.86,,
2002-11-29,9.88,9.88,9.88,9.88,,
2002-12-31,10.16,10.16,10.16,10.16,,
2003-01-31,10.1,10.1,10.1,10.1,,
2003-02-28,10.1,10.1,10.1,10.1,,
2003-03-31,10.1,10.1,10.1,10.1,,
2003-04-30,10.9,10.9,10.9,10.9,,
