Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2000-01-03,205.75,205.75,200.5,200.75,128746.0,391990.0
2000-01-04,201.5,203.5,200.75,203.0,97496.0,394371.0
2000-01-06,203.0,205.75,203.0,203.75,98432.0,402333.0
2000-01-07,203.25,207.75,202.75,207.0,118752.0,406215.0
2000-01-10,205.75,209.25,204.75,208.5,130510.0,410464.0
2000-01-11,208.0,209.25,206.25,207.25,124494.0,414897.0
2000-01-12,213.25,216.75,212.0,215.5,361150.0,441733.0
2000-01-13,215.5,221.5,214.5,220.75,292256.0,452422.0
2000-01-14,220.0,221.75,218.5,219.0,204816.0,458460.0
2000-01-18,216.5,220.5,215.75,220.0,150062.0,462504.0
2000-01-19,220.25,221.0,218.75,220.75,111652.0,465934.0
2000-01-20,221.0,221.5,218.75,220.75,100310.0,467313.0
2000-01-21,221.0,223.0,220.0,222.75,126182.0,477550.0
2000-01-24,224.5,227.5,223.75,227.25,195700.0,479192.0
2000-01-25,227.0,228.25,226.0,227.5,152660.0,475713.0
2000-01-26,226.0,226.0,222.75,223.0,142086.0,474619.0
2000-01-27,222.0,226.5,221.25,225.75,142898.0,481036.0
2000-01-28,225.5,226.75,222.75,223.5,101288.0,481628.0
2000-01-31,221.0,221.0,218.5,220.0,140770.0,483327.0
2000-02-01,220.75,222.25,219.5,222.0,94416.0,483145.0
2000-02-02,222.0,223.0,220.5,220.75,83158.0,484785.0
2000-02-03,220.25,220.25,217.25,218.0,128992.0,482444.0
2000-02-04,215.75,220.25,214.25,219.75,171140.0,483511.0
2000-02-07,220.5,222.0,220.0,221.5,106194.0,481772.0
2000-02-08,219.75,222.5,219.25,221.25,109158.0,482868.0
2000-02-09,219.5,222.75,219.5,222.5,124070.0,481997.0
2000-02-10,223.25,226.0,222.5,225.5,160406.0,487004.0
2000-02-11,225.0,225.75,221.25,221.75,148698.0,488635.0
2000-02-14,222.75,224.25,222.0,222.25,100640.0,484562.0
2000-02-15,220.25,223.75,219.75,222.25,115742.0,488190.0
2000-02-16,222.75,223.75,221.25,223.0,155480.0,489473.0
2000-02-17,231.0,231.25,229.5,229.75,151130.0,487051.0
2000-02-18,229.0,229.75,228.5,228.75,120034.0,486990.0
2000-02-22,229.25,229.5,227.5,228.0,157928.0,483070.0
2000-02-23,226.5,226.5,222.75,223.25,246422.0,471003.0
2000-02-24,222.75,225.0,222.0,224.75,211458.0,464541.0
2000-02-25,225.0,225.0,221.25,221.5,241520.0,462094.0
2000-02-28,220.5,222.75,220.0,220.75,291334.0,452587.0
2000-02-29,220.5,224.5,220.0,224.0,243942.0,452108.0
2000-03-01,223.25,224.75,222.75,223.0,164276.0,453451.0
2000-03-02,222.75,224.5,222.0,224.0,121150.0,450822.0
2000-03-03,224.5,226.25,224.25,225.5,132486.0,450649.0
2000-03-06,225.25,229.0,224.5,228.75,167392.0,449783.0
2000-03-07,228.75,229.0,225.0,225.25,142834.0,451888.0
2000-03-08,224.5,228.0,224.25,226.25,129118.0,452359.0
2000-03-09,227.5,229.25,227.0,227.25,131492.0,453261.0
2000-03-10,227.5,228.0,225.5,226.75,95808.0,453208.0
2000-03-13,228.25,231.75,228.0,230.75,198264.0,453376.0
2000-03-14,231.5,238.25,231.5,238.0,306832.0,483635.0
2000-03-15,236.75,238.0,235.75,236.0,176504.0,488734.0
2000-03-16,235.25,239.75,234.25,235.25,167200.0,493461.0
2000-03-17,239.5,241.75,238.25,240.75,181864.0,507817.0
2000-03-20,234.25,237.25,233.5,235.75,131258.0,509149.0
2000-03-21,235.5,236.5,231.25,232.0,129480.0,503995.0
2000-03-22,233.0,234.75,231.75,234.5,87712.0,506925.0
2000-03-23,232.75,232.75,229.5,230.25,133700.0,504838.0
2000-03-24,231.75,233.75,230.5,232.0,113176.0,505541.0
2000-03-27,234.0,234.75,229.75,232.5,107074.0,512655.0
2000-03-28,231.0,231.0,224.75,225.0,194720.0,506215.0
2000-03-29,226.0,227.5,224.0,227.0,135986.0,496074.0
2000-03-30,229.75,233.5,229.25,233.25,125480.0,498584.0
2000-03-31,235.0,238.5,234.25,236.0,152424.0,501404.0
2000-04-03,238.5,239.0,233.75,234.25,125990.0,503532.0
2000-04-04,233.75,234.25,230.0,232.0,114668.0,497499.0
2000-04-05,231.5,234.0,229.75,232.0,95132.0,498889.0
2000-04-06,229.0,229.75,226.75,227.0,126266.0,500650.0
2000-04-07,234.75,238.0,233.75,237.75,115896.0,496751.0
2000-04-10,234.75,236.0,234.5,235.5,113082.0,496086.0
2000-04-11,233.75,235.75,231.5,231.75,171732.0,490359.0
2000-04-12,232.0,234.75,232.0,234.0,121178.0,487983.0
2000-04-13,235.5,237.0,233.75,236.25,143406.0,488918.0
2000-04-14,238.25,238.75,234.5,235.0,178064.0,488996.0
2000-04-17,233.5,235.75,232.0,232.5,120570.0,488768.0
2000-04-18,232.5,234.75,232.0,233.5,128710.0,489799.0
2000-04-19,234.0,237.5,233.75,236.75,144338.0,493533.0
2000-04-20,233.5,236.5,233.5,235.75,109658.0,488026.0
2000-04-24,236.0,237.5,233.75,236.75,139770.0,482975.0
2000-04-25,238.25,239.75,237.25,239.5,215246.0,476104.0
2000-04-26,240.25,241.0,236.25,236.5,201882.0,470276.0
2000-04-27,235.5,236.0,233.5,234.25,233738.0,464667.0
2000-04-28,234.25,235.0,231.5,232.0,173226.0,463582.0
2000-05-01,237.0,244.0,236.5,244.0,269714.0,471693.0
2000-05-02,244.5,249.0,244.5,246.25,252158.0,477479.0
2000-05-03,248.5,258.25,244.25,250.75,340144.0,500820.0
2000-05-04,249.5,251.5,248.5,250.25,148728.0,500520.0
2000-05-05,249.0,249.5,246.0,248.25,167058.0,501812.0
2000-05-08,244.0,246.25,240.25,241.0,199250.0,498241.0
2000-05-09,238.75,240.25,237.75,238.75,164092.0,490129.0
2000-05-10,241.0,246.0,240.75,244.25,138254.0,489393.0
2000-05-11,245.0,246.0,242.0,244.75,114022.0,485645.0
2000-05-12,241.0,246.5,240.75,245.75,114266.0,488880.0
2000-05-15,240.75,241.0,234.0,238.75,224772.0,478432.0
2000-05-16,238.25,240.25,235.25,235.5,113622.0,473316.0
2000-05-17,232.0,237.25,232.0,235.5,157358.0,471456.0
2000-05-18,241.0,242.0,237.0,238.0,141284.0,470999.0
2000-05-19,238.5,241.0,237.5,240.0,81240.0,469723.0
2000-05-22,238.5,243.5,237.75,241.0,96238.0,470831.0
2000-05-23,240.0,241.25,238.0,238.25,85238.0,468140.0
2000-05-24,237.0,237.0,234.0,235.0,127866.0,468098.0
2000-05-25,234.25,236.0,229.0,230.5,220756.0,458146.0
2000-05-26,230.75,234.0,230.5,233.5,99040.0,455099.0
2000-05-30,225.5,226.5,222.5,224.25,202034.0,451502.0
2000-05-31,225.5,226.0,223.25,225.5,122282.0,451238.0
2000-06-01,227.5,228.5,224.75,225.5,122922.0,453485.0
2000-06-02,226.25,229.5,226.25,229.0,110866.0,451013.0
2000-06-05,227.0,228.0,224.25,225.5,125128.0,451087.0
2000-06-06,224.25,226.0,222.75,225.75,91892.0,449641.0
2000-06-07,222.5,222.75,219.0,219.75,186330.0,451354.0
2000-06-08,219.5,220.0,217.25,219.0,144714.0,453697.0
2000-06-09,218.5,221.0,218.5,219.25,117348.0,455325.0
2000-06-12,210.0,212.5,208.0,208.25,263528.0,461623.0
2000-06-13,209.0,210.0,207.5,207.75,131682.0,457972.0
2000-06-14,205.0,205.5,200.25,203.25,242882.0,454220.0
2000-06-15,205.25,207.25,204.0,205.75,128748.0,451693.0
2000-06-16,229.5,230.0,227.25,227.5,108098.0,450398.0
2000-06-19,225.25,225.5,223.5,225.25,129510.0,453120.0
2000-06-20,223.75,223.75,220.75,222.5,172882.0,449060.0
2000-06-21,222.25,225.5,221.75,223.75,134040.0,450763.0
2000-06-22,226.0,226.25,223.0,223.25,145198.0,449727.0
2000-06-23,221.25,222.0,219.0,219.25,161828.0,444359.0
2000-06-26,214.5,216.25,213.75,214.75,201698.0,436827.0
2000-06-27,216.5,218.25,216.5,217.25,175514.0,431659.0
2000-06-28,214.75,216.0,212.75,213.0,242392.0,423752.0
2000-06-29,216.25,217.0,215.0,216.0,302704.0,407585.0
2000-06-30,206.0,210.5,205.0,207.5,221554.0,402040.0
2000-07-03,204.25,204.5,199.25,202.75,183478.0,402164.0
2000-07-05,201.0,204.75,201.0,204.0,144702.0,399338.0
2000-07-06,201.75,202.75,199.25,200.0,154012.0,394976.0
2000-07-07,204.0,206.25,201.5,202.5,114228.0,393952.0
2000-07-10,197.5,199.0,196.0,198.75,140266.0,394019.0
2000-07-11,199.5,199.75,196.5,196.75,100596.0,391223.0
2000-07-12,193.25,198.0,192.75,197.5,170774.0,395806.0
2000-07-13,198.75,199.25,196.25,197.75,111952.0,393543.0
2000-07-14,196.5,196.5,193.0,194.25,106510.0,395217.0
2000-07-17,192.5,192.75,190.0,191.25,122958.0,392294.0
2000-07-18,193.0,195.0,192.25,192.5,135730.0,389642.0
2000-07-19,190.75,195.0,190.5,193.5,107866.0,389861.0
2000-07-20,193.5,199.0,193.25,198.0,110690.0,387821.0
2000-07-21,197.5,200.0,197.0,199.75,95180.0,387739.0
2000-07-24,201.0,201.25,195.5,196.25,99620.0,386916.0
2000-07-25,194.5,195.25,193.0,193.25,93968.0,385245.0
2000-07-26,193.75,194.0,191.25,192.25,84088.0,386996.0
2000-07-27,194.5,194.75,192.5,192.5,72476.0,388617.0
2000-07-28,193.0,194.5,191.75,192.0,75280.0,390161.0
2000-07-31,189.0,194.0,189.0,192.25,132180.0,393801.0
2000-08-01,193.0,193.5,191.0,192.0,83716.0,395295.0
2000-08-02,193.25,194.25,192.5,192.75,70602.0,392235.0
2000-08-03,190.75,194.5,190.5,192.0,80890.0,392206.0
2000-08-04,191.0,192.75,190.5,190.75,58826.0,391989.0
2000-08-07,191.5,191.75,189.5,190.0,64866.0,393225.0
2000-08-08,190.5,192.0,189.75,191.75,72372.0,388462.0
2000-08-09,190.5,191.25,189.75,190.75,103818.0,386145.0
2000-08-10,192.0,192.25,189.0,189.5,106856.0,386586.0
2000-08-11,186.0,188.25,185.5,187.25,160176.0,395949.0
2000-08-14,187.25,188.75,186.75,188.0,77394.0,396363.0
2000-08-15,187.5,188.5,187.25,188.0,70330.0,396522.0
2000-08-16,188.25,191.75,188.0,191.0,107892.0,396706.0
2000-08-17,190.25,193.0,190.25,191.0,106558.0,398541.0
2000-08-18,190.0,191.0,189.5,189.75,80688.0,396540.0
2000-08-21,189.0,189.25,188.0,188.75,83270.0,386445.0
2000-08-22,188.5,190.0,187.75,188.0,90562.0,386898.0
2000-08-23,187.25,188.0,186.5,187.5,108602.0,385042.0
2000-08-24,187.25,188.75,186.75,188.25,111882.0,384917.0
2000-08-25,189.0,190.5,188.25,188.75,126698.0,385785.0
2000-08-28,194.0,195.0,190.0,191.75,91328.0,379611.0
2000-08-29,194.25,197.5,193.5,196.5,160546.0,377046.0
2000-08-30,197.0,197.0,193.5,193.75,254504.0,377046.0
2000-08-31,194.75,196.75,193.5,196.5,196112.0,377046.0
2000-09-01,195.75,195.75,194.0,194.25,154302.0,354929.0
2000-09-05,197.0,199.75,196.0,198.0,165016.0,357103.0
2000-09-06,196.0,196.5,193.5,193.75,150338.0,355025.0
2000-09-07,193.0,194.0,192.25,193.25,102724.0,353827.0
2000-09-08,194.25,196.5,194.25,195.5,95394.0,353715.0
2000-09-11,194.25,196.25,194.0,196.0,100462.0,353833.0
2000-09-12,193.0,194.25,191.5,194.0,137300.0,353544.0
2000-09-13,195.25,195.25,191.25,191.5,91600.0,352622.0
2000-09-14,191.0,191.25,189.5,189.75,85008.0,351935.0
2000-09-15,189.25,189.5,187.5,187.75,97462.0,353835.0
2000-09-18,187.25,190.5,186.75,189.5,103014.0,353645.0
2000-09-19,188.0,189.25,187.0,187.25,77558.0,355570.0
2000-09-20,187.5,190.0,187.5,188.0,79222.0,356540.0
2000-09-21,187.75,191.0,187.25,190.25,83588.0,358211.0
2000-09-22,190.5,195.0,190.25,194.0,115592.0,359420.0
2000-09-25,193.25,194.75,192.25,193.25,91674.0,357253.0
2000-09-26,194.25,196.25,193.75,194.5,92886.0,359820.0
2000-09-27,194.0,195.0,192.5,194.5,71976.0,362408.0
2000-09-28,196.0,197.0,195.5,196.25,111782.0,362850.0
2000-09-29,198.75,199.0,197.25,197.75,128532.0,366304.0
2000-10-02,197.5,200.75,196.75,199.25,126128.0,370733.0
2000-10-03,199.75,203.75,199.0,203.5,182326.0,372610.0
2000-10-04,203.5,206.25,202.5,204.25,148668.0,379005.0
2000-10-05,202.25,204.5,202.0,203.5,89530.0,379225.0
2000-10-06,202.5,206.0,202.25,203.25,106858.0,382586.0
2000-10-09,202.5,202.75,201.0,201.5,60076.0,381052.0
2000-10-10,200.75,204.0,200.75,203.5,82038.0,383007.0
2000-10-11,203.25,205.5,202.75,204.5,93968.0,382564.0
2000-10-12,210.0,211.0,207.75,208.0,216840.0,393667.0
2000-10-13,208.0,209.25,207.0,208.0,109906.0,398406.0
2000-10-16,208.0,208.25,206.25,206.75,96022.0,398722.0
2000-10-17,207.25,208.25,206.5,207.5,88558.0,400253.0
2000-10-18,206.0,207.25,205.75,206.25,79756.0,402092.0
2000-10-19,206.75,208.0,206.5,206.75,106320.0,403793.0
2000-10-20,206.5,207.5,205.0,205.25,100340.0,407957.0
2000-10-23,204.25,204.75,203.0,203.25,111354.0,410065.0
2000-10-24,203.0,204.5,202.5,204.0,101720.0,409896.0
2000-10-25,203.5,204.0,203.0,203.25,96160.0,413643.0
2000-10-26,203.0,203.5,202.0,202.25,75290.0,413974.0
