Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2005-03-24,1.245,1.245,1.245,1.245,74.0,217.0
2005-03-28,1.23,1.23,1.23,1.23,8.0,217.0
2005-03-29,1.225,1.225,1.225,1.225,94.0,233.0
2005-03-30,1.215,1.215,1.215,1.215,,
2005-03-31,1.23,1.23,1.23,1.23,136.0,246.0
2005-04-01,1.215,1.215,1.215,1.215,10.0,241.0
2005-04-04,1.2,1.2,1.2,1.2,2.0,240.0
2005-04-05,1.205,1.205,1.205,1.205,10.0,241.0
2005-04-06,1.2,1.2,1.2,1.2,8.0,241.0
2005-04-07,1.16,1.16,1.16,1.16,60.0,233.0
2005-04-08,1.15,1.15,1.15,1.15,70.0,217.0
2005-04-11,1.17,1.17,1.17,1.17,,
2005-04-12,1.17,1.17,1.17,1.17,10.0,217.0
2005-04-13,1.17,1.17,1.17,1.17,,
2005-04-14,1.17,1.17,1.17,1.17,,
2005-04-15,1.17,1.17,1.17,1.17,18.0,218.0
2005-04-18,1.17,1.17,1.17,1.17,,
2005-04-19,1.19,1.19,1.19,1.19,10.0,218.0
2005-04-20,1.19,1.19,1.19,1.19,,
2005-04-21,1.19,1.19,1.19,1.19,,
2005-04-22,1.19,1.19,1.19,1.19,10.0,223.0
2005-04-25,1.19,1.19,1.19,1.19,,
2005-04-26,1.19,1.19,1.19,1.19,,
2005-04-27,1.16,1.16,1.16,1.16,,
2005-04-28,1.15,1.15,1.15,1.15,30.0,215.0
2005-04-29,1.15,1.15,1.15,1.15,,
2005-05-02,1.15,1.15,1.15,1.15,,
2005-05-03,1.18,1.18,1.18,1.18,4.0,220.0
2005-05-04,1.18,1.18,1.18,1.18,,
2005-05-05,1.18,1.18,1.18,1.18,46.0,200.0
2005-05-06,1.18,1.18,1.18,1.18,,
2005-05-09,1.18,1.18,1.18,1.18,,
2005-05-10,1.18,1.18,1.18,1.18,,
2005-05-11,1.18,1.18,1.18,1.18,,
2005-05-12,1.16,1.16,1.16,1.16,58.0,202.0
2005-05-13,1.16,1.16,1.16,1.16,,
2005-05-16,1.16,1.16,1.16,1.16,20.0,192.0
2005-05-17,1.17,1.17,1.17,1.17,24.0,183.0
2005-05-18,1.18,1.18,1.18,1.18,66.0,160.0
2005-05-19,1.19,1.19,1.19,1.19,26.0,150.0
2005-05-20,1.17,1.17,1.17,1.17,56.0,142.0
2005-05-23,1.18,1.18,1.18,1.18,20.0,133.0
2005-05-24,1.18,1.18,1.18,1.18,18.0,129.0
2005-05-25,1.19,1.19,1.19,1.19,64.0,112.0
2005-05-26,1.19,1.19,1.19,1.19,30.0,93.0
2005-05-27,1.2,1.2,1.2,1.2,12.0,88.0
2005-05-31,1.2,1.2,1.2,1.2,,
2005-06-01,1.21,1.21,1.21,1.21,4.0,86.0
2005-06-02,1.225,1.225,1.225,1.225,20.0,75.0
2005-06-03,1.21,1.21,1.21,1.21,4.0,75.0
2005-06-06,1.21,1.21,1.21,1.21,,
2005-06-07,1.23,1.23,1.23,1.23,24.0,80.0
2005-06-08,1.22,1.22,1.22,1.22,,
