Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2000-01-03,16.1,16.1,15.67,15.7,35978.0,130411.0
2000-01-04,15.7,15.94,15.58,15.82,54452.0,128133.0
2000-01-05,15.89,16.08,15.86,15.96,44806.0,127491.0
2000-01-06,15.93,16.18,15.93,16.05,55758.0,129206.0
2000-01-07,16.09,16.23,16.01,16.19,25710.0,128571.0
2000-01-10,16.03,16.08,15.94,15.98,27846.0,128630.0
2000-01-11,15.96,16.02,15.75,15.78,34582.0,130968.0
2000-01-12,16.0,16.05,15.78,15.93,36038.0,134179.0
2000-01-13,15.93,16.43,15.88,16.41,52538.0,133172.0
2000-01-14,16.4,16.53,16.25,16.32,44276.0,134467.0
2000-01-18,16.15,16.56,16.06,16.53,32824.0,135665.0
2000-01-19,16.6,16.77,16.31,16.34,68232.0,135329.0
2000-01-20,16.32,16.46,16.2,16.28,28260.0,135168.0
2000-01-21,16.32,16.32,16.1,16.18,26916.0,135368.0
2000-01-24,16.38,16.54,16.3,16.45,23256.0,134455.0
2000-01-25,16.48,16.64,16.36,16.48,28528.0,133360.0
2000-01-26,16.48,16.53,16.37,16.48,23060.0,133404.0
2000-01-27,16.32,17.15,16.3,17.11,77472.0,132008.0
2000-01-28,17.2,17.42,16.96,17.04,75300.0,129541.0
2000-01-31,16.75,16.8,16.47,16.58,52632.0,129426.0
2000-02-01,16.64,16.65,16.36,16.48,23018.0,128040.0
2000-02-02,16.48,16.49,16.11,16.19,33532.0,127440.0
2000-02-03,16.05,16.08,15.9,15.96,40274.0,128816.0
2000-02-04,15.85,15.91,15.68,15.82,52076.0,130988.0
2000-02-07,15.82,16.05,15.82,15.97,21490.0,130456.0
2000-02-08,15.83,15.94,15.75,15.76,32668.0,133121.0
2000-02-09,15.67,15.81,15.55,15.79,44382.0,133065.0
2000-02-10,16.17,16.3,16.1,16.26,29494.0,130724.0
2000-02-11,16.18,16.18,15.94,15.95,43342.0,132534.0
2000-02-14,15.88,16.07,15.85,15.89,34474.0,135363.0
2000-02-15,15.82,15.91,15.75,15.79,45214.0,136808.0
2000-02-16,15.8,15.96,15.8,15.92,47454.0,138951.0
2000-02-17,15.92,15.93,15.76,15.77,73950.0,141649.0
2000-02-18,15.77,16.1,15.72,15.99,35722.0,143795.0
2000-02-22,16.15,16.33,16.1,16.11,61428.0,139531.0
2000-02-23,16.01,16.05,15.8,15.91,48542.0,138244.0
2000-02-24,15.88,16.06,15.87,16.04,50056.0,136453.0
2000-02-25,16.0,16.06,15.65,15.7,69674.0,137888.0
2000-02-28,15.66,15.83,15.6,15.66,58050.0,140350.0
2000-02-29,15.68,15.93,15.63,15.83,58514.0,139705.0
2000-03-01,15.87,16.09,15.82,15.84,46544.0,139737.0
2000-03-02,15.82,15.99,15.77,15.96,38238.0,139809.0
2000-03-03,16.0,16.56,15.99,16.38,70400.0,137683.0
2000-03-06,16.38,16.61,16.28,16.51,30526.0,137126.0
2000-03-07,16.65,16.7,16.23,16.29,39604.0,134893.0
2000-03-08,16.25,16.44,16.25,16.37,36676.0,133539.0
2000-03-09,16.42,16.49,16.22,16.23,30696.0,134313.0
2000-03-10,16.2,16.32,16.08,16.2,51520.0,136018.0
2000-03-13,16.29,16.55,16.27,16.47,34928.0,137130.0
2000-03-14,16.57,17.09,16.53,17.02,73998.0,139344.0
2000-03-15,17.07,17.13,16.81,16.85,38748.0,140941.0
2000-03-16,16.8,17.22,16.64,16.94,44210.0,139178.0
2000-03-17,17.17,17.9,17.12,17.85,72858.0,149923.0
2000-03-20,17.5,17.6,17.26,17.46,37196.0,147757.0
2000-03-21,17.38,17.42,17.22,17.27,29128.0,147395.0
2000-03-22,17.35,17.58,17.35,17.5,42188.0,149123.0
2000-03-23,17.42,17.46,17.08,17.16,36484.0,148224.0
2000-03-24,17.27,17.5,17.25,17.4,27164.0,149842.0
2000-03-27,17.55,17.7,17.45,17.6,25152.0,148888.0
2000-03-28,17.7,17.7,17.46,17.5,22602.0,148582.0
2000-03-29,17.48,17.99,17.35,17.79,43154.0,153154.0
2000-03-30,17.8,18.0,17.75,17.88,42082.0,155275.0
2000-03-31,17.99,18.48,17.92,18.31,52328.0,157198.0
2000-04-03,18.4,18.7,18.35,18.54,43288.0,158551.0
2000-04-04,18.53,18.53,18.12,18.39,39058.0,157345.0
2000-04-05,18.32,18.52,18.27,18.48,25060.0,156142.0
2000-04-06,18.25,18.25,17.78,17.84,37612.0,156301.0
2000-04-07,17.6,18.0,17.55,17.97,27100.0,155313.0
2000-04-10,17.82,17.91,17.72,17.77,20458.0,154861.0
2000-04-11,17.73,18.06,17.68,17.73,51116.0,156466.0
2000-04-12,18.12,18.4,18.1,18.34,28364.0,155568.0
2000-04-13,18.52,18.72,18.38,18.66,38336.0,157959.0
2000-04-14,18.88,18.94,18.5,18.54,36888.0,158218.0
2000-04-17,18.48,18.6,18.38,18.46,36690.0,157988.0
2000-04-18,18.38,18.77,18.38,18.74,59206.0,158403.0
2000-04-19,18.8,19.06,18.76,18.94,65376.0,157834.0
2000-04-20,18.72,19.0,18.68,18.94,41792.0,157753.0
2000-04-24,18.86,18.94,18.72,18.91,53870.0,157265.0
2000-04-25,18.88,18.9,18.73,18.75,69774.0,151689.0
2000-04-26,18.8,18.82,18.44,18.46,64908.0,150893.0
2000-04-27,18.21,18.27,17.97,18.09,85882.0,146328.0
2000-04-28,18.05,18.14,17.88,18.05,52274.0,142284.0
2000-05-01,18.3,18.88,18.25,18.59,57312.0,140727.0
2000-05-02,18.6,18.78,18.46,18.54,40686.0,139938.0
2000-05-03,18.6,19.02,18.56,18.58,66056.0,143067.0
2000-05-04,18.45,18.78,18.4,18.58,33836.0,144224.0
2000-05-05,18.43,18.45,18.21,18.22,39718.0,143625.0
2000-05-08,17.95,18.08,17.76,17.87,44464.0,142053.0
2000-05-09,17.79,18.02,17.75,17.91,32370.0,139559.0
2000-05-10,18.0,18.24,17.8,17.93,41572.0,139894.0
2000-05-11,17.85,17.94,17.81,17.85,27310.0,138441.0
2000-05-12,17.63,17.67,17.45,17.48,35558.0,135779.0
2000-05-15,17.12,17.17,16.49,17.03,81514.0,126787.0
2000-05-16,17.02,17.31,16.96,17.0,30968.0,127490.0
2000-05-17,16.8,17.18,16.75,17.05,29184.0,127548.0
2000-05-18,17.25,17.44,17.07,17.23,31332.0,128098.0
2000-05-19,17.08,17.3,17.08,17.19,15870.0,127660.0
2000-05-22,17.02,17.3,17.02,17.21,18672.0,126704.0
2000-05-23,17.18,17.3,17.13,17.24,18452.0,126665.0
2000-05-24,17.17,17.22,16.97,17.17,27546.0,127170.0
2000-05-25,17.05,17.08,16.7,16.76,66266.0,127258.0
2000-05-26,16.72,16.82,16.64,16.66,28092.0,127856.0
2000-05-30,16.25,16.27,15.84,15.86,72458.0,132778.0
2000-05-31,15.98,16.04,15.86,15.87,63096.0,136721.0
2000-06-01,16.0,16.24,15.98,16.21,27254.0,136312.0
2000-06-02,16.25,16.82,16.23,16.76,45390.0,136822.0
2000-06-05,16.82,16.85,16.46,16.52,38128.0,138800.0
2000-06-06,16.55,16.58,16.3,16.44,35546.0,138771.0
2000-06-07,16.3,16.4,16.23,16.3,37232.0,139594.0
2000-06-08,16.35,16.55,16.26,16.5,22818.0,140462.0
2000-06-09,16.4,16.54,16.34,16.36,28242.0,140323.0
2000-06-12,16.0,16.32,15.95,16.3,49108.0,144575.0
2000-06-13,16.3,16.42,16.08,16.11,49526.0,147523.0
2000-06-14,16.05,16.15,15.9,16.11,50984.0,147597.0
2000-06-15,16.15,16.37,16.15,16.21,104964.0,146546.0
2000-06-16,16.35,16.5,16.35,16.45,36812.0,146237.0
2000-06-19,16.45,16.7,16.42,16.59,50026.0,144326.0
2000-06-20,16.6,16.65,16.46,16.61,40378.0,141176.0
2000-06-21,16.62,16.75,16.55,16.64,47406.0,140891.0
2000-06-22,16.7,16.78,16.38,16.41,38174.0,141567.0
2000-06-23,16.36,16.37,16.11,16.13,44062.0,140979.0
2000-06-26,16.0,16.38,15.98,16.11,63476.0,139183.0
2000-06-27,16.26,16.32,16.16,16.16,54834.0,137099.0
2000-06-28,16.12,16.31,16.11,16.18,59322.0,136471.0
2000-06-29,16.37,16.39,16.12,16.18,75984.0,134596.0
2000-06-30,16.08,16.19,15.98,15.99,67092.0,132963.0
2000-07-03,15.85,15.85,15.58,15.63,71350.0,135763.0
2000-07-05,15.6,15.73,15.57,15.72,48588.0,134013.0
2000-07-06,15.72,15.72,15.51,15.53,52088.0,135543.0
2000-07-07,15.7,15.8,15.6,15.71,39214.0,134755.0
2000-07-10,15.5,15.9,15.41,15.89,38146.0,133942.0
2000-07-11,15.92,15.92,15.74,15.76,45232.0,132945.0
2000-07-12,15.7,15.82,15.65,15.7,47308.0,132854.0
2000-07-13,15.75,15.85,15.56,15.62,34866.0,132176.0
2000-07-14,15.64,15.64,15.43,15.54,29224.0,132205.0
2000-07-17,15.5,15.51,15.28,15.41,29302.0,133995.0
2000-07-18,15.5,15.52,15.31,15.34,30438.0,132609.0
2000-07-19,15.3,15.55,15.25,15.34,29640.0,133465.0
2000-07-20,15.4,15.58,15.4,15.49,31770.0,134103.0
2000-07-21,15.56,15.63,15.47,15.62,40220.0,134910.0
2000-07-24,15.8,15.8,15.45,15.49,31378.0,135905.0
2000-07-25,15.67,15.7,15.52,15.56,48016.0,134656.0
2000-07-26,15.65,15.65,15.5,15.52,44832.0,135420.0
2000-07-27,15.59,15.6,15.5,15.58,35048.0,135053.0
2000-07-28,15.62,15.68,15.5,15.54,58028.0,137386.0
2000-07-31,15.39,15.59,15.38,15.58,60248.0,136145.0
2000-08-01,15.61,15.68,15.47,15.59,56874.0,134983.0
2000-08-02,15.67,15.73,15.59,15.67,45768.0,132851.0
2000-08-03,15.6,15.6,15.34,15.41,51276.0,133615.0
2000-08-04,15.37,15.47,15.28,15.3,46914.0,132209.0
2000-08-07,15.47,15.47,15.14,15.2,47574.0,133191.0
2000-08-08,15.28,15.34,15.19,15.33,34312.0,133452.0
2000-08-09,15.28,15.34,15.22,15.24,18838.0,133272.0
2000-08-10,15.38,15.38,15.18,15.24,21734.0,134649.0
2000-08-11,15.13,15.37,15.13,15.24,24400.0,133753.0
2000-08-14,15.22,15.31,15.2,15.29,18456.0,133894.0
2000-08-15,15.27,15.35,15.2,15.23,27588.0,135342.0
2000-08-16,15.23,15.57,15.18,15.55,39024.0,133655.0
2000-08-17,15.55,15.65,15.31,15.33,33960.0,134814.0
2000-08-18,15.28,15.3,15.2,15.27,32504.0,133254.0
2000-08-21,15.41,15.55,15.36,15.42,27450.0,135776.0
2000-08-22,15.49,15.51,15.35,15.36,35352.0,136474.0
2000-08-23,15.38,15.42,15.24,15.31,41478.0,137326.0
2000-08-24,15.35,15.36,15.23,15.33,39814.0,137449.0
2000-08-25,15.37,15.44,15.24,15.26,30978.0,139533.0
2000-08-28,15.45,15.45,15.32,15.35,30978.0,140679.0
2000-08-29,15.55,15.85,15.51,15.73,43752.0,138360.0
2000-08-30,15.7,16.0,15.69,15.72,58042.0,138360.0
2000-08-31,15.85,15.93,15.7,15.89,58042.0,138360.0
2000-09-01,15.91,16.09,15.87,15.98,66876.0,138923.0
2000-09-05,16.15,16.25,15.99,16.06,55226.0,138754.0
2000-09-06,15.97,15.98,15.54,15.58,60050.0,137531.0
2000-09-07,15.57,15.57,15.35,15.36,50200.0,135873.0
2000-09-08,15.45,15.88,15.34,15.82,48938.0,136281.0
2000-09-11,15.76,15.92,15.71,15.88,26788.0,134519.0
2000-09-12,15.77,15.83,15.62,15.83,34518.0,134367.0
2000-09-13,15.88,15.88,15.58,15.7,36356.0,134196.0
2000-09-14,15.68,15.68,15.3,15.4,45274.0,138914.0
2000-09-15,15.7,15.79,15.65,15.76,32878.0,137712.0
2000-09-18,15.62,15.72,15.45,15.49,44050.0,140618.0
2000-09-19,15.48,15.64,15.45,15.59,34118.0,141490.0
2000-09-20,15.64,15.87,15.64,15.65,30826.0,139087.0
2000-09-21,15.64,15.74,15.55,15.62,27644.0,138122.0
2000-09-22,15.66,15.76,15.63,15.66,35520.0,135018.0
2000-09-25,15.65,15.67,15.55,15.58,35438.0,134804.0
2000-09-26,15.63,15.75,15.56,15.65,35002.0,136116.0
2000-09-27,15.62,15.88,15.57,15.78,50444.0,135284.0
2000-09-28,15.87,16.05,15.85,15.95,65386.0,133838.0
2000-09-29,15.95,16.04,15.75,15.78,68904.0,129926.0
2000-10-02,15.7,15.8,15.62,15.73,53732.0,126109.0
2000-10-03,15.66,15.72,15.51,15.58,50020.0,125807.0
2000-10-04,15.47,15.72,15.4,15.49,42924.0,127802.0
2000-10-05,15.45,15.58,15.38,15.5,26608.0,127818.0
2000-10-06,15.48,15.67,15.45,15.46,32266.0,127707.0
2000-10-09,15.39,15.53,15.38,15.43,17362.0,127261.0
2000-10-10,15.45,15.66,15.43,15.45,32610.0,129126.0
2000-10-11,15.43,15.54,15.31,15.34,36570.0,131488.0
2000-10-12,15.37,15.4,15.21,15.22,36732.0,130502.0
2000-10-13,15.28,15.35,15.12,15.14,28100.0,133364.0
2000-10-16,15.09,15.19,15.03,15.05,29420.0,133783.0
2000-10-17,15.12,15.13,14.87,14.89,48548.0,136645.0
2000-10-18,14.9,14.92,14.8,14.82,23522.0,139370.0
2000-10-19,14.96,15.0,14.7,14.72,42728.0,141274.0
2000-10-20,14.72,14.95,14.7,14.74,32466.0,139623.0
2000-10-23,14.72,14.85,14.7,14.79,22630.0,140767.0
2000-10-24,14.88,14.89,14.68,14.82,33142.0,142009.0
