Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2000-01-03,147.9,148.2,145.7,146.7,23780.0,97013.0
2000-01-04,147.0,149.1,147.0,148.6,43162.0,97285.0
2000-01-05,149.0,152.0,148.0,151.8,52764.0,101732.0
2000-01-06,151.7,152.7,150.2,150.4,52302.0,102269.0
2000-01-07,149.7,151.2,149.2,150.7,26200.0,102852.0
2000-01-10,148.5,150.4,148.3,149.4,30922.0,103754.0
2000-01-11,149.2,151.5,149.1,150.3,32952.0,105047.0
2000-01-12,154.5,155.0,152.4,152.5,59470.0,108603.0
2000-01-13,152.3,155.2,151.7,154.3,51308.0,111094.0
2000-01-14,154.3,158.7,154.0,158.5,80994.0,116876.0
2000-01-18,155.8,160.5,155.5,159.4,50458.0,118859.0
2000-01-19,158.7,160.7,157.4,159.3,47078.0,120494.0
2000-01-20,158.8,163.1,158.8,162.0,52358.0,124300.0
2000-01-21,162.0,163.0,160.6,162.3,40376.0,125411.0
2000-01-24,165.5,165.5,161.7,164.1,43044.0,124679.0
2000-01-25,163.5,165.5,163.3,165.3,24776.0,124791.0
2000-01-26,164.3,164.8,162.8,163.5,33192.0,125559.0
2000-01-27,162.0,167.8,161.2,166.8,57246.0,130666.0
2000-01-28,165.6,166.7,164.3,165.4,50352.0,132593.0
2000-01-31,163.5,163.5,159.3,161.0,57936.0,131832.0
2000-02-01,161.2,161.9,158.6,161.8,46040.0,129874.0
2000-02-02,161.5,162.8,160.8,162.1,27900.0,130700.0
2000-02-03,161.3,161.5,159.0,159.7,41608.0,127832.0
2000-02-04,158.5,163.0,158.0,162.7,45126.0,128621.0
2000-02-07,163.5,164.5,161.7,162.1,29062.0,127450.0
2000-02-08,160.0,161.9,159.7,160.5,33098.0,127276.0
2000-02-09,159.8,162.5,159.5,162.4,43138.0,127634.0
2000-02-10,163.0,167.5,161.3,167.0,45706.0,126967.0
2000-02-11,166.5,167.0,163.2,164.2,54184.0,129258.0
2000-02-14,164.9,165.6,163.8,164.5,30418.0,128501.0
2000-02-15,163.8,166.4,162.9,166.3,63670.0,126829.0
2000-02-16,166.4,167.2,163.5,164.9,71096.0,124501.0
2000-02-17,167.8,169.6,167.2,169.1,54662.0,125974.0
2000-02-18,169.0,172.1,168.8,171.5,63486.0,126087.0
2000-02-22,172.5,172.5,170.2,170.5,78814.0,124464.0
2000-02-23,168.8,169.3,163.7,163.9,80516.0,119416.0
2000-02-24,163.3,166.3,162.4,166.1,74376.0,117886.0
2000-02-25,165.5,165.7,160.1,163.9,105782.0,117497.0
2000-02-28,163.0,165.0,162.8,164.6,45082.0,115222.0
2000-02-29,164.0,165.8,164.0,165.3,41290.0,114450.0
2000-03-01,165.0,167.0,163.8,164.1,59970.0,116059.0
2000-03-02,163.5,166.5,162.5,165.9,57728.0,115950.0
2000-03-03,166.3,166.8,165.4,165.6,43890.0,114068.0
2000-03-06,164.5,168.0,164.0,167.7,35546.0,113909.0
2000-03-07,167.8,168.8,165.5,165.7,46642.0,114128.0
2000-03-08,165.2,168.1,165.2,167.8,33364.0,114406.0
2000-03-09,169.0,169.1,168.0,168.2,43392.0,115136.0
2000-03-10,168.0,168.6,165.2,166.3,69594.0,114727.0
2000-03-13,168.5,171.8,167.1,171.3,73374.0,118312.0
2000-03-14,171.4,173.5,171.0,172.5,78908.0,123163.0
2000-03-15,171.7,172.5,169.6,170.0,39190.0,123454.0
2000-03-16,169.5,174.4,169.2,170.0,53288.0,126022.0
2000-03-17,173.0,173.5,170.2,171.8,50810.0,129192.0
2000-03-20,168.5,170.0,167.3,167.7,50052.0,127174.0
2000-03-21,167.2,169.5,167.0,169.4,36670.0,127407.0
2000-03-22,170.0,170.7,168.5,170.4,33208.0,127698.0
2000-03-23,169.1,169.5,166.3,168.3,58472.0,123606.0
2000-03-24,169.7,171.2,168.6,170.1,36750.0,122705.0
2000-03-27,171.3,171.5,168.8,169.2,32244.0,120371.0
2000-03-28,168.3,168.5,167.0,167.7,36400.0,119494.0
2000-03-29,168.0,168.1,165.8,167.7,38518.0,117868.0
2000-03-30,168.5,171.0,168.1,170.8,44358.0,118274.0
2000-03-31,171.8,175.5,171.3,172.2,59652.0,120478.0
2000-04-03,173.5,174.2,171.4,172.2,30756.0,120244.0
2000-04-04,171.6,172.2,165.5,168.5,61038.0,119049.0
2000-04-05,168.8,170.8,167.6,170.6,28048.0,119335.0
2000-04-06,168.4,169.0,167.4,168.2,40736.0,120709.0
2000-04-07,167.0,171.0,166.7,170.9,34346.0,121878.0
2000-04-10,168.4,169.8,167.9,169.3,30682.0,122555.0
2000-04-11,168.0,169.3,167.6,167.8,32982.0,123156.0
2000-04-12,168.2,171.3,168.0,170.9,36718.0,123614.0
2000-04-13,170.5,170.9,169.1,169.8,40424.0,124871.0
2000-04-14,172.5,173.0,168.8,169.7,53512.0,124405.0
2000-04-17,169.4,170.5,168.8,169.2,29336.0,123024.0
2000-04-18,169.2,170.0,168.6,169.8,34260.0,123166.0
2000-04-19,169.8,170.4,168.2,170.2,41404.0,120985.0
2000-04-20,168.2,170.6,168.0,170.1,45084.0,122671.0
2000-04-24,169.8,175.2,169.5,175.1,77826.0,125637.0
2000-04-25,174.6,177.2,174.1,175.4,104712.0,128944.0
2000-04-26,176.6,177.7,175.3,175.4,78456.0,131730.0
2000-04-27,174.5,176.4,173.5,173.7,70912.0,132189.0
2000-04-28,174.2,174.5,169.5,171.4,64164.0,128257.0
2000-05-01,174.0,181.4,174.0,181.4,73858.0,129997.0
2000-05-02,181.4,182.8,180.4,180.8,46896.0,128873.0
2000-05-03,182.2,186.8,182.2,183.8,64268.0,132818.0
2000-05-04,182.5,184.5,182.3,184.1,36578.0,133234.0
2000-05-05,183.0,184.0,182.0,183.9,48978.0,133530.0
2000-05-08,180.8,184.4,180.8,182.8,48814.0,133083.0
2000-05-09,182.0,183.2,180.8,181.4,48410.0,130383.0
2000-05-10,182.8,188.0,182.8,187.8,75184.0,130970.0
2000-05-11,187.8,188.5,184.2,187.8,68634.0,127811.0
