Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2000-01-03,110.0,110.0,107.0,108.25,2148.0,13138.0
2000-01-04,108.5,109.0,108.0,109.0,980.0,13241.0
2000-01-05,108.75,109.5,107.5,109.25,2034.0,13346.0
2000-01-06,109.5,110.0,108.75,109.0,3414.0,13432.0
2000-01-07,109.0,109.5,108.25,109.5,1510.0,13594.0
2000-01-10,108.75,109.75,108.5,109.5,1884.0,13917.0
2000-01-11,109.75,110.0,108.25,108.5,1150.0,13990.0
2000-01-12,110.5,111.0,110.0,110.25,4286.0,14223.0
2000-01-13,110.0,112.0,109.25,111.75,5576.0,15307.0
2000-01-14,111.0,112.5,111.0,112.0,3504.0,15686.0
2000-01-18,111.5,112.5,111.0,112.0,3492.0,16439.0
2000-01-19,112.5,113.75,112.5,113.75,3978.0,16431.0
2000-01-20,114.0,114.25,113.5,114.0,3376.0,16449.0
2000-01-21,114.25,115.0,112.5,112.5,3844.0,16692.0
2000-01-24,113.75,114.75,113.5,114.0,2582.0,16802.0
2000-01-25,114.5,115.5,113.75,115.0,2698.0,16683.0
2000-01-26,114.25,114.25,113.25,113.5,2328.0,16651.0
2000-01-27,113.0,114.25,112.75,114.0,2258.0,17010.0
2000-01-28,114.0,114.25,113.0,113.5,1252.0,17009.0
2000-01-31,112.0,112.5,111.5,112.0,1852.0,16814.0
2000-02-01,112.25,112.5,110.75,111.75,2000.0,16816.0
2000-02-02,111.5,112.0,111.25,111.25,1944.0,16785.0
2000-02-03,111.25,111.25,109.75,110.0,4218.0,16768.0
2000-02-04,109.5,110.5,108.0,110.5,6088.0,17201.0
2000-02-07,111.0,111.5,110.75,111.0,2440.0,16666.0
2000-02-08,111.0,111.0,109.25,109.25,4016.0,16773.0
2000-02-09,109.25,109.5,107.0,108.5,4468.0,17315.0
2000-02-10,109.25,110.25,109.0,110.25,6470.0,17287.0
2000-02-11,110.25,110.25,108.75,109.0,4790.0,17574.0
2000-02-14,109.5,110.25,109.25,109.25,3582.0,17594.0
2000-02-15,108.5,109.25,108.0,108.75,5830.0,17511.0
2000-02-16,108.75,109.25,108.0,108.5,3048.0,17621.0
2000-02-17,108.5,108.5,107.5,107.5,3942.0,17907.0
2000-02-18,107.5,109.0,107.25,108.75,3690.0,18228.0
2000-02-22,109.25,109.5,108.5,108.75,6494.0,18645.0
2000-02-23,108.25,108.5,107.5,107.75,5870.0,18570.0
2000-02-24,107.25,109.25,107.25,109.0,4818.0,18134.0
2000-02-25,109.0,109.25,108.5,108.75,3586.0,17909.0
2000-02-28,108.25,109.75,108.25,108.75,3868.0,17792.0
2000-02-29,108.75,111.75,108.75,111.75,5502.0,17325.0
2000-03-01,111.0,112.75,111.0,111.75,4140.0,17597.0
2000-03-02,111.5,112.0,111.5,112.0,2260.0,17763.0
2000-03-03,112.5,113.5,112.25,112.5,3076.0,17828.0
2000-03-06,113.0,113.25,112.75,113.25,1136.0,17786.0
