Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2000-01-03,5.42,5.5,5.42,5.48,486.0,6406.0
2000-01-04,5.49,5.56,5.47,5.5,836.0,6368.0
2000-01-05,5.52,5.53,5.45,5.51,700.0,6315.0
2000-01-06,5.5,5.58,5.5,5.53,478.0,6311.0
2000-01-07,5.53,5.53,5.49,5.53,714.0,6418.0
2000-01-10,5.53,5.54,5.49,5.49,266.0,6470.0
2000-01-11,5.44,5.49,5.41,5.43,704.0,6472.0
2000-01-12,5.43,5.54,5.39,5.41,478.0,6484.0
2000-01-13,5.44,5.45,5.4,5.43,690.0,6549.0
2000-01-14,5.45,5.54,5.42,5.48,608.0,6605.0
2000-01-18,5.5,5.5,5.45,5.45,1010.0,6814.0
2000-01-19,5.43,5.48,5.37,5.47,1030.0,6829.0
2000-01-20,5.49,5.77,5.47,5.68,4044.0,7246.0
2000-01-21,5.7,5.74,5.58,5.58,1716.0,7389.0
2000-01-24,5.62,5.68,5.57,5.58,1204.0,7437.0
2000-01-25,5.6,5.72,5.59,5.69,1492.0,7366.0
2000-01-26,5.72,5.82,5.67,5.78,1950.0,7572.0
2000-01-27,5.75,5.87,5.69,5.84,1960.0,7524.0
2000-01-28,5.95,5.97,5.87,5.94,2392.0,7479.0
2000-01-31,5.95,5.95,5.67,5.79,2444.0,7247.0
2000-02-01,5.74,5.79,5.69,5.79,828.0,7143.0
2000-02-02,5.76,5.77,5.61,5.7,1248.0,7006.0
2000-02-03,5.7,5.7,5.59,5.63,2010.0,6520.0
2000-02-04,5.6,5.6,5.48,5.56,2108.0,6583.0
2000-02-07,5.56,5.66,5.55,5.59,1084.0,6649.0
2000-02-08,5.6,5.71,5.59,5.69,782.0,6732.0
2000-02-09,5.71,5.75,5.67,5.68,2252.0,6759.0
2000-02-10,5.95,6.0,5.9,5.97,2218.0,6669.0
2000-02-11,5.99,5.99,5.88,5.95,1414.0,6747.0
2000-02-14,5.97,5.98,5.9,5.91,344.0,6655.0
2000-02-15,5.83,5.87,5.73,5.82,2646.0,6498.0
2000-02-16,5.77,5.78,5.7,5.72,1168.0,6575.0
2000-02-17,5.7,5.72,5.68,5.69,1646.0,6685.0
