Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2000-01-03,461.0,466.0,455.75,456.5,82180.0,135418.0
2000-01-04,456.5,466.0,456.5,464.25,90838.0,135255.0
2000-01-05,462.5,470.0,462.5,469.25,107314.0,135585.0
2000-01-06,469.0,473.0,468.0,468.0,105200.0,134773.0
2000-01-07,465.5,472.0,465.5,471.5,88448.0,135390.0
2000-01-10,468.0,469.25,465.0,466.25,99290.0,140076.0
2000-01-11,465.0,470.75,464.0,467.0,90166.0,142749.0
2000-01-12,465.25,479.0,465.25,472.5,125292.0,142862.0
2000-01-13,472.5,483.5,471.0,481.75,133746.0,143218.0
2000-01-14,488.25,498.0,487.5,496.25,134410.0,143981.0
2000-01-18,489.0,503.0,486.5,502.25,115658.0,144887.0
2000-01-19,501.75,504.0,497.75,501.0,101012.0,148995.0
2000-01-20,500.5,506.75,497.5,505.5,100662.0,151799.0
2000-01-21,505.25,507.5,501.0,505.25,87902.0,155323.0
2000-01-24,510.25,515.25,508.0,512.0,100766.0,157645.0
2000-01-25,511.25,517.5,510.5,517.0,80098.0,159160.0
2000-01-26,516.0,516.25,511.75,513.25,84564.0,160440.0
2000-01-27,512.25,528.0,508.0,527.0,172972.0,172955.0
2000-01-28,526.5,529.5,521.5,523.5,122208.0,175413.0
2000-01-31,519.5,519.5,505.0,508.0,121064.0,173440.0
2000-02-01,508.0,511.5,503.0,510.0,90708.0,170641.0
2000-02-02,510.0,513.0,505.5,507.5,70682.0,170888.0
2000-02-03,505.0,506.0,498.0,501.0,101796.0,171890.0
2000-02-04,499.5,506.0,495.0,505.5,110270.0,175051.0
2000-02-07,505.0,510.25,505.0,506.5,86320.0,173412.0
2000-02-08,505.5,505.5,499.0,500.25,84528.0,174373.0
2000-02-09,499.5,504.5,496.75,503.75,80732.0,175991.0
2000-02-10,503.25,514.0,502.5,513.0,103048.0,177800.0
2000-02-11,512.0,514.0,504.25,505.25,111474.0,176918.0
2000-02-14,503.75,510.25,503.75,505.0,75122.0,176898.0
2000-02-15,504.75,510.75,501.5,508.75,90406.0,177860.0
2000-02-16,508.75,512.5,503.25,507.5,85268.0,175980.0
2000-02-17,507.5,510.0,504.5,508.0,79802.0,176828.0
2000-02-18,508.0,516.0,507.75,514.5,123504.0,177604.0
2000-02-22,514.0,519.5,512.5,513.0,147466.0,178029.0
2000-02-23,511.5,512.5,499.5,499.75,182666.0,167831.0
2000-02-24,499.0,505.0,496.0,504.5,138674.0,167343.0
2000-02-25,504.25,505.5,492.0,497.0,171766.0,164976.0
2000-02-28,495.0,501.0,493.0,497.75,141202.0,159424.0
2000-02-29,498.0,502.0,494.5,501.25,123110.0,160141.0
2000-03-01,501.5,504.0,495.5,496.5,109332.0,160318.0
2000-03-02,496.5,502.5,492.5,501.5,129372.0,161951.0
2000-03-03,502.5,507.0,501.0,504.0,98512.0,163595.0
2000-03-06,502.0,509.0,501.5,508.25,93294.0,166649.0
2000-03-07,507.5,510.25,501.75,502.25,108366.0,163061.0
2000-03-08,502.0,508.75,501.5,505.5,98530.0,164475.0
2000-03-09,509.0,510.0,506.25,507.0,85044.0,165382.0
2000-03-10,510.0,510.5,498.75,500.0,112852.0,164648.0
2000-03-13,499.0,513.5,499.0,513.25,126958.0,165979.0
2000-03-14,522.75,531.0,522.5,530.0,149818.0,170171.0
2000-03-15,530.0,530.0,524.0,525.0,103064.0,169911.0
2000-03-16,524.0,534.5,522.5,525.5,134382.0,173768.0
