Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2000-01-03,249.0,251.5,245.25,247.5,33410.0,122038.0
2000-01-04,247.5,248.0,241.0,247.25,48770.0,124913.0
2000-01-05,247.25,250.0,246.0,249.75,42672.0,124335.0
2000-01-06,250.0,251.0,247.5,248.5,39286.0,125219.0
2000-01-07,248.25,252.0,246.0,251.75,41426.0,127130.0
2000-01-10,251.25,255.0,248.75,253.5,45158.0,128204.0
2000-01-11,253.5,256.0,251.5,253.75,47196.0,127807.0
2000-01-12,253.75,260.0,252.25,258.75,57350.0,127763.0
2000-01-13,258.25,263.75,257.0,263.5,59670.0,127282.0
2000-01-14,262.75,267.75,261.25,265.0,72056.0,124691.0
2000-01-18,261.5,265.5,261.0,264.5,37242.0,125313.0
2000-01-19,265.0,267.0,263.0,266.0,32214.0,124806.0
2000-01-20,265.5,265.75,262.5,265.0,41142.0,127465.0
2000-01-21,265.25,266.25,261.5,264.25,38710.0,128282.0
2000-01-24,265.5,269.0,265.0,266.0,55940.0,130229.0
2000-01-25,265.25,266.75,263.0,264.75,31112.0,128760.0
2000-01-26,264.5,264.75,259.0,260.0,48820.0,128879.0
2000-01-27,260.0,264.0,256.5,263.5,75272.0,132181.0
2000-01-28,263.75,264.75,259.0,259.75,42140.0,131042.0
2000-01-31,258.25,258.25,254.0,256.25,44514.0,132039.0
2000-02-01,256.0,260.0,254.25,258.0,33566.0,132156.0
2000-02-02,258.0,260.0,256.5,257.25,25328.0,132246.0
2000-02-03,257.0,257.0,253.0,253.75,51460.0,133136.0
2000-02-04,253.0,257.5,249.0,257.0,59824.0,134318.0
2000-02-07,259.0,260.75,257.0,258.75,48042.0,133362.0
2000-02-08,259.0,260.25,256.5,259.25,42696.0,134920.0
2000-02-09,258.0,266.0,257.0,265.5,72704.0,137280.0
2000-02-10,265.0,273.0,265.0,271.75,115358.0,138433.0
2000-02-11,272.75,273.5,267.5,269.5,118080.0,140023.0
2000-02-14,269.0,272.75,268.0,268.75,45680.0,141233.0
2000-02-15,269.5,269.5,265.0,266.0,55838.0,143832.0
2000-02-16,266.0,268.0,263.25,265.25,75562.0,142917.0
2000-02-17,265.0,267.0,262.0,262.5,40462.0,144500.0
2000-02-18,262.0,265.0,261.0,264.75,41992.0,139819.0
2000-02-22,264.25,267.0,262.0,262.25,69254.0,137996.0
2000-02-23,261.5,262.5,254.25,254.75,100940.0,133094.0
2000-02-24,257.0,257.25,253.5,254.75,72230.0,131582.0
2000-02-25,255.0,258.25,247.5,248.0,114976.0,127713.0
2000-02-28,247.0,253.0,244.0,244.5,125340.0,125842.0
2000-02-29,244.75,248.25,244.0,247.0,72804.0,121916.0
2000-03-01,246.0,249.75,245.75,247.75,60290.0,123954.0
2000-03-02,247.0,247.5,244.25,247.25,68754.0,125944.0
2000-03-03,246.5,248.5,245.5,247.5,41760.0,125952.0
2000-03-06,246.5,250.0,245.75,249.75,42340.0,125798.0
2000-03-07,250.0,252.0,249.0,250.0,47036.0,125776.0
2000-03-08,249.0,252.0,248.0,252.0,36338.0,125849.0
2000-03-09,256.0,256.5,254.0,254.25,46928.0,124619.0
2000-03-10,254.5,254.5,249.5,250.0,30466.0,124976.0
2000-03-13,252.5,254.5,252.0,253.75,21920.0,124534.0
2000-03-14,263.75,271.75,263.75,271.0,65094.0,121605.0
2000-03-15,271.0,271.5,267.25,268.75,35192.0,120675.0
2000-03-16,268.25,270.0,266.0,266.25,39838.0,119974.0
2000-03-17,266.25,273.0,266.0,272.25,54698.0,120772.0
2000-03-20,267.5,268.25,266.0,266.25,32148.0,121320.0
2000-03-21,266.25,266.25,259.25,260.25,59162.0,121039.0
2000-03-22,260.75,263.0,258.0,261.75,37776.0,122142.0
2000-03-23,262.75,262.75,256.0,256.25,52398.0,122309.0
2000-03-24,256.25,258.5,252.0,252.75,77530.0,125092.0
2000-03-27,254.0,256.0,252.75,254.5,24900.0,124177.0
2000-03-28,255.0,255.0,249.5,249.75,38280.0,126069.0
2000-03-29,251.0,252.0,248.5,251.25,24688.0,125897.0
2000-03-30,251.75,256.5,251.0,255.5,30756.0,126229.0
2000-03-31,255.5,263.5,254.75,262.25,76496.0,126838.0
2000-04-03,262.75,267.0,257.0,257.75,51202.0,127024.0
2000-04-04,257.75,259.5,254.0,255.75,28400.0,126121.0
2000-04-05,256.5,258.0,253.75,256.25,34758.0,125383.0
2000-04-06,256.5,257.0,252.25,253.75,38134.0,127262.0
2000-04-07,254.25,259.0,251.25,258.5,43252.0,129707.0
2000-04-10,257.75,257.75,252.5,252.75,44320.0,128787.0
2000-04-11,252.5,255.0,251.5,252.75,47770.0,130458.0
2000-04-12,252.5,256.5,251.75,255.5,42438.0,130445.0
2000-04-13,255.5,258.75,254.5,257.75,47606.0,130650.0
2000-04-14,257.5,261.0,255.25,255.75,42048.0,131878.0
2000-04-17,256.0,258.25,253.0,253.25,40014.0,130049.0
2000-04-18,253.25,256.0,249.5,252.25,62250.0,130344.0
2000-04-19,253.0,253.5,249.25,253.0,47110.0,130196.0
2000-04-20,254.0,254.0,248.5,251.0,47210.0,129417.0
2000-04-24,248.0,252.5,248.0,250.75,36384.0,126897.0
2000-04-25,250.75,253.25,250.5,252.25,47246.0,125642.0
2000-04-26,252.0,255.0,248.0,248.5,82732.0,124882.0
2000-04-27,248.0,248.25,240.5,241.0,141250.0,128143.0
2000-04-28,241.0,249.0,240.5,242.25,57264.0,127494.0
2000-05-01,248.5,254.0,243.0,251.0,96856.0,126373.0
2000-05-02,251.5,255.5,251.5,254.25,68948.0,125755.0
2000-05-03,258.0,264.5,257.5,260.0,110736.0,123789.0
2000-05-04,263.75,265.5,259.0,265.5,59160.0,123871.0
2000-05-05,262.5,263.0,259.75,261.75,39410.0,123641.0
2000-05-08,259.0,260.25,257.0,258.0,36960.0,125006.0
2000-05-09,257.5,258.5,257.0,257.75,33546.0,125011.0
2000-05-10,261.0,265.0,261.0,265.0,43332.0,126832.0
2000-05-11,268.0,273.0,266.0,272.5,83156.0,127458.0
2000-05-12,282.0,286.0,279.0,284.25,91336.0,133042.0
2000-05-15,282.5,283.75,276.0,282.25,69320.0,134405.0
2000-05-16,283.0,285.5,280.5,281.25,45910.0,133641.0
2000-05-17,281.25,284.5,276.0,277.0,54726.0,135889.0
2000-05-18,278.0,281.5,271.0,272.0,68150.0,134776.0
2000-05-19,272.0,277.0,271.5,276.25,33902.0,134764.0
2000-05-22,275.5,283.5,273.5,280.25,53040.0,135595.0
2000-05-23,281.0,284.5,280.0,281.25,55212.0,136233.0
2000-05-24,280.75,281.25,278.25,279.5,30510.0,135720.0
2000-05-25,279.5,282.0,276.0,279.5,51892.0,137248.0
2000-05-26,279.5,281.5,278.5,280.75,35632.0,136056.0
2000-05-30,280.0,280.0,272.5,274.25,54950.0,133713.0
2000-05-31,275.0,276.75,274.0,274.75,38760.0,131828.0
2000-06-01,276.5,278.75,270.0,270.5,60222.0,133337.0
2000-06-02,270.5,272.0,267.25,271.25,58158.0,131897.0
2000-06-05,272.25,274.0,264.0,266.0,74420.0,130628.0
2000-06-06,266.0,268.0,263.0,267.0,45348.0,130606.0
