Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-01-03,677.15,686.33,675.44,675.44,
2000-01-04,664.2,664.2,639.35,642.25,
2000-01-05,625.49,640.06,621.26,632.31,
2000-01-06,631.71,638.77,620.22,624.21,
2000-01-07,628.51,646.04,628.44,644.86,
2000-01-10,652.82,659.87,651.82,655.14,
2000-01-11,657.2,657.2,645.43,648.94,
2000-01-12,640.61,643.43,636.15,638.4,
2000-01-13,643.88,648.91,639.6,642.21,
2000-01-14,648.15,656.75,646.24,655.6,
2000-01-17,662.54,664.85,651.98,661.51,
2000-01-18,662.37,663.9,645.22,647.72,
2000-01-19,642.89,644.54,635.65,642.59,
2000-01-20,646.08,649.93,642.99,644.79,
2000-01-21,637.9,643.96,636.38,641.47,
2000-01-24,645.65,654.15,644.28,645.53,
2000-01-25,633.98,642.14,633.71,640.03,
2000-01-26,645.71,646.57,633.83,637.39,
2000-01-27,636.26,640.44,634.06,634.87,
2000-01-28,635.86,636.99,624.37,632.46,
2000-01-31,621.65,625.02,609.96,612.38,
2000-02-01,625.61,625.94,617.49,619.23,
2000-02-02,626.64,632.8,624.83,629.15,
2000-02-03,637.13,652.07,633.51,649.59,
2000-02-04,657.78,663.0,649.17,660.95,
2000-02-07,657.17,664.21,651.74,652.42,
2000-02-08,654.7,670.75,654.7,667.66,
2000-02-09,673.41,676.14,663.64,667.15,
2000-02-10,656.36,666.38,652.88,661.29,
2000-02-11,668.01,671.97,656.41,662.68,
2000-02-14,656.78,665.99,654.72,654.72,
2000-02-15,657.39,660.57,652.34,652.34,
2000-02-16,664.71,665.03,656.86,660.72,
2000-02-17,666.95,674.21,663.36,667.97,
2000-02-18,665.78,673.62,655.17,655.17,
2000-02-21,650.26,655.43,646.45,649.34,
2000-02-22,651.86,658.34,644.74,647.28,
2000-02-23,656.31,657.42,650.46,652.52,
2000-02-24,660.18,663.69,650.37,653.55,
2000-02-25,655.25,662.96,652.58,662.56,
2000-02-28,654.96,661.34,647.87,654.54,
2000-02-29,661.93,665.82,658.38,664.28,
2000-03-01,673.88,674.52,662.08,668.64,
2000-03-02,669.02,670.86,663.92,667.14,
2000-03-03,674.55,687.81,671.65,680.51,
2000-03-06,687.18,689.2,676.14,680.22,
2000-03-07,678.71,688.51,674.84,677.21,
2000-03-08,677.39,678.38,671.01,674.75,
2000-03-09,675.53,677.86,663.45,668.09,
2000-03-10,676.82,678.04,672.74,676.61,
2000-03-13,666.31,669.09,651.57,658.06,
2000-03-14,661.22,665.56,657.75,661.19,
2000-03-15,649.69,653.43,641.83,644.03,
2000-03-16,653.44,663.87,649.47,663.39,
2000-03-17,683.93,683.93,664.72,672.18,
2000-03-20,675.39,679.54,671.65,671.65,
2000-03-21,671.2,673.87,663.23,672.6,
2000-03-22,681.08,683.29,672.23,679.35,
2000-03-23,683.36,683.62,670.79,671.89,
2000-03-24,675.58,684.23,670.78,683.48,
2000-03-27,683.22,686.66,679.79,682.12,
2000-03-28,681.61,691.66,681.32,687.94,
2000-03-29,686.96,688.33,680.38,682.73,
2000-03-30,675.08,677.93,661.14,664.46,
2000-03-31,657.08,668.48,652.13,662.29,
2000-04-03,666.96,668.13,645.8,650.92,
2000-04-04,651.66,662.42,651.66,655.85,
2000-04-05,651.22,655.82,632.49,640.57,
2000-04-06,647.66,658.63,645.95,658.62,
2000-04-07,669.72,673.52,664.13,671.34,
2000-04-10,678.36,678.47,668.79,672.03,
2000-04-11,662.43,667.52,658.11,660.62,
2000-04-12,665.91,667.73,660.18,661.29,
2000-04-13,652.54,665.37,652.41,660.26,
2000-04-14,657.49,661.73,645.57,650.54,
2000-04-17,618.67,640.41,618.67,637.87,
