Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-01-03,5727.86,5874.94,5719.77,5794.85,
2000-01-04,5794.85,5794.85,5571.89,5588.65,
2000-01-05,5206.46,5401.53,5206.46,5369.38,
2000-01-07,5462.87,5483.85,5359.6,5410.82,
2000-01-10,5504.34,5514.09,5323.4,5353.14,
2000-01-11,5353.14,5353.14,5172.51,5190.17,
2000-01-12,5134.39,5265.52,5083.6,5187.33,
2000-01-13,5207.63,5238.74,5146.9,5181.73,
2000-01-14,5231.77,5297.65,5221.57,5273.83,
2000-01-17,5482.78,5483.33,5332.01,5362.3,
2000-01-18,5303.22,5310.08,5223.32,5238.29,
2000-01-19,5085.41,5140.34,5048.05,5067.31,
2000-01-20,5064.4,5135.56,5031.61,5068.36,
2000-01-21,5096.45,5137.29,5069.18,5102.12,
2000-01-24,5140.33,5167.31,5069.81,5081.95,
2000-01-25,5081.95,5081.95,4969.06,5022.41,
2000-01-26,5075.22,5083.86,4921.26,4936.69,
2000-01-27,4936.69,4960.82,4847.04,4941.6,
2000-01-28,4987.67,5045.1,4969.84,5020.22,
2000-01-31,5047.8,5047.8,4969.58,4990.02,
2000-02-01,5012.77,5156.89,5012.77,5141.83,
2000-02-02,5199.72,5242.62,5116.83,5209.24,
2000-02-03,5245.07,5325.72,5239.6,5297.32,
2000-02-04,5333.19,5525.94,5271.7,5379.08,
2000-02-07,5440.55,5514.47,5438.6,5489.3,
2000-02-08,5498.52,5560.63,5450.24,5550.4,
2000-02-09,5585.55,5690.27,5559.95,5594.36,
2000-02-10,5496.05,5604.03,5477.38,5499.97,
2000-02-11,5506.74,5561.27,5491.21,5502.38,
2000-02-14,5490.86,5493.04,5436.72,5460.44,
2000-02-15,5438.08,5495.66,5380.33,5413.73,
2000-02-16,5385.51,5401.45,5318.83,5328.49,
2000-02-17,5301.27,5301.27,5212.28,5222.78,
2000-02-18,5258.31,5315.54,5245.59,5277.05,
2000-02-21,5269.86,5272.04,5164.51,5186.3,
2000-02-22,5169.44,5186.46,5093.97,5109.81,
2000-02-23,5109.13,5139.61,5069.88,5097.9,
2000-02-24,5121.4,5246.48,5109.12,5234.62,
2000-02-25,5263.37,5292.42,5188.49,5203.0,
2000-02-28,5148.5,5208.31,5008.39,5034.55,
2000-02-29,5102.85,5129.14,4986.5,5002.23,
2000-03-01,5064.07,5090.74,5019.71,5063.45,
2000-03-02,5125.36,5219.53,5124.91,5174.18,
2000-03-03,5187.89,5191.87,5109.67,5116.98,
2000-03-06,5155.39,5178.98,5090.83,5100.63,
2000-03-07,5084.78,5090.85,4931.88,4941.3,
2000-03-08,4831.66,4887.22,4724.25,4868.13,
2000-03-09,4986.27,4997.99,4816.46,4865.63,
2000-03-10,4901.09,4917.73,4756.71,4863.55,
2000-03-14,4863.16,4863.69,4509.23,4542.65,
2000-03-15,4440.35,4597.54,4256.53,4553.76,
2000-03-16,4684.02,4774.28,4609.81,4759.89,
2000-03-17,4913.86,4918.78,4790.69,4845.08,
2000-03-20,4901.33,4904.52,4815.99,4849.07,
2000-03-21,4830.42,4830.42,4743.33,4755.42,
2000-03-22,4728.4,4769.82,4698.02,4723.15,
2000-03-23,4682.02,4682.02,4587.71,4650.77,
