Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-01-03,3387.87,3418.79,3311.05,3311.05,
2000-01-04,3260.36,3281.5,3157.48,3188.09,
2000-01-05,3109.11,3135.73,3051.57,3057.53,
2000-01-06,3097.27,3097.31,3032.09,3061.09,
2000-01-07,3110.47,3139.26,3098.59,3138.55,
2000-01-10,3183.33,3212.98,3173.14,3203.75,
2000-01-11,3207.0,3207.37,3138.75,3148.9,
2000-01-12,3116.19,3131.5,3099.27,3110.25,
2000-01-13,3139.03,3140.08,3113.27,3133.58,
2000-01-14,3128.26,3164.64,3107.54,3128.5,
2000-01-17,3136.2,3137.93,3072.29,3074.18,
2000-01-18,3051.26,3062.75,2949.86,2972.1,
2000-01-19,2949.07,2988.75,2949.07,2977.53,
2000-01-20,2995.37,3015.99,2963.78,2971.57,
2000-01-21,2973.97,2974.72,2927.77,2930.97,
2000-01-24,2960.31,2974.83,2924.14,2925.35,
2000-01-25,2901.39,2909.82,2852.89,2857.82,
2000-01-26,2911.63,2917.75,2865.84,2878.83,
2000-01-27,2908.53,2922.2,2877.07,2891.47,
2000-01-28,2898.0,2905.68,2872.54,2884.6,
2000-01-31,2865.33,2875.49,2794.0,2806.29,
2000-02-01,2832.42,2841.58,2786.03,2786.03,
2000-02-02,2800.78,2848.47,2780.42,2789.58,
2000-02-03,2803.53,2889.17,2800.57,2888.4,
2000-02-04,2897.55,2938.88,2889.15,2924.13,
2000-02-07,2914.61,2919.32,2879.4,2891.62,
2000-02-08,2900.7,2918.06,2896.45,2910.99,
2000-02-09,2904.85,2915.17,2806.53,2815.06,
2000-02-10,2785.27,2802.98,2730.73,2741.63,
2000-02-11,2760.11,2769.93,2644.78,2769.49,
2000-02-14,2773.89,2861.62,2773.76,2839.91,
2000-02-15,2845.46,2878.49,2828.86,2832.35,
2000-02-16,2849.16,2856.6,2822.73,2830.28,
2000-02-17,2838.03,2843.22,2792.38,2820.69,
2000-02-18,2821.13,2841.0,2791.14,2800.1,
2000-02-21,2783.54,2819.39,2755.13,2780.48,
2000-02-22,2786.04,2802.82,2681.42,2721.34,
2000-02-23,2723.31,2748.28,2659.91,2730.0,
2000-02-24,2772.59,2803.02,2757.94,2765.79,
2000-02-25,2772.52,2774.68,2727.13,2761.46,
2000-02-28,2756.38,2768.57,2703.51,2727.49,
2000-02-29,2724.76,2746.48,2685.23,2746.08,
2000-03-01,2753.21,2792.0,2727.17,2756.03,
2000-03-02,2756.48,2793.47,2752.22,2756.07,
2000-03-03,2769.79,2781.24,2740.09,2746.84,
2000-03-06,2747.91,2756.76,2657.2,2733.43,
2000-03-07,2733.43,2742.97,2681.16,2698.78,
2000-03-08,2687.05,2726.53,2670.89,2690.06,
2000-03-09,2706.56,2712.12,2644.59,2655.65,
2000-03-10,2647.43,2651.82,2577.65,2594.07,
2000-03-13,2601.31,2601.31,2521.04,2532.24,
2000-03-14,2539.96,2584.32,2521.11,2579.05,
2000-03-15,2589.13,2734.84,2589.13,2721.82,
2000-03-16,2785.25,2977.1,2785.04,2906.66,
2000-03-17,2955.98,2971.23,2789.39,2835.08,
2000-03-20,2867.17,2873.53,2838.0,2852.02,
2000-03-21,2846.98,2855.09,2764.87,2800.39,
2000-03-22,2810.44,2891.48,2802.55,2891.0,
2000-03-23,2908.72,2941.1,2888.7,2907.93,
2000-03-24,2921.09,2949.29,2897.19,2919.33,
2000-03-27,2922.09,2923.12,2816.94,2821.42,
2000-03-28,2838.63,2851.84,2812.82,2851.84,
2000-03-29,2837.04,2860.24,2816.19,2826.82,
2000-03-30,2830.21,2830.35,2758.16,2778.29,
2000-03-31,2779.76,2782.24,2748.23,2777.84,
2000-04-03,2795.33,2834.76,2784.18,2824.12,
2000-04-04,2861.04,2914.05,2854.41,2900.06,
2000-04-05,2907.88,2934.8,2792.19,2885.79,
2000-04-06,2880.15,2898.22,2850.61,2898.22,
2000-04-07,2880.2,2900.9,2860.43,2868.17,
2000-04-10,2862.27,2888.34,2855.37,2861.37,
2000-04-11,2868.71,2919.52,2861.63,2913.37,
2000-04-12,2934.12,2991.02,2930.39,2970.73,
2000-04-13,2957.85,3015.16,2944.07,2994.05,
2000-04-14,2998.45,3034.5,2948.38,2951.14,
2000-04-17,2857.26,2925.38,2827.76,2897.1,
2000-04-18,2940.75,2952.22,2908.62,2934.8,
2000-04-19,2948.86,2957.81,2867.29,2881.72,
2000-04-20,2886.47,2891.42,2814.19,2843.73,
2000-04-25,2852.09,2858.71,2809.55,2830.36,
2000-04-26,2844.05,2876.72,2844.05,2871.4,
2000-04-27,2881.15,2901.24,2802.84,2825.21,
2000-04-28,2851.49,2856.82,2813.28,2813.28,
2000-05-02,2842.05,2868.47,2829.88,2835.53,
2000-05-03,2837.07,2858.29,2816.94,2837.84,
2000-05-04,2835.96,2837.76,2807.32,2834.13,
2000-05-05,2836.46,2860.81,2785.3,2822.48,
2000-05-08,2829.86,2840.03,2809.36,2816.45,
2000-05-09,2814.21,2851.49,2812.98,2840.12,
2000-05-10,2845.71,2878.07,2821.76,2827.87,
2000-05-11,2820.02,2833.59,2781.64,2832.96,
2000-05-12,2818.67,2847.39,2817.47,2840.57,
2000-05-15,2841.19,2884.16,2836.48,2872.77,
2000-05-16,2881.33,2901.58,2880.67,2898.5,
2000-05-17,2900.76,2904.56,2870.82,2901.48,
2000-05-18,2880.94,2923.43,2880.94,2916.07,
2000-05-19,2914.99,2923.88,2874.03,2885.8,
2000-05-22,2874.76,2902.22,2873.65,2885.89,
2000-05-23,2892.14,2926.98,2886.35,2898.76,
2000-05-24,2886.81,2910.59,2884.55,2900.92,
2000-05-25,2909.18,2920.53,2894.79,2909.34,
2000-05-26,2861.68,2869.98,2838.48,2841.87,
2000-05-29,2844.0,2862.02,2844.0,2860.72,
2000-05-30,2860.07,2901.1,2857.15,2884.46,
2000-05-31,2892.66,2893.19,2846.21,2849.43,
2000-06-02,2854.97,2902.87,2851.05,2895.37,
2000-06-05,2908.06,2913.19,2885.89,2891.73,
2000-06-06,2898.92,2913.6,2884.25,2898.45,
2000-06-07,2902.15,2902.15,2884.88,2898.75,
2000-06-08,2879.28,2900.07,2842.97,2857.34,
2000-06-09,2862.19,2891.41,2854.98,2880.24,
2000-06-13,2887.25,2915.08,2879.52,2914.72,
2000-06-14,2918.79,2918.79,2877.54,2886.5,
2000-06-15,2888.56,2920.83,2885.2,2906.34,
2000-06-16,2909.98,2936.1,2909.98,2922.5,
