Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-10-31,528.94,528.94,528.94,528.94,
2000-11-01,527.24,527.24,527.24,527.24,
2000-11-02,528.65,528.65,528.65,528.65,
2000-11-03,525.09,525.09,525.09,525.09,
2000-11-06,521.2,521.2,521.2,521.2,
2000-11-07,517.8,517.8,517.8,517.8,
2000-11-08,527.24,527.24,527.24,527.24,
2000-11-09,522.88,522.88,522.88,522.88,
2000-11-10,526.94,526.94,526.94,526.94,
2000-11-13,525.67,525.67,525.67,525.67,
2000-11-14,523.44,523.44,523.44,523.44,
2000-11-15,516.88,516.88,516.88,516.88,
2000-11-16,516.94,516.94,516.94,516.94,
2000-11-17,514.75,514.75,514.75,514.75,
2000-11-20,518.46,518.46,518.46,518.46,
2000-11-21,509.41,509.41,509.41,509.41,
2000-11-22,506.83,506.83,506.83,506.83,
2000-11-23,512.18,512.18,512.18,512.18,
2000-11-24,516.37,516.37,516.37,516.37,
2000-11-27,505.85,505.85,505.85,505.85,
2000-11-28,505.02,505.02,505.02,505.02,
2000-11-29,504.62,504.62,504.62,504.62,
2000-11-30,506.22,506.22,506.22,506.22,
2000-12-04,502.51,502.51,502.51,502.51,
2000-12-05,501.18,501.18,501.18,501.18,
2000-12-06,519.97,519.97,519.97,519.97,
2000-12-07,518.06,518.06,518.06,518.06,
2000-12-08,516.96,516.96,516.96,516.96,
2000-12-11,529.55,529.55,529.55,529.55,
2000-12-12,547.19,547.19,547.19,547.19,
2000-12-13,543.89,543.89,543.89,543.89,
2000-12-14,540.97,540.97,540.97,540.97,
2000-12-15,531.65,531.65,531.65,531.65,
2000-12-18,534.12,534.12,534.12,534.12,
2000-12-19,543.19,543.19,543.19,543.19,
2000-12-20,553.48,553.48,553.48,553.48,
2000-12-21,543.15,543.15,543.15,543.15,
2000-12-22,544.72,544.72,544.72,544.72,
2001-01-03,556.23,556.23,556.23,556.23,
2001-01-04,586.01,586.01,586.01,586.01,
2001-01-05,611.52,611.52,611.52,611.52,
2001-01-08,601.82,601.82,601.82,601.82,
2001-01-09,612.11,612.11,612.11,612.11,
2001-01-10,607.16,607.16,607.16,607.16,
2001-01-11,629.91,629.91,629.91,629.91,
2001-01-12,627.08,627.08,627.08,627.08,
2001-01-15,615.61,615.61,615.61,615.61,
2001-01-16,620.52,620.52,620.52,620.52,
2001-01-17,630.67,630.67,630.67,630.67,
2001-01-18,637.43,637.43,637.43,637.43,
2001-01-19,643.1,643.1,643.1,643.1,
2001-01-22,627.85,627.85,627.85,627.85,
2001-01-23,625.29,625.29,625.29,625.29,
2001-01-24,617.92,617.92,617.92,617.92,
2001-01-25,601.26,601.26,601.26,601.26,
2001-01-26,601.41,601.41,601.41,601.41,
2001-01-29,616.22,616.22,616.22,616.22,
2001-01-30,604.29,604.29,604.29,604.29,
2001-01-31,603.73,603.73,603.73,603.73,
2001-02-01,602.36,602.36,602.36,602.36,
2001-02-02,585.18,585.18,585.18,585.18,
2001-02-05,574.9,574.9,574.9,574.9,
2001-02-06,583.34,583.34,583.34,583.34,
2001-02-07,566.88,566.88,566.88,566.88,
2001-02-08,577.25,577.25,577.25,577.25,
2001-02-09,572.8,572.8,572.8,572.8,
2001-02-12,564.05,564.05,564.05,564.05,
2001-02-13,577.43,577.43,577.43,577.43,
2001-02-14,589.95,589.95,589.95,589.95,
2001-02-15,602.33,602.33,602.33,602.33,
2001-02-16,606.57,606.57,606.57,606.57,
2001-02-19,593.41,593.41,593.41,593.41,
2001-02-20,588.32,588.32,588.32,588.32,
2001-02-21,590.75,590.75,590.75,590.75,
2001-02-22,590.73,590.73,590.73,590.73,
2001-02-23,607.2,607.2,607.2,607.2,
2001-02-26,605.28,605.28,605.28,605.28,
2001-02-27,605.02,605.02,605.02,605.02,
2001-02-28,598.09,598.09,598.09,598.09,
2001-03-01,589.84,589.84,589.84,589.84,
2001-03-02,597.11,597.11,597.11,597.11,
2001-03-05,610.59,610.59,610.59,610.59,
2001-03-06,602.47,602.47,602.47,602.47,
2001-03-07,606.58,606.58,606.58,606.58,
2001-03-08,601.63,601.63,601.63,601.63,
2001-03-09,600.72,600.72,600.72,600.72,
2001-03-12,599.55,599.55,599.55,599.55,
2001-03-13,609.2,609.2,609.2,609.2,
2001-03-14,615.13,615.13,615.13,615.13,
2001-03-15,616.58,616.58,616.58,616.58,
2001-03-16,633.45,633.45,633.45,633.45,
2001-03-19,637.0,637.0,637.0,637.0,
2001-03-20,615.48,615.48,615.48,615.48,
2001-03-21,602.26,602.26,602.26,602.26,
2001-03-22,591.25,591.25,591.25,591.25,
2001-03-23,581.64,581.64,581.64,581.64,
2001-03-26,566.09,566.09,566.09,566.09,
2001-03-27,590.28,590.28,590.28,590.28,
2001-03-28,578.16,578.16,578.16,578.16,
2001-03-29,558.79,558.79,558.79,558.79,
2001-03-30,554.19,554.19,554.19,554.19,
2001-04-02,560.67,560.67,560.67,560.67,
2001-04-03,552.24,552.24,552.24,552.24,
2001-04-04,534.14,534.14,534.14,534.14,
2001-04-05,538.33,538.33,538.33,538.33,
2001-04-06,533.82,533.82,533.82,533.82,
2001-04-09,536.44,536.44,536.44,536.44,
2001-04-10,531.72,531.72,531.72,531.72,
2001-04-11,538.98,538.98,538.98,538.98,
2001-04-12,544.11,544.11,544.11,544.11,
2001-04-13,542.14,542.14,542.14,542.14,
2001-04-17,550.9,550.9,550.9,550.9,
2001-04-18,551.07,551.07,551.07,551.07,
2001-04-19,543.77,543.77,543.77,543.77,
2001-04-20,541.95,541.95,541.95,541.95,
2001-04-23,539.04,539.04,539.04,539.04,
2001-04-24,541.2,541.2,541.2,541.2,
2001-04-25,553.19,553.19,553.19,553.19,
2001-04-26,560.53,560.53,560.53,560.53,
2001-04-27,562.48,562.48,562.48,562.48,
2001-05-02,568.15,568.15,568.15,568.15,
2001-05-03,555.45,555.45,555.45,555.45,
2001-05-04,552.44,552.44,552.44,552.44,
2001-05-07,562.64,562.64,562.64,562.64,
2001-05-08,560.74,560.74,560.74,560.74,
2001-05-09,562.38,562.38,562.38,562.38,
2001-05-10,554.94,554.94,554.94,554.94,
2001-05-11,565.99,565.99,565.99,565.99,
2001-05-14,569.4,569.4,569.4,569.4,
2001-05-15,593.03,593.03,593.03,593.03,
2001-05-16,581.71,581.71,581.71,581.71,
2001-05-17,588.42,588.42,588.42,588.42,
2001-05-18,611.68,611.68,611.68,611.68,
2001-05-21,590.01,590.01,590.01,590.01,
2001-05-22,575.39,575.39,575.39,575.39,
2001-05-23,567.51,567.51,567.51,567.51,
2001-05-24,567.2,567.2,567.2,567.2,
2001-05-25,566.59,566.59,566.59,566.59,
2001-05-28,568.24,568.24,568.24,568.24,
2001-05-29,568.39,568.39,568.39,568.39,
2001-05-30,579.24,579.24,579.24,579.24,
2001-05-31,582.95,582.95,582.95,582.95,
2001-06-01,584.99,584.99,584.99,584.99,
2001-06-04,599.73,599.73,599.73,599.73,
2001-06-05,603.88,603.88,603.88,603.88,
2001-06-06,615.6,615.6,615.6,615.6,
2001-06-07,609.55,609.55,609.55,609.55,
2001-06-08,606.46,606.46,606.46,606.46,
2001-06-11,600.64,600.64,600.64,600.64,
2001-06-12,601.77,601.77,601.77,601.77,
2001-06-13,599.7,599.7,599.7,599.7,
2001-06-14,597.59,597.59,597.59,597.59,
2001-06-15,604.79,604.79,604.79,604.79,
2001-06-18,611.84,611.84,611.84,611.84,
2001-06-19,627.69,627.69,627.69,627.69,
2001-06-20,632.5,632.5,632.5,632.5,
2001-06-21,627.87,627.87,627.87,627.87,
2001-06-22,631.59,631.59,631.59,631.59,
2001-06-25,647.45,647.45,647.45,647.45,
2001-06-26,647.3,647.3,647.3,647.3,
2001-06-27,652.11,652.11,652.11,652.11,
2001-06-28,652.86,652.86,652.86,652.86,
2001-06-29,648.57,648.57,648.57,648.57,
2001-07-02,643.65,643.65,643.65,643.65,
2001-07-03,642.63,642.63,642.63,642.63,
2001-07-04,637.04,637.04,637.04,637.04,
2001-07-05,631.31,631.31,631.31,631.31,
2001-07-06,631.58,631.58,631.58,631.58,
2001-07-09,623.68,623.68,623.68,623.68,
2001-07-10,622.54,622.54,622.54,622.54,
2001-07-11,626.82,626.82,626.82,626.82,
2001-07-12,625.64,625.64,625.64,625.64,
2001-07-13,628.49,628.49,628.49,628.49,
2001-07-16,638.48,638.48,638.48,638.48,
2001-07-17,650.93,650.93,650.93,650.93,
2001-07-18,635.87,635.87,635.87,635.87,
2001-07-19,628.12,628.12,628.12,628.12,
2001-07-20,629.81,629.81,629.81,629.81,
2001-07-23,633.28,633.28,633.28,633.28,
2001-07-24,649.52,649.52,649.52,649.52,
2001-07-25,648.92,648.92,648.92,648.92,
