Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-01-04,8760.06,8883.37,8643.14,8709.17,4084127.0
2000-01-05,8427.66,8626.81,8422.76,8464.34,4003123.0
2000-01-06,8494.34,8522.95,8338.71,8483.29,3528408.0
2000-01-07,8592.33,8726.49,8575.47,8694.04,4863659.0
2000-01-10,8837.9,9064.57,8833.77,8977.88,4981746.0
2000-01-11,8989.2,8989.2,8876.18,8881.02,3418211.0
2000-01-12,8798.01,8930.22,8758.01,8910.43,4199321.0
2000-01-13,8961.36,9119.53,8961.36,9084.51,3666746.0
2000-01-14,9133.73,9545.43,9133.73,9494.6,7528375.0
2000-01-17,9523.06,9858.1,9521.47,9858.1,6104493.0
2000-01-18,9871.18,9989.82,9743.45,9781.45,5375457.0
2000-01-19,9659.17,9871.23,9605.86,9803.04,4731107.0
2000-01-20,9936.14,10036.4,9885.37,9965.26,5577967.0
2000-01-21,9934.45,10045.2,9762.8,9794.06,7045770.0
2000-01-24,9829.31,9870.03,9653.74,9685.12,5857799.0
2000-01-25,9535.1,9548.6,9353.08,9380.63,4402883.0
2000-01-26,9472.32,9650.98,9387.58,9600.42,4019166.0
2000-01-27,9732.1,9997.28,9650.99,9983.29,7833455.0
2000-01-28,9974.34,10130.5,9806.12,9830.02,5612946.0
2000-01-31,9640.43,9662.78,9519.57,9548.9,3741964.0
2000-02-01,9751.18,9771.2,9538.23,9583.36,4350283.0
2000-02-02,9702.79,9817.76,9603.04,9623.36,7056027.0
2000-02-03,9729.6,9729.81,9569.5,9614.3,5686060.0
2000-02-04,9665.92,9665.92,9511.33,9609.95,3926327.0
2000-02-07,9623.48,9623.48,9435.96,9561.22,2408817.0
2000-02-08,9580.85,9932.04,9556.67,9927.84,5044866.0
2000-02-09,10032.8,10140.0,9947.19,9960.37,6414833.0
2000-02-10,9751.05,10167.1,9736.77,10162.4,3741175.0
2000-02-11,10269.8,10309.1,10103.9,10130.4,4705859.0
2000-02-14,10076.9,10265.7,10027.4,10253.0,4427342.0
2000-02-15,10313.3,10352.9,10204.3,10247.4,4930724.0
2000-02-16,10313.8,10437.2,10162.8,10340.9,7054186.0
2000-02-17,10301.4,10301.4,10053.0,10151.8,5653185.0
2000-02-18,10149.9,10180.1,10018.9,10052.8,3351935.0
2000-02-21,9940.45,10160.6,9895.61,10145.7,5537728.0
2000-02-22,10219.1,10325.1,10039.5,10046.9,4983324.0
2000-02-23,10187.1,10220.4,10083.2,10129.0,4395256.0
2000-02-24,10210.0,10210.0,10074.2,10129.7,4477838.0
2000-02-25,10152.7,10187.3,10024.2,10085.8,3587057.0
2000-02-28,10065.2,10126.9,9796.76,9872.26,4238508.0
2000-02-29,10057.3,10137.0,9962.96,10124.7,4020218.0
2000-03-01,10167.2,10167.2,9958.85,9967.44,4589613.0
2000-03-02,9916.48,10092.1,9804.05,9937.12,4713749.0
2000-03-03,10115.0,10153.9,9986.73,10050.2,4616702.0
2000-03-06,10140.1,10268.8,10103.1,10221.7,5173736.0
2000-03-07,10221.7,10335.6,10114.0,10193.9,6816697.0
2000-03-08,10126.6,10228.7,10113.1,10178.8,4226147.0
2000-03-09,10362.9,10463.2,10186.4,10240.8,7175955.0
2000-03-10,10417.3,10492.5,10363.1,10471.9,3923171.0
2000-03-13,10388.4,10423.8,10134.5,10203.3,4621436.0
2000-03-14,10227.8,10285.1,10189.6,10204.6,3165205.0
2000-03-16,10279.2,10285.8,10036.5,10135.7,4309255.0
2000-03-17,10317.8,10328.9,9980.8,9996.23,3967881.0
2000-03-20,10079.5,10079.5,9968.04,10013.1,3202551.0
2000-03-21,9986.06,10080.1,9913.68,9944.2,4633534.0
2000-03-22,10056.3,10056.3,9879.15,9920.98,5078004.0
