Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-01-03,17098.0,17408.0,16719.0,16930.0,
2000-01-04,16908.0,16908.0,15851.0,15851.0,
2000-01-05,15871.0,16302.0,15350.0,16245.0,
2000-01-06,16237.0,16499.0,15977.0,16107.0,
2000-01-07,16125.0,16449.0,16125.0,16309.0,
2000-01-10,16325.0,17057.0,16325.0,17022.0,
2000-01-11,17045.0,17197.0,16573.0,16573.0,
2000-01-12,16574.0,16724.0,16331.0,16617.0,
2000-01-13,16663.0,17715.0,16663.0,17298.0,
2000-01-14,17306.0,17800.0,17306.0,17658.0,
2000-01-17,17678.0,18099.0,17678.0,18053.0,
2000-01-18,18062.0,18062.0,17625.0,17903.0,
2000-01-19,17905.0,18075.0,17470.0,17470.0,
2000-01-20,17487.0,17622.0,17029.0,17177.0,
2000-01-21,17188.0,17372.0,16901.0,17034.0,
2000-01-24,17049.0,17263.0,16972.0,16972.0,
2000-01-26,16972.0,17105.0,16727.0,17105.0,
2000-01-27,17114.0,17422.0,17081.0,17081.0,
2000-01-28,17150.0,17252.0,16547.0,16734.0,
2000-01-31,16744.0,16749.0,16167.0,16388.0,
2000-02-01,16389.0,16675.0,16389.0,16522.0,
2000-02-02,16546.0,16875.0,16546.0,16868.0,
2000-02-03,16892.0,17457.0,16892.0,17457.0,
2000-02-04,17471.0,17962.0,17471.0,17932.0,
2000-02-07,17937.0,18126.0,17746.0,18126.0,
2000-02-08,18249.0,18729.0,18249.0,18686.0,
2000-02-09,18759.0,18886.0,18224.0,18361.0,
2000-02-10,18367.0,18672.0,18155.0,18604.0,
2000-02-11,18635.0,18775.0,18027.0,18083.0,
2000-02-14,18083.0,18264.0,17746.0,17819.0,
2000-02-15,17818.0,17932.0,17451.0,17921.0,
2000-02-16,17921.0,18247.0,17743.0,18112.0,
2000-02-17,18116.0,18297.0,17979.0,17979.0,
2000-02-18,17979.0,18008.0,17489.0,17625.0,
2000-02-21,17626.0,17887.0,17364.0,17700.0,
2000-02-22,17698.0,17913.0,17466.0,17489.0,
2000-02-23,17489.0,17855.0,17479.0,17833.0,
2000-02-24,17846.0,18119.0,17706.0,17776.0,
2000-02-25,17784.0,17988.0,17758.0,17787.0,
2000-02-28,17787.0,17787.0,17383.0,17543.0,
2000-02-29,17545.0,17818.0,17545.0,17660.0,
2000-03-01,17668.0,17953.0,17655.0,17953.0,
2000-03-02,17966.0,18154.0,17809.0,18016.0,
2000-03-03,18016.0,18632.0,18016.0,18632.0,
2000-03-08,18617.0,18617.0,18184.0,18283.0,
2000-03-09,18285.0,18650.0,18285.0,18650.0,
2000-03-10,18650.0,18720.0,18233.0,18280.0,
2000-03-13,18279.0,18279.0,17506.0,17595.0,
2000-03-14,17595.0,17941.0,17222.0,17222.0,
2000-03-15,17229.0,17469.0,16922.0,17382.0,
2000-03-16,17397.0,17661.0,17397.0,17642.0,
2000-03-17,17654.0,17733.0,17470.0,17511.0,
2000-03-20,17511.0,17733.0,17435.0,17526.0,
2000-03-21,17528.0,18343.0,17510.0,18343.0,
2000-03-22,18346.0,18860.0,18314.0,18314.0,
2000-03-23,18314.0,18644.0,18183.0,18331.0,
2000-03-24,18332.0,18692.0,18332.0,18675.0,
2000-03-27,18675.0,19047.0,18533.0,18951.0,
2000-03-28,18952.0,18960.0,18335.0,18338.0,
2000-03-29,18339.0,18575.0,17973.0,18053.0,
2000-03-30,18053.0,18053.0,17455.0,17647.0,
2000-03-31,17660.0,17950.0,17560.0,17820.0,
2000-04-03,17825.98,17825.98,17173.32,17245.47,
2000-04-04,17253.08,17450.44,16095.42,16757.93,
2000-04-05,16762.08,17042.75,16229.74,16714.37,
2000-04-06,16718.73,17152.22,16718.73,17146.13,
2000-04-07,17149.7,17513.72,17149.7,17513.72,
2000-04-10,17519.11,17571.85,16781.98,16783.32,
2000-04-11,16786.96,16867.15,16309.33,16539.35,
2000-04-12,16542.26,16785.14,16310.61,16323.36,
2000-04-13,16325.3,16605.14,15500.81,15500.81,
2000-04-14,15500.81,15500.81,14596.35,14794.34,
2000-04-17,14761.33,14820.62,14029.35,14815.68,
2000-04-18,14817.05,15468.85,14767.0,15408.4,
2000-04-19,15437.87,15535.94,14849.52,14926.15,
2000-04-20,14938.19,15203.62,14938.19,15203.21,
2000-04-24,15204.35,15225.03,14624.91,14794.23,
2000-04-25,14798.03,15402.92,14798.03,15400.58,
2000-04-26,15401.24,15517.33,15267.86,15446.36,
2000-04-27,15446.14,15487.05,14835.42,15440.11,
2000-04-28,15450.3,15906.75,15450.3,15537.6,
2000-05-02,15596.23,15944.15,15523.07,15524.13,
2000-05-03,15525.46,15525.46,14980.41,15108.56,
2000-05-04,15111.23,15143.62,14872.83,14969.59,
2000-05-05,14966.92,15217.86,14811.03,15217.86,
2000-05-08,15219.55,15223.25,14867.18,14890.96,
2000-05-09,14897.3,15041.02,14411.67,14581.52,
2000-05-10,14569.86,14586.3,14238.04,14433.81,
2000-05-11,14447.15,14723.18,14397.64,14498.54,
2000-05-12,14495.87,14638.18,14350.13,14458.94,
2000-05-15,14469.49,15069.81,14397.33,15055.53,
2000-05-16,15074.13,15445.35,15074.13,15360.4,
2000-05-17,15360.9,15360.9,14855.98,14870.53,
2000-05-18,14876.0,14973.0,14620.0,14627.0,
2000-05-19,14594.22,14618.5,13920.29,14326.63,
2000-05-22,14329.6,14368.97,13583.3,13891.24,
2000-05-23,13891.24,14145.32,13582.57,13587.16,
2000-05-24,13591.97,14197.0,13555.61,14166.4,
2000-05-25,14187.32,14499.4,14026.92,14185.61,
2000-05-26,14204.41,14548.97,14172.26,14542.26,
2000-05-29,14540.54,14857.96,14540.54,14772.63,
2000-05-30,14815.26,15307.98,14815.26,15248.55,
2000-05-31,15251.23,15328.09,14930.86,14956.61,
2000-06-01,14967.34,15472.65,14967.34,15450.04,
2000-06-02,15518.38,16260.81,15518.38,16222.48,
2000-06-05,16222.14,16312.35,15974.95,16022.93,
2000-06-06,16017.85,16172.54,15826.79,15946.63,
2000-06-07,15954.68,16277.74,15709.32,16271.74,
2000-06-08,16285.51,16640.41,16226.59,16398.8,
2000-06-09,16420.57,16560.69,16200.36,16342.28,
2000-06-12,16351.0,16364.85,16084.07,16096.7,
2000-06-13,16099.76,16359.55,16074.57,16354.47,
2000-06-14,16365.34,16523.35,16135.02,16366.1,
2000-06-15,16369.01,16629.82,16325.05,16561.37,
2000-06-16,16566.8,16598.49,16378.53,16424.93,
2000-06-19,16423.06,16862.85,16411.34,16850.03,
2000-06-20,16854.38,16951.77,16707.81,16843.58,
2000-06-21,16853.82,17396.45,16833.53,17254.26,
2000-06-23,17205.47,17265.55,16909.68,16977.26,
2000-06-26,16977.26,17019.22,16685.5,16744.8,
2000-06-27,16743.64,16780.06,16388.35,16512.93,
2000-06-28,16532.85,17101.33,16493.59,16842.29,
2000-06-29,16830.06,16850.06,16328.56,16407.16,
2000-06-30,16404.45,16836.47,16399.63,16727.95,
2000-07-03,16746.74,17098.63,16743.3,17088.54,
2000-07-04,17105.53,17340.03,17088.11,17279.21,
2000-07-05,17284.57,17361.95,17086.21,17134.93,
2000-07-06,17147.89,17366.33,17024.2,17348.07,
2000-07-07,17351.7,17754.21,17351.7,17598.83,
2000-07-10,17619.72,17794.67,17443.7,17471.63,
2000-07-11,17473.25,17473.25,16827.09,16880.66,
2000-07-12,16892.59,17175.5,16692.86,17053.38,
2000-07-13,17057.05,17382.86,16415.56,16444.25,
2000-07-14,16438.72,16884.81,16389.99,16880.95,
2000-07-17,16890.06,17394.79,16890.06,17387.88,
2000-07-18,17379.25,17565.96,17280.69,17368.59,
2000-07-19,17354.48,17357.77,16868.25,16927.55,
