Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2000-01-03,156.83,156.83,156.83,156.83
2000-01-04,155.49,155.49,155.49,155.49
2000-01-05,154.91,154.91,154.91,154.91
2000-01-06,154.99,154.99,154.99,154.99
2000-01-07,154.75,154.75,154.75,154.75
2000-01-10,155.28,155.28,155.28,155.28
2000-01-11,157.27,157.27,157.27,157.27
2000-01-12,159.06,159.06,159.06,159.06
2000-01-13,160.24,160.24,160.24,160.24
2000-01-14,162.86,162.86,162.86,162.86
2000-01-18,165.01,165.01,165.01,165.01
2000-01-19,166.6,166.6,166.6,166.6
2000-01-20,167.31,167.31,167.31,167.31
2000-01-21,166.94,166.94,166.94,166.94
2000-01-24,165.77,165.77,165.77,165.77
2000-01-25,167.24,167.24,167.24,167.24
2000-01-26,166.02,166.02,166.02,166.02
2000-01-27,165.31,165.31,165.31,165.31
2000-01-28,164.67,164.67,164.67,164.67
2000-01-31,165.45,165.45,165.45,165.45
2000-02-01,166.85,166.85,166.85,166.85
2000-02-02,165.48,165.48,165.48,165.48
2000-02-03,166.37,166.37,166.37,166.37
2000-02-04,169.19,169.19,169.19,169.19
2000-02-07,167.59,167.59,167.59,167.59
2000-02-08,165.43,165.43,165.43,165.43
2000-02-09,167.54,167.54,167.54,167.54
2000-02-10,170.27,170.27,170.27,170.27
2000-02-11,169.73,169.73,169.73,169.73
2000-02-14,170.2,170.2,170.2,170.2
2000-02-15,169.58,169.58,169.58,169.58
2000-02-16,169.61,169.61,169.61,169.61
2000-02-17,168.94,168.94,168.94,168.94
2000-02-18,168.72,168.72,168.72,168.72
2000-02-22,168.86,168.86,168.86,168.86
2000-02-23,169.3,169.3,169.3,169.3
2000-02-24,170.32,170.32,170.32,170.32
2000-02-25,169.64,169.64,169.64,169.64
2000-02-28,169.23,169.23,169.23,169.23
2000-02-29,170.2,170.2,170.2,170.2
2000-03-01,174.25,174.25,174.25,174.25
2000-03-02,174.28,174.28,174.28,174.28
2000-03-03,174.85,174.85,174.85,174.85
2000-03-06,176.4,176.4,176.4,176.4
2000-03-07,179.94,179.94,179.94,179.94
2000-03-08,173.72,173.72,173.72,173.72
2000-03-09,175.44,175.44,175.44,175.44
2000-03-10,174.73,174.73,174.73,174.73
2000-03-13,176.2,176.2,176.2,176.2
2000-03-14,175.67,175.67,175.67,175.67
2000-03-15,174.49,174.49,174.49,174.49
2000-03-16,175.59,175.59,175.59,175.59
2000-03-17,174.94,174.94,174.94,174.94
2000-03-20,170.07,170.07,170.07,170.07
2000-03-21,171.25,171.25,171.25,171.25
2000-03-22,171.01,171.01,171.01,171.01
2000-03-23,170.61,170.61,170.61,170.61
2000-03-24,171.54,171.54,171.54,171.54
2000-03-27,171.08,171.08,171.08,171.08
2000-03-28,170.05,170.05,170.05,170.05
2000-03-29,167.91,167.91,167.91,167.91
2000-03-30,168.76,168.76,168.76,168.76
2000-03-31,170.48,170.48,170.48,170.48
2000-04-03,168.86,168.86,168.86,168.86
2000-04-04,166.01,166.01,166.01,166.01
2000-04-05,167.19,167.19,167.19,167.19
2000-04-06,165.96,165.96,165.96,165.96
2000-04-07,164.95,164.95,164.95,164.95
2000-04-10,162.47,162.47,162.47,162.47
2000-04-11,162.63,162.63,162.63,162.63
2000-04-12,166.21,166.21,166.21,166.21
2000-04-13,166.85,166.85,166.85,166.85
2000-04-14,165.34,165.34,165.34,165.34
2000-04-17,166.62,166.62,166.62,166.62
2000-04-18,167.54,167.54,167.54,167.54
2000-04-19,169.91,169.91,169.91,169.91
2000-04-20,169.84,169.84,169.84,169.84
2000-04-24,169.78,169.78,169.78,169.78
2000-04-25,168.78,168.78,168.78,168.78
2000-04-26,166.88,166.88,166.88,166.88
2000-04-27,167.63,167.63,167.63,167.63
2000-04-28,168.26,168.26,168.26,168.26
2000-05-01,170.81,170.81,170.81,170.81
2000-05-02,173.74,173.74,173.74,173.74
2000-05-03,172.62,172.62,172.62,172.62
2000-05-04,173.53,173.53,173.53,173.53
2000-05-05,174.16,174.16,174.16,174.16
2000-05-08,175.57,175.57,175.57,175.57
2000-05-09,177.22,177.22,177.22,177.22
2000-05-10,177.73,177.73,177.73,177.73
2000-05-11,179.93,179.93,179.93,179.93
2000-05-12,180.8,180.8,180.8,180.8
2000-05-15,181.19,181.19,181.19,181.19
2000-05-16,182.08,182.08,182.08,182.08
2000-05-17,181.86,181.86,181.86,181.86
2000-05-18,183.77,183.77,183.77,183.77
2000-05-19,184.0,184.0,184.0,184.0
2000-05-22,182.43,182.43,182.43,182.43
2000-05-23,182.56,182.56,182.56,182.56
2000-05-24,185.51,185.51,185.51,185.51
2000-05-25,186.25,186.25,186.25,186.25
2000-05-26,185.65,185.65,185.65,185.65
2000-05-30,184.89,184.89,184.89,184.89
2000-05-31,182.05,182.05,182.05,182.05
2000-06-01,183.92,183.92,183.92,183.92
2000-06-02,184.86,184.86,184.86,184.86
2000-06-05,184.5,184.5,184.5,184.5
2000-06-06,184.25,184.25,184.25,184.25
2000-06-07,183.13,183.13,183.13,183.13
2000-06-08,183.94,183.94,183.94,183.94
2000-06-09,184.86,184.86,184.86,184.86
2000-06-12,185.97,185.97,185.97,185.97
2000-06-13,187.58,187.58,187.58,187.58
2000-06-14,187.64,187.64,187.64,187.64
2000-06-15,187.76,187.76,187.76,187.76
2000-06-16,185.68,185.68,185.68,185.68
2000-06-19,183.68,183.68,183.68,183.68
2000-06-20,185.33,185.33,185.33,185.33
2000-06-21,187.36,187.36,187.36,187.36
2000-06-22,189.92,189.92,189.92,189.92
2000-06-23,188.22,188.22,188.22,188.22
2000-06-26,186.95,186.95,186.95,186.95
2000-06-27,188.49,188.49,188.49,188.49
2000-06-28,187.76,187.76,187.76,187.76
2000-06-29,189.71,189.71,189.71,189.71
2000-06-30,187.76,187.76,187.76,187.76
2000-07-03,187.3,187.3,187.3,187.3
2000-07-05,183.23,183.23,183.23,183.23
2000-07-06,180.73,180.73,180.73,180.73
2000-07-07,181.83,181.83,181.83,181.83
2000-07-10,181.47,181.47,181.47,181.47
2000-07-11,182.88,182.88,182.88,182.88
2000-07-12,183.53,183.53,183.53,183.53
2000-07-13,186.42,186.42,186.42,186.42
2000-07-14,184.7,184.7,184.7,184.7
2000-07-17,185.12,185.12,185.12,185.12
2000-07-18,189.46,189.46,189.46,189.46
2000-07-19,187.55,187.55,187.55,187.55
2000-07-20,186.04,186.04,186.04,186.04
2000-07-21,183.82,183.82,183.82,183.82
2000-07-24,180.47,180.47,180.47,180.47
2000-07-25,179.91,179.91,179.91,179.91
2000-07-26,179.94,179.94,179.94,179.94
2000-07-27,180.65,180.65,180.65,180.65
2000-07-28,181.06,181.06,181.06,181.06
2000-07-31,179.01,179.01,179.01,179.01
2000-08-01,179.91,179.91,179.91,179.91
2000-08-02,181.77,181.77,181.77,181.77
2000-08-03,182.13,182.13,182.13,182.13
2000-08-04,183.77,183.77,183.77,183.77
2000-08-07,181.97,181.97,181.97,181.97
