Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-01-03,3215.0,3249.48,3123.71,3170.2,164378784.0
2000-01-04,3168.77,3168.83,3088.83,3090.91,177997632.0
2000-01-05,3089.34,3152.76,3081.1,3133.61,191492992.0
2000-01-06,3131.91,3227.78,3090.67,3177.96,192692576.0
2000-01-07,3176.83,3277.45,3147.64,3242.06,216137472.0
2000-01-10,3243.88,3304.7,3209.51,3251.86,187841312.0
2000-01-11,3251.18,3299.41,3204.93,3230.85,178879680.0
2000-01-12,3230.52,3295.6,3196.03,3242.31,171929136.0
2000-01-13,3243.62,3295.09,3192.1,3242.06,181772800.0
2000-01-14,3248.83,3320.75,3216.4,3271.9,191563552.0
2000-01-18,3271.21,3271.38,3226.07,3229.2,186412384.0
2000-01-19,3224.53,3274.43,3167.98,3216.94,191898736.0
2000-01-20,3217.48,3270.51,3139.19,3193.64,194174416.0
2000-01-21,3194.55,3202.09,3174.71,3179.81,213420752.0
2000-01-24,3179.85,3241.94,3079.96,3120.3,196838224.0
2000-01-25,3120.3,3137.03,3079.05,3103.17,189411360.0
2000-01-26,3102.43,3175.72,3061.01,3113.7,197102848.0
2000-01-27,3114.17,3175.37,3051.28,3103.6,199255024.0
2000-01-28,3103.31,3130.03,3008.44,3036.26,193310016.0
2000-01-31,3035.69,3121.13,2995.78,3086.09,175316208.0
2000-02-01,3085.53,3108.58,3072.24,3101.96,173058160.0
2000-02-02,3101.15,3156.84,3056.04,3099.08,183219376.0
2000-02-03,3100.12,3160.58,3049.98,3110.58,202254016.0
2000-02-04,3110.58,3158.75,3056.17,3088.04,184366016.0
2000-02-07,3087.98,3124.97,3024.16,3065.74,161961984.0
2000-02-08,3064.9,3132.31,3044.52,3084.99,184824704.0
2000-02-09,3082.86,3109.77,3012.06,3027.37,185318656.0
2000-02-10,3026.94,3066.31,2960.74,2999.48,186782848.0
2000-02-11,2998.38,3032.93,2912.97,2947.49,180943696.0
2000-02-14,2946.94,3015.76,2919.01,2973.18,163584944.0
2000-02-15,2973.24,3040.73,2929.09,3006.7,192657312.0
2000-02-16,3005.54,3010.46,2976.71,2976.71,179726448.0
