Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-01-03,11501.8,11522.0,11305.7,11357.5,220028583.0
2000-01-04,11349.8,11350.1,10986.5,10997.9,226029233.0
2000-01-05,10989.4,11215.1,10938.7,11122.7,251254424.0
2000-01-06,11113.4,11313.5,11098.5,11253.3,221883669.0
2000-01-07,11247.1,11528.1,11239.9,11522.6,223676680.0
2000-01-10,11532.5,11638.3,11532.5,11572.2,206453317.0
2000-01-11,11568.5,11663.1,11502.7,11511.1,231036632.0
2000-01-12,11506.7,11612.5,11505.2,11551.1,246528192.0
2000-01-13,11558.2,11656.6,11524.1,11582.4,229431579.0
2000-01-14,11619.3,11750.3,11612.5,11723.0,319959844.0
2000-01-18,11719.2,11720.1,11546.5,11560.7,262666466.0
2000-01-19,11535.2,11574.7,11456.0,11489.4,246229702.0
2000-01-20,11490.3,11558.7,11275.0,11351.3,247158568.0
2000-01-21,11356.3,11387.6,11232.5,11251.7,245381053.0
2000-01-24,11251.9,11366.5,10917.3,11008.2,255233444.0
2000-01-25,11011.0,11079.5,10883.5,11029.9,252846388.0
2000-01-26,11025.8,11131.0,11002.6,11033.0,226723609.0
2000-01-27,11035.5,11164.1,10915.4,11028.0,240129083.0
2000-01-28,11024.9,11024.9,10735.8,10738.9,229934677.0
2000-01-31,10735.8,10956.7,10701.6,10940.5,239043898.0
2000-02-01,10937.7,11073.3,10908.0,11041.0,231297973.0
2000-02-02,11037.6,11118.9,10987.1,11003.2,204273684.0
2000-02-03,11010.5,11079.5,10842.3,11013.4,219680385.0
2000-02-04,11014.4,11089.5,10943.0,10963.8,207804367.0
2000-02-07,10966.0,10970.9,10846.2,10905.8,179096842.0
2000-02-08,10904.3,11023.1,10904.3,10957.6,208399928.0
2000-02-09,10948.8,10948.8,10698.8,10699.2,209025035.0
2000-02-10,10697.9,10738.2,10606.4,10643.6,194895567.0
2000-02-11,10638.6,10638.6,10357.0,10425.2,246631868.0
