Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-01-03,2977.2,3022.37,2897.38,2943.67,13977000.0
2000-01-04,2941.99,2962.47,2837.06,2862.17,15135000.0
2000-01-05,2863.01,2909.09,2814.68,2867.36,16282500.0
2000-01-06,2865.12,2981.55,2817.49,2937.08,16384500.0
2000-01-07,2934.41,2998.1,2873.11,2964.72,18378000.0
2000-01-10,2964.72,3034.86,2922.35,2980.5,15972000.0
2000-01-11,2980.5,3042.99,2936.94,2949.56,15210000.0
2000-01-12,2950.13,2993.89,2906.92,2936.24,14619000.0
2000-01-13,2935.12,2967.52,2828.92,2892.89,15456000.0
2000-01-14,2893.73,2947.32,2859.52,2891.63,16288500.0
2000-01-18,2891.21,2931.05,2801.71,2853.61,15850500.0
2000-01-19,2854.17,2896.26,2787.12,2838.04,16317000.0
2000-01-20,2840.71,2872.97,2746.16,2784.31,16510500.0
2000-01-21,2784.87,2808.3,2709.68,2751.49,18147000.0
2000-01-24,2753.73,2784.03,2685.55,2702.95,16737000.0
2000-01-25,2702.67,2741.11,2628.04,2654.69,16105500.0
2000-01-26,2653.85,2717.82,2606.16,2664.79,16759500.0
2000-01-27,2664.51,2709.96,2589.6,2615.27,16942500.0
2000-01-28,2613.87,2651.33,2547.8,2581.75,16437000.0
2000-01-31,2578.66,2630.56,2520.3,2571.65,14907000.0
2000-02-01,2571.14,2613.73,2523.11,2576.63,14715000.0
2000-02-02,2574.89,2648.45,2536.29,2609.66,15579000.0
2000-02-03,2609.1,2658.34,2569.75,2621.59,17197500.0
2000-02-04,2621.59,2670.68,2579.5,2608.96,15676500.0
2000-02-07,2608.68,2646.56,2545.55,2572.21,13771500.0
2000-02-08,2572.21,2622.43,2544.15,2582.8,15715500.0
2000-02-09,2582.24,2627.76,2537.14,2550.32,15757500.0
2000-02-10,2549.87,2560.42,2440.34,2475.27,15882000.0
2000-02-11,2474.42,2510.2,2402.19,2436.13,15385500.0
2000-02-14,2437.54,2496.88,2399.94,2467.28,13909500.0
2000-02-15,2466.72,2496.74,2400.78,2448.9,16381500.0
2000-02-16,2449.46,2506.56,2401.34,2454.79,15282000.0
2000-02-17,2454.79,2514.69,2425.19,2470.36,15522000.0
2000-02-18,2471.77,2508.52,2390.4,2430.8,15634500.0
2000-02-22,2430.24,2490.56,2396.85,2459.14,14700000.0
2000-02-23,2458.07,2485.79,2390.19,2420.28,14905500.0
2000-02-24,2420.28,2451.0,2333.31,2380.3,18225000.0
2000-02-25,2380.3,2420.07,2327.27,2351.26,15978000.0
2000-02-28,2350.7,2398.82,2314.09,2361.78,15397500.0
2000-02-29,2361.78,2420.14,2325.31,2388.86,18064500.0
2000-03-01,2389.0,2435.57,2349.72,2397.77,19111500.0
2000-03-02,2397.77,2406.39,2321.66,2353.93,17979000.0
2000-03-03,2354.77,2466.43,2341.02,2434.45,17254500.0
