Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-01-03,283.16,283.16,274.05,276.71,14335385.0
2000-01-04,276.62,280.92,273.38,278.51,15523077.0
2000-01-05,278.45,291.2,278.45,289.11,16700000.0
2000-01-06,289.11,295.53,287.09,292.64,16804616.0
2000-01-07,292.74,300.15,291.65,297.78,18849230.0
2000-01-10,297.91,299.99,294.15,296.37,16381538.0
2000-01-11,296.27,297.84,292.87,294.37,15600000.0
2000-01-12,294.09,300.93,292.58,298.23,14993846.0
2000-01-13,298.2,302.69,295.59,299.8,15852308.0
2000-01-14,300.41,304.23,297.01,302.24,16706154.0
2000-01-18,302.11,302.4,295.59,299.29,16256923.0
2000-01-19,299.38,304.42,297.23,301.54,16735385.0
2000-01-20,301.41,310.65,298.71,308.82,16933846.0
2000-01-21,308.86,318.36,308.86,315.09,18612308.0
2000-01-24,315.05,320.61,307.96,312.26,17166154.0
2000-01-25,312.16,314.31,302.11,305.87,16518462.0
2000-01-26,305.87,313.61,304.1,310.33,17189230.0
2000-01-27,310.2,314.99,305.93,310.81,17376924.0
2000-01-28,311.04,312.58,304.04,306.58,16858462.0
2000-01-31,306.58,315.71,304.13,315.14,15289231.0
2000-02-01,315.14,317.92,309.36,312.95,15092308.0
2000-02-02,312.89,316.21,308.76,311.41,15978462.0
2000-02-03,311.33,319.43,309.46,315.61,17638462.0
2000-02-04,315.61,317.65,306.74,309.3,16078462.0
2000-02-07,309.26,311.95,304.5,306.91,14124615.0
2000-02-08,306.72,314.6,306.41,311.31,16118462.0
2000-02-09,311.05,314.06,307.58,309.43,16161538.0
2000-02-10,309.36,314.3,306.07,308.09,16289231.0
2000-02-11,308.09,310.54,303.25,305.97,15780000.0
2000-02-14,305.38,311.64,304.19,307.05,14266154.0
2000-02-15,306.98,310.47,304.6,307.42,16801538.0
2000-02-16,307.25,310.13,303.96,306.11,15673846.0
2000-02-17,306.11,309.87,301.47,303.99,15920000.0
2000-02-18,303.92,304.53,296.3,298.86,16035385.0
2000-02-22,298.89,302.35,294.02,295.9,15076923.0
2000-02-23,295.77,298.75,290.26,293.52,15287692.0
2000-02-24,293.48,294.02,280.56,285.53,18692308.0
2000-02-25,285.66,288.52,277.17,279.99,16387692.0
2000-02-28,279.79,291.57,279.76,288.15,15792308.0
2000-02-29,288.01,292.48,283.41,288.48,18527692.0
2000-03-01,288.33,291.84,282.14,287.38,19601538.0
2000-03-02,287.24,292.34,283.41,287.98,18440000.0
2000-03-03,287.88,292.78,285.97,290.2,17696924.0
2000-03-06,290.13,290.83,276.37,280.8,15830769.0
2000-03-07,280.8,288.35,277.27,279.99,20216924.0
2000-03-08,279.36,282.78,272.77,276.47,18507692.0
2000-03-09,276.6,278.61,270.52,275.69,17276924.0
2000-03-10,275.63,281.23,273.18,277.74,17520000.0
2000-03-13,277.48,278.75,271.7,276.57,15632308.0
2000-03-14,276.57,277.47,271.36,274.12,16830770.0
2000-03-15,274.05,286.7,272.87,284.02,20043076.0
2000-03-16,283.78,299.09,283.05,295.77,22804616.0
2000-03-17,295.8,297.14,287.24,289.93,19924616.0
