Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-01-03,41226.0,41226.0,41226.0,41226.0,
2000-01-04,40314.0,40314.0,40314.0,40314.0,
2000-01-05,39452.0,39452.0,39452.0,39452.0,
2000-01-06,38835.0,38835.0,38835.0,38835.0,
2000-01-07,40194.0,40194.0,40194.0,40194.0,
2000-01-10,39711.0,39711.0,39711.0,39711.0,
2000-01-11,39870.0,39870.0,39870.0,39870.0,
2000-01-12,40289.0,40289.0,40289.0,40289.0,
2000-01-13,40499.0,40499.0,40499.0,40499.0,
2000-01-14,41588.0,41588.0,41588.0,41588.0,
2000-01-17,41546.0,41546.0,41546.0,41546.0,
2000-01-18,41109.0,41109.0,41109.0,41109.0,
2000-01-19,41436.0,41436.0,41436.0,41436.0,
2000-01-20,41690.0,41690.0,41690.0,41690.0,
2000-01-21,41702.0,41702.0,41702.0,41702.0,
2000-01-24,42012.0,42012.0,42012.0,42012.0,
2000-01-25,41165.0,41165.0,41165.0,41165.0,
2000-01-26,41361.0,41361.0,41361.0,41361.0,
2000-01-27,41939.0,41939.0,41939.0,41939.0,
2000-01-28,41854.0,41854.0,41854.0,41854.0,
2000-01-31,41463.0,41463.0,41463.0,41463.0,
2000-02-01,42403.0,42403.0,42403.0,42403.0,
2000-02-02,42993.0,42993.0,42993.0,42993.0,
2000-02-03,43889.0,43889.0,43889.0,43889.0,
2000-02-04,44091.0,44091.0,44091.0,44091.0,
2000-02-07,43730.0,43730.0,43730.0,43730.0,
2000-02-08,45150.0,45150.0,45150.0,45150.0,
2000-02-09,45101.0,45101.0,45101.0,45101.0,
2000-02-10,45785.0,45785.0,45785.0,45785.0,
2000-02-11,46878.0,46878.0,46878.0,46878.0,
2000-02-14,47395.0,47395.0,47395.0,47395.0,
2000-02-15,45726.0,45726.0,45726.0,45726.0,
2000-02-16,46446.0,46446.0,46446.0,46446.0,
2000-02-17,46807.0,46807.0,46807.0,46807.0,
2000-02-18,46602.0,46602.0,46602.0,46602.0,
2000-02-21,46014.0,46014.0,46014.0,46014.0,
2000-02-22,46034.0,46034.0,46034.0,46034.0,
2000-02-23,47134.0,47134.0,47134.0,47134.0,
2000-02-24,46907.0,46907.0,46907.0,46907.0,
2000-02-25,48235.0,48235.0,48235.0,48235.0,
2000-02-28,47746.0,47746.0,47746.0,47746.0,
2000-02-29,48479.0,48479.0,48479.0,48479.0,
2000-03-01,48676.0,48676.0,48676.0,48676.0,
2000-03-02,49464.0,49464.0,49464.0,49464.0,
2000-03-03,49169.0,49169.0,49169.0,49169.0,
2000-03-06,50109.0,50109.0,50109.0,50109.0,
2000-03-07,48925.0,48925.0,48925.0,48925.0,
2000-03-08,48810.0,48810.0,48810.0,48810.0,
2000-03-09,49233.0,49233.0,49233.0,49233.0,
2000-03-10,49355.0,49355.0,49355.0,49355.0,
2000-03-13,48208.0,48208.0,48208.0,48208.0,
2000-03-14,48181.0,48181.0,48181.0,48181.0,
2000-03-15,46692.0,46692.0,46692.0,46692.0,
2000-03-16,47485.0,47485.0,47485.0,47485.0,
2000-03-17,48125.0,48125.0,48125.0,48125.0,
2000-03-20,47354.0,47354.0,47354.0,47354.0,
2000-03-21,46756.0,46756.0,46756.0,46756.0,
2000-03-22,45921.0,45921.0,45921.0,45921.0,
2000-03-23,45938.0,45938.0,45938.0,45938.0,
2000-03-24,47258.0,47258.0,47258.0,47258.0,
2000-03-27,47051.0,47051.0,47051.0,47051.0,
2000-03-28,46827.0,46827.0,46827.0,46827.0,
2000-03-29,46839.0,46839.0,46839.0,46839.0,
2000-03-30,45616.0,45616.0,45616.0,45616.0,
2000-03-31,45392.0,45392.0,45392.0,45392.0,
2000-04-03,44218.0,44218.0,44218.0,44218.0,
2000-04-04,44987.0,44987.0,44987.0,44987.0,
2000-04-05,43815.0,43815.0,43815.0,43815.0,
2000-04-06,45060.0,45060.0,45060.0,45060.0,
2000-04-07,45275.0,45275.0,45275.0,45275.0,
2000-04-10,45206.0,45206.0,45206.0,45206.0,
2000-04-11,44123.0,44123.0,44123.0,44123.0,
2000-04-12,44511.0,44511.0,44511.0,44511.0,
2000-04-13,44616.0,44616.0,44616.0,44616.0,
2000-04-14,43449.0,43449.0,43449.0,43449.0,
2000-04-17,42651.0,42651.0,42651.0,42651.0,
2000-04-18,43003.0,43003.0,43003.0,43003.0,
2000-04-19,43061.0,43061.0,43061.0,43061.0,
2000-04-20,44077.0,44077.0,44077.0,44077.0,
2000-04-25,44621.0,44621.0,44621.0,44621.0,
2000-04-26,44606.0,44606.0,44606.0,44606.0,
2000-04-27,44206.0,44206.0,44206.0,44206.0,
2000-04-28,44801.0,44801.0,44801.0,44801.0,
2000-05-02,46168.0,46168.0,46168.0,46168.0,
2000-05-03,45226.0,45226.0,45226.0,45226.0,
2000-05-04,45968.0,45968.0,45968.0,45968.0,
2000-05-05,45980.0,45980.0,45980.0,45980.0,
2000-05-08,45672.0,45672.0,45672.0,45672.0,
2000-05-09,44967.0,44967.0,44967.0,44967.0,
2000-05-10,44879.0,44879.0,44879.0,44879.0,
2000-05-11,45292.0,45292.0,45292.0,45292.0,
2000-05-12,45707.0,45707.0,45707.0,45707.0,
2000-05-15,45689.0,45689.0,45689.0,45689.0,
2000-05-16,46568.0,46568.0,46568.0,46568.0,
2000-05-17,45492.0,45492.0,45492.0,45492.0,
2000-05-18,45941.0,45941.0,45941.0,45941.0,
2000-05-19,44325.0,44325.0,44325.0,44325.0,
2000-05-22,43100.0,43100.0,43100.0,43100.0,
2000-05-23,44172.0,44172.0,44172.0,44172.0,
2000-05-24,43635.0,43635.0,43635.0,43635.0,
2000-05-25,44594.0,44594.0,44594.0,44594.0,
2000-05-26,44633.0,44633.0,44633.0,44633.0,
2000-05-29,45062.0,45062.0,45062.0,45062.0,
2000-05-30,45589.0,45589.0,45589.0,45589.0,
2000-05-31,45214.0,45214.0,45214.0,45214.0,
2000-06-01,45999.0,45999.0,45999.0,45999.0,
2000-06-02,46365.0,46365.0,46365.0,46365.0,
2000-06-05,46077.0,46077.0,46077.0,46077.0,
2000-06-06,45675.0,45675.0,45675.0,45675.0,
2000-06-07,46275.0,46275.0,46275.0,46275.0,
2000-06-08,46024.0,46024.0,46024.0,46024.0,
2000-06-09,46260.0,46260.0,46260.0,46260.0,
2000-06-12,46055.0,46055.0,46055.0,46055.0,
2000-06-13,46258.0,46258.0,46258.0,46258.0,
2000-06-14,46756.0,46756.0,46756.0,46756.0,
2000-06-15,46773.0,46773.0,46773.0,46773.0,
2000-06-16,45904.0,45904.0,45904.0,45904.0,
2000-06-19,45841.0,45841.0,45841.0,45841.0,
2000-06-20,46038.0,46038.0,46038.0,46038.0,
2000-06-21,45704.0,45704.0,45704.0,45704.0,
2000-06-22,45372.0,45372.0,45372.0,45372.0,
2000-06-23,45909.0,45909.0,45909.0,45909.0,
2000-06-26,45985.0,45985.0,45985.0,45985.0,
2000-06-27,45802.0,45802.0,45802.0,45802.0,
2000-06-28,46368.0,46368.0,46368.0,46368.0,
2000-06-29,45699.0,45699.0,45699.0,45699.0,
2000-06-30,46448.0,46448.0,46448.0,46448.0,
2000-07-03,46729.0,46729.0,46729.0,46729.0,
2000-07-04,46551.0,46551.0,46551.0,46551.0,
2000-07-05,46607.0,46607.0,46607.0,46607.0,
2000-07-06,46922.0,46922.0,46922.0,46922.0,
2000-07-07,47656.0,47656.0,47656.0,47656.0,
2000-07-10,47583.0,47583.0,47583.0,47583.0,
2000-07-11,47922.0,47922.0,47922.0,47922.0,
2000-07-12,47842.0,47842.0,47842.0,47842.0,
2000-07-13,48056.0,48056.0,48056.0,48056.0,
2000-07-14,47832.0,47832.0,47832.0,47832.0,
2000-07-17,47871.0,47871.0,47871.0,47871.0,
2000-07-18,47637.0,47637.0,47637.0,47637.0,
2000-07-19,47715.0,47715.0,47715.0,47715.0,
2000-07-20,48215.0,48215.0,48215.0,48215.0,
2000-07-21,47803.0,47803.0,47803.0,47803.0,
2000-07-24,47488.0,47488.0,47488.0,47488.0,
2000-07-25,47549.0,47549.0,47549.0,47549.0,
2000-07-26,47063.0,47063.0,47063.0,47063.0,
2000-07-27,46256.0,46256.0,46256.0,46256.0,
2000-07-28,45780.0,45780.0,45780.0,45780.0,
2000-07-31,46309.0,46309.0,46309.0,46309.0,
2000-08-01,46185.0,46185.0,46185.0,46185.0,
2000-08-02,46246.0,46246.0,46246.0,46246.0,
2000-08-03,45606.0,45606.0,45606.0,45606.0,
2000-08-04,45789.0,45789.0,45789.0,45789.0,
2000-08-07,46861.0,46861.0,46861.0,46861.0,
2000-08-08,47202.0,47202.0,47202.0,47202.0,
2000-08-09,47498.0,47498.0,47498.0,47498.0,
2000-08-10,47627.0,47627.0,47627.0,47627.0,
2000-08-11,47354.0,47354.0,47354.0,47354.0,
2000-08-14,47671.0,47671.0,47671.0,47671.0,
2000-08-16,47976.0,47976.0,47976.0,47976.0,
2000-08-17,47537.0,47537.0,47537.0,47537.0,
2000-08-18,47322.0,47322.0,47322.0,47322.0,
