Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-01-04,6449.5,6475.1,6432.1,6432.1,
2000-01-05,6388.4,6388.4,6333.1,6364.0,
2000-01-06,6363.2,6408.0,6361.9,6406.7,
2000-01-07,6399.6,6494.5,6399.6,6484.4,
2000-01-10,6493.7,6545.9,6493.6,6544.3,
2000-01-11,6550.7,6583.1,6550.7,6583.1,
2000-01-12,6579.8,6580.8,6531.0,6532.1,
2000-01-13,6534.8,6552.1,6518.5,6528.5,
2000-01-14,6529.8,6557.8,6528.6,6554.6,
2000-01-17,6567.6,6627.8,6567.6,6626.2,
2000-01-18,6629.2,6652.1,6564.9,6567.4,
2000-01-19,6563.2,6563.2,6492.4,6495.5,
2000-01-20,6494.1,6522.8,6456.4,6457.9,
2000-01-21,6454.8,6454.8,6357.4,6362.5,
2000-01-24,6363.3,6395.4,6363.3,6378.3,
2000-01-25,6354.3,6354.3,6274.4,6277.9,
2000-01-26,6284.5,6335.6,6284.5,6317.6,
2000-01-27,6317.3,6335.1,6307.7,6311.4,
2000-01-28,6311.3,6323.7,6269.4,6271.5,
2000-01-31,6256.1,6257.4,6179.0,6181.0,
2000-02-01,6192.7,6226.8,6163.3,6164.0,
2000-02-02,6161.9,6168.1,6113.4,6120.5,
2000-02-03,6117.6,6169.8,6116.4,6166.3,
2000-02-04,6174.5,6192.8,6147.3,6148.0,
2000-02-07,6154.3,6183.9,6123.2,6123.6,
2000-02-08,6129.2,6138.0,6025.7,6028.1,
2000-02-09,6018.7,6134.6,6018.0,6116.9,
2000-02-10,6100.3,6103.2,6043.0,6043.8,
2000-02-11,6051.7,6147.4,6051.7,6147.4,
2000-02-14,6144.3,6176.9,6142.9,6145.6,
2000-02-15,6145.5,6187.6,6135.0,6135.0,
2000-02-16,6139.1,6187.5,6139.1,6166.5,
2000-02-17,6164.6,6244.5,6164.4,6244.5,
2000-02-18,6244.9,6317.9,6234.9,6298.4,
2000-02-21,6291.2,6304.9,6270.3,6296.6,
2000-02-22,6306.4,6368.8,6306.4,6318.4,
2000-02-23,6333.4,6380.6,6329.9,6361.6,
2000-02-24,6363.6,6460.2,6363.6,6412.9,
2000-02-25,6417.2,6457.5,6417.2,6442.7,
2000-02-28,6442.0,6452.5,6429.0,6445.3,
2000-02-29,6452.0,6475.1,6451.2,6451.2,
2000-03-01,6460.2,6616.6,6460.2,6616.6,
2000-03-02,6620.8,6676.8,6620.8,6676.8,
2000-03-03,6682.1,6781.9,6682.1,6776.6,
2000-03-06,6796.3,6853.7,6796.3,6838.9,
2000-03-07,6835.4,6840.5,6786.1,6789.3,
2000-03-08,6769.1,6773.7,6736.6,6743.5,
2000-03-09,6755.5,6804.6,6754.0,6797.1,
