Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-01-03,14578.7,15487.8,14578.7,15330.5,
2000-01-04,15330.5,15331.1,13702.9,14184.9,
2000-01-05,14184.9,14184.9,12770.3,13012.0,
2000-01-07,13012.0,13547.0,12341.9,13539.9,
2000-01-10,13539.9,14106.5,13539.9,13857.4,
2000-01-11,13857.4,14112.1,13625.0,13700.4,
2000-01-12,13700.4,13755.6,13237.1,13592.0,
2000-01-13,13592.0,14218.0,13591.9,14063.5,
2000-01-14,14063.5,14688.1,14063.5,14602.5,
2000-01-17,14602.5,14830.4,14449.1,14826.9,
2000-01-18,14874.6,14938.3,14450.4,14497.4,
2000-01-19,14497.4,14497.4,13983.8,14294.3,
2000-01-20,14294.3,14610.1,14294.3,14454.8,
2000-01-21,14454.8,14456.6,14225.0,14404.7,
2000-01-24,14404.7,14904.4,14404.7,14722.7,
2000-01-25,14722.7,14722.7,14163.7,14549.3,
2000-01-26,14549.3,14751.1,14540.0,14650.0,
2000-01-27,14650.0,14741.8,14437.7,14715.6,
2000-01-28,14715.6,15586.3,14715.6,15282.8,
2000-01-31,15282.8,15282.8,14775.5,14992.5,
2000-02-01,14992.5,15685.5,14882.3,15067.5,
2000-02-02,15067.5,15598.2,15067.5,15507.7,
2000-02-03,15507.7,15687.9,15387.9,15516.2,
2000-02-04,15516.2,16152.3,15514.9,16083.3,
2000-02-07,16083.3,16144.6,15934.2,16072.3,
2000-02-08,16072.3,16335.7,15931.6,16318.8,
2000-02-09,16318.8,16696.1,16318.8,16452.3,
2000-02-10,16452.3,16452.6,16006.5,16185.2,
2000-02-11,16185.2,16242.1,15832.7,16048.5,
2000-02-14,16048.5,16071.8,15494.2,15522.7,
2000-02-15,15522.7,15736.5,15343.3,15395.1,
2000-02-16,15395.1,15747.0,15191.0,15350.5,
2000-02-17,15350.5,15624.3,15282.4,15475.4,
2000-02-18,15475.4,16137.3,15475.4,15940.1,
2000-02-21,15940.1,15940.3,15482.6,15646.2,
2000-02-22,15646.2,15873.5,15483.3,15610.4,
2000-02-23,15610.4,15917.1,15610.4,15734.1,
