Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-01-03,11846.6,11881.8,11574.4,11610.0,
2000-01-04,11499.5,11530.0,11159.8,11206.6,
2000-01-05,10917.6,11068.1,10824.9,10863.1,
2000-01-07,10963.4,11137.9,10882.7,11102.4,
2000-01-10,11363.8,11364.3,11120.6,11173.3,
2000-01-11,11233.0,11234.6,10919.9,11012.4,
2000-01-12,10932.9,10947.1,10821.4,10851.8,
2000-01-13,10989.9,11169.8,10827.6,10931.9,
2000-01-14,10980.7,11212.1,10976.3,11184.0,
2000-01-17,11384.9,11394.2,11191.5,11285.6,
2000-01-18,11335.7,11355.4,11032.5,11066.3,
2000-01-19,10981.5,11134.4,10931.6,11120.7,
2000-01-20,11139.7,11258.1,10970.4,11047.6,
2000-01-21,10992.2,11073.9,10904.4,10969.3,
2000-01-24,11060.9,11142.2,10908.8,10955.0,
2000-01-25,10828.2,10901.5,10808.8,10863.5,
2000-01-26,10965.1,11044.3,10923.6,11031.4,
2000-01-27,11134.3,11293.6,11084.2,11206.6,
2000-01-28,11307.3,11310.9,10987.5,11009.3,
2000-01-31,10889.1,10960.0,10770.5,10835.1,
2000-02-01,10960.7,10987.9,10840.0,10970.0,
2000-02-02,11049.7,11215.8,10926.7,11195.6,
2000-02-03,11275.1,11564.5,11208.9,11544.1,
2000-02-04,11592.9,11704.9,11510.7,11580.1,
2000-02-07,11617.2,11708.7,11469.0,11506.8,
2000-02-08,11567.1,11834.8,11492.0,11834.8,
2000-02-09,11932.8,12102.8,11851.1,11939.5,
2000-02-10,11766.3,12067.6,11757.8,12020.6,
2000-02-11,12170.4,12463.7,12133.8,12432.6,
2000-02-14,12595.5,12912.3,12338.2,12458.6,
2000-02-15,12545.3,12633.2,12144.4,12165.1,
2000-02-16,12357.8,12390.5,12089.9,12235.1,
2000-02-17,12198.5,12418.8,12126.0,12326.7,
2000-02-18,12377.3,12474.1,12323.8,12368.0,
2000-02-21,12169.5,12292.8,12112.9,12260.3,
2000-02-22,12217.0,12411.2,12053.9,12076.9,
2000-02-23,12192.3,12318.2,12119.3,12312.3,
2000-02-24,12444.5,12572.9,12312.1,12352.3,
2000-02-25,12484.4,12695.0,12456.2,12690.9,
2000-02-28,12603.9,12710.5,12372.3,12467.0,
2000-02-29,12552.2,12625.9,12499.7,12585.8,
2000-03-01,12677.0,12702.4,12500.9,12538.7,
2000-03-02,12603.3,12711.6,12450.2,12709.6,
2000-03-03,12729.9,12864.8,12315.3,12745.0,
2000-03-06,12844.3,12852.9,12678.5,12816.8,
2000-03-07,12804.7,12968.5,12654.2,12667.2,
2000-03-08,12480.8,12717.8,12472.7,12668.3,
2000-03-09,12686.0,12744.6,12539.8,12563.2,
2000-03-10,12710.4,12769.4,12445.9,12513.7,
2000-03-13,12822.2,12862.8,12198.1,12359.7,
2000-03-14,12413.7,12557.9,12302.5,12555.8,
2000-03-15,12433.2,12468.9,12229.6,12279.5,
2000-03-16,12404.7,12474.9,12222.4,12260.9,
2000-03-17,12497.7,12553.6,12206.4,12369.8,
2000-03-20,12396.4,12529.7,12362.1,12362.4,
2000-03-21,12309.6,12375.4,12156.7,12308.3,
2000-03-22,12419.6,12489.0,12091.8,12172.2,
2000-03-23,12193.3,12273.2,11970.9,12073.3,
2000-03-24,12123.8,12240.0,12030.7,12213.8,
2000-03-27,12223.2,12266.5,12120.7,12162.0,
2000-03-28,12176.4,12297.9,12084.3,12211.1,
2000-03-29,12160.9,12204.8,12043.2,12088.6,
2000-03-30,11971.8,12001.4,11827.9,11833.4,
2000-03-31,11743.3,11978.9,11633.8,11935.0,
2000-04-03,11869.8,11958.6,11622.2,11686.4,
2000-04-04,11594.3,11771.5,11575.2,11584.2,
2000-04-05,11542.3,11618.8,11189.8,11374.6,
2000-04-06,11474.7,11648.1,11412.7,11607.9,
2000-04-07,11726.5,11790.7,11683.9,11790.6,
2000-04-10,11853.2,11918.5,11743.8,11768.7,
2000-04-11,11532.3,11722.2,11502.6,11515.3,
2000-04-12,11593.0,11667.2,11499.1,11542.1,
2000-04-13,11412.8,11660.5,11379.4,11647.2,
2000-04-14,11526.6,11632.0,11323.4,11363.9,
2000-04-17,10879.4,11267.4,10771.6,11217.3,
2000-04-18,11371.9,11390.9,11117.9,11261.5,
2000-04-19,11372.7,11411.0,11265.7,11339.8,
2000-04-20,11317.4,11543.3,11317.2,11502.0,
2000-04-25,11330.2,11460.6,11325.4,11425.5,
2000-04-26,11534.7,11573.9,11447.6,11481.5,
2000-04-27,11473.7,11525.4,11232.7,11273.0,
2000-04-28,11397.4,11501.8,11349.7,11467.9,
2000-05-02,11651.4,11867.2,11569.2,11867.2,
2000-05-03,11758.6,11974.4,11633.5,11667.9,
2000-05-04,11616.3,11700.4,11513.3,11597.5,
2000-05-05,11599.8,11652.5,11454.7,11560.9,
2000-05-08,11420.4,11484.2,11267.9,11304.0,
2000-05-09,11293.4,11366.3,11053.5,11071.7,
2000-05-10,11056.3,11151.6,10808.1,10832.3,
2000-05-11,10771.4,11038.6,10685.6,11036.3,
2000-05-12,11122.0,11184.9,10972.7,11102.6,
2000-05-15,11060.7,11164.7,10938.3,11009.3,
2000-05-16,11068.4,11260.4,11058.5,11220.7,
2000-05-17,11227.6,11227.6,10899.1,10905.3,
2000-05-18,10895.0,11081.1,10850.0,10889.6,
2000-05-19,10915.2,10930.9,10488.3,10544.9,
2000-05-22,10531.4,10628.5,10264.5,10326.3,
2000-05-23,10441.9,10503.8,10330.9,10380.1,
2000-05-24,10214.8,10412.9,10211.3,10342.4,
2000-05-25,10418.1,10588.9,10382.5,10560.6,
2000-05-26,10428.9,10545.1,10370.1,10437.1,
2000-05-29,10437.8,10547.2,10436.9,10520.5,
2000-05-30,10595.1,10721.7,10544.7,10648.5,
2000-05-31,10771.6,10813.1,10643.5,10688.5,
2000-06-01,10640.5,10898.9,10640.5,10875.5,
2000-06-02,10880.8,11220.5,10870.8,11141.5,
2000-06-05,11157.4,11183.5,10993.0,11004.2,
2000-06-06,11008.0,11047.7,10751.1,10782.5,
2000-06-07,10743.8,10768.6,10520.3,10688.9,
2000-06-08,10781.9,10954.9,10738.6,10799.6,
2000-06-09,10802.5,11001.2,10783.3,10873.2,
2000-06-12,10931.6,10961.3,10766.2,10791.3,
2000-06-13,10772.0,10946.9,10690.9,10806.0,
2000-06-14,10856.3,10965.8,10798.5,10880.7,
2000-06-15,10837.4,10950.0,10837.4,10876.0,
2000-06-16,10889.8,10918.8,10663.6,10723.8,
2000-06-19,10646.1,10754.6,10565.9,10595.6,
2000-06-20,10672.6,10688.5,10563.4,10563.4,
2000-06-21,10491.9,10530.5,10351.4,10351.4,
2000-06-22,10416.5,10566.2,10413.1,10490.5,
2000-06-23,10491.9,10631.6,10415.8,10533.1,
2000-06-26,10497.3,10603.3,10467.2,10488.9,
2000-06-27,10492.1,10588.3,10449.6,10528.2,
2000-06-28,10561.1,10615.5,10505.9,10583.2,
2000-06-29,10614.2,10624.0,10366.4,10366.4,
2000-06-30,10437.0,10605.3,10387.6,10581.3,
2000-07-03,10578.2,10697.0,10454.2,10676.7,
2000-07-04,10664.6,10892.2,10661.5,10848.9,
