Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-01-03,1511.86,1511.86,1511.86,1511.86,
2000-01-04,1511.9,1511.9,1511.9,1511.9,
2000-01-05,1495.92,1495.92,1495.92,1495.92,
2000-01-06,1501.61,1501.61,1501.61,1501.61,
2000-01-07,1495.2,1495.2,1495.2,1495.2,
2000-01-10,1498.88,1498.88,1498.88,1498.88,
2000-01-11,1501.16,1501.16,1501.16,1501.16,
2000-01-12,1500.89,1500.89,1500.89,1500.89,
2000-01-13,1516.23,1516.23,1516.23,1516.23,
2000-01-14,1520.64,1520.64,1520.64,1520.64,
2000-01-17,1541.06,1541.06,1541.06,1541.06,
2000-01-18,1541.39,1541.39,1541.39,1541.39,
2000-01-19,1557.9,1557.9,1557.9,1557.9,
2000-01-20,1556.15,1556.15,1556.15,1556.15,
2000-01-21,1565.22,1565.22,1565.22,1565.22,
2000-01-24,1572.51,1572.51,1572.51,1572.51,
2000-01-25,1570.12,1570.12,1570.12,1570.12,
2000-01-26,1587.09,1587.09,1587.09,1587.09,
2000-01-27,1593.58,1593.58,1593.58,1593.58,
2000-01-28,1592.96,1592.96,1592.96,1592.96,
2000-01-31,1598.75,1598.75,1598.75,1598.75,
2000-02-01,1606.83,1606.83,1606.83,1606.83,
2000-02-02,1604.46,1604.46,1604.46,1604.46,
2000-02-03,1609.06,1609.06,1609.06,1609.06,
2000-02-04,1605.29,1605.29,1605.29,1605.29,
2000-02-07,1624.74,1624.74,1624.74,1624.74,
2000-02-08,1640.73,1640.73,1640.73,1640.73,
2000-02-09,1669.74,1669.74,1669.74,1669.74,
2000-02-10,1683.42,1683.42,1683.42,1683.42,
2000-02-11,1710.19,1710.19,1710.19,1710.19,
2000-02-14,1735.0,1735.0,1735.0,1735.0,
2000-02-15,1730.01,1730.01,1730.01,1730.01,
2000-02-16,1748.19,1748.19,1748.19,1748.19,
2000-02-17,1763.41,1763.41,1763.41,1763.41,
2000-02-18,1724.0,1724.0,1724.0,1724.0,
2000-02-21,1716.89,1716.89,1716.89,1716.89,
2000-02-22,1694.12,1694.12,1694.12,1694.12,
2000-02-23,1693.6,1693.6,1693.6,1693.6,
2000-02-24,1689.43,1689.43,1689.43,1689.43,
2000-02-25,1694.22,1694.22,1694.22,1694.22,
2000-02-28,1678.07,1678.07,1678.07,1678.07,
2000-02-29,1670.64,1670.64,1670.64,1670.64,
2000-03-01,1668.45,1668.45,1668.45,1668.45,
2000-03-02,1660.98,1660.98,1660.98,1660.98,
2000-03-03,1637.84,1637.84,1637.84,1637.84,
2000-03-06,1650.03,1650.03,1650.03,1650.03,
2000-03-07,1676.57,1676.57,1676.57,1676.57,
2000-03-08,1672.96,1672.96,1672.96,1672.96,
2000-03-09,1687.3,1687.3,1687.3,1687.3,
2000-03-10,1698.96,1698.96,1698.96,1698.96,
2000-03-13,1733.16,1733.16,1733.16,1733.16,
2000-03-14,1730.84,1730.84,1730.84,1730.84,
2000-03-15,1721.44,1721.44,1721.44,1721.44,
2000-03-16,1713.22,1713.22,1713.22,1713.22,
2000-03-17,1725.29,1725.29,1725.29,1725.29,
2000-03-20,1731.9,1731.9,1731.9,1731.9,
2000-03-21,1724.51,1724.51,1724.51,1724.51,
2000-03-22,1727.89,1727.89,1727.89,1727.89,
2000-03-23,1736.86,1736.86,1736.86,1736.86,
2000-03-24,1737.67,1737.67,1737.67,1737.67,
2000-03-27,1735.31,1735.31,1735.31,1735.31,
2000-03-28,1737.44,1737.44,1737.44,1737.44,
2000-03-29,1732.2,1732.2,1732.2,1732.2,
2000-03-30,1758.33,1758.33,1758.33,1758.33,
2000-03-31,1781.34,1781.34,1781.34,1781.34,
2000-04-03,1785.61,1785.61,1785.61,1785.61,
2000-04-04,1795.13,1795.13,1795.13,1795.13,
2000-04-05,1744.34,1744.34,1744.34,1744.34,
2000-04-06,1753.1,1753.1,1753.1,1753.1,
2000-04-07,1770.66,1770.66,1770.66,1770.66,
2000-04-10,1765.97,1765.97,1765.97,1765.97,
2000-04-11,1772.66,1772.66,1772.66,1772.66,
2000-04-12,1739.41,1739.41,1739.41,1739.41,
2000-04-13,1728.21,1728.21,1728.21,1728.21,
2000-04-14,1724.4,1724.4,1724.4,1724.4,
2000-04-17,1678.6,1678.6,1678.6,1678.6,
2000-04-18,1710.13,1710.13,1710.13,1710.13,
2000-04-19,1725.66,1725.66,1725.66,1725.66,
2000-04-25,1716.81,1716.81,1716.81,1716.81,
2000-04-26,1712.52,1712.52,1712.52,1712.52,
2000-04-27,1710.84,1710.84,1710.84,1710.84,
2000-04-28,1714.69,1714.69,1714.69,1714.69,
2000-05-02,1698.25,1698.25,1698.25,1698.25,
2000-05-03,1698.04,1698.04,1698.04,1698.04,
2000-05-04,1708.96,1708.96,1708.96,1708.96,
2000-05-05,1678.1,1678.1,1678.1,1678.1,
2000-05-08,1676.6,1676.6,1676.6,1676.6,
2000-05-09,1672.58,1672.58,1672.58,1672.58,
2000-05-10,1644.07,1644.07,1644.07,1644.07,
2000-05-11,1609.84,1609.84,1609.84,1609.84,
2000-05-12,1631.08,1631.08,1631.08,1631.08,
2000-05-15,1639.42,1639.42,1639.42,1639.42,
2000-05-16,1625.19,1625.19,1625.19,1625.19,
2000-05-17,1601.66,1601.66,1601.66,1601.66,
2000-05-18,1565.16,1565.16,1565.16,1565.16,
2000-05-19,1547.66,1547.66,1547.66,1547.66,
2000-05-22,1530.87,1530.87,1530.87,1530.87,
2000-05-23,1551.97,1551.97,1551.97,1551.97,
2000-05-24,1544.97,1544.97,1544.97,1544.97,
2000-05-25,1553.06,1553.06,1553.06,1553.06,
2000-05-26,1550.82,1550.82,1550.82,1550.82,
2000-05-29,1547.2,1547.2,1547.2,1547.2,
2000-05-30,1560.5,1560.5,1560.5,1560.5,
2000-05-31,1563.28,1563.28,1563.28,1563.28,
2000-06-02,1554.83,1554.83,1554.83,1554.83,
