Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-01-03,7185.71,7278.77,7059.45,7077.71,
2000-01-04,7074.71,7074.71,6673.36,6675.27,
2000-01-05,6674.93,6781.03,6524.28,6764.31,
2000-01-06,6784.0,6822.46,6742.91,6751.65,
2000-01-07,6768.86,7054.29,6768.86,7047.09,
2000-01-10,7047.92,7337.43,7047.92,7333.7,
2000-01-11,7332.34,7363.11,7077.89,7143.13,
2000-01-12,7153.86,7174.48,7091.07,7174.1,
2000-01-13,7174.33,7426.41,7174.33,7274.52,
2000-01-14,7278.61,7394.22,7278.61,7381.49,
2000-01-17,7380.62,7447.46,7370.64,7447.12,
2000-01-18,7446.89,7446.89,7302.45,7303.32,
2000-01-19,7303.01,7310.98,7170.85,7171.2,
2000-01-20,7172.29,7192.66,6991.48,7036.79,
2000-01-21,7037.26,7083.29,6862.67,6890.78,
2000-01-24,6890.83,6997.2,6855.35,6855.35,
2000-01-25,6855.84,6911.67,6784.39,6885.88,
2000-01-26,6885.39,6976.12,6862.32,6918.94,
2000-01-27,6920.75,7010.78,6839.18,6854.39,
2000-01-28,6853.71,6853.71,6627.67,6648.48,
2000-01-31,6649.98,6649.98,6510.84,6585.67,
2000-02-01,6585.76,6747.36,6566.51,6740.52,
2000-02-02,6733.77,6809.67,6688.84,6769.81,
2000-02-03,6771.42,7095.93,6771.42,7043.1,
2000-02-04,7043.74,7372.16,7043.74,7236.54,
2000-02-07,7237.61,7594.23,7237.61,7592.57,
2000-02-08,7594.88,7802.12,7433.59,7583.51,
2000-02-09,7583.83,7643.85,7448.49,7469.16,
2000-02-10,7471.14,7738.44,7471.14,7723.86,
2000-02-11,7726.38,7818.01,7550.44,7623.47,
2000-02-14,7623.74,7644.49,7526.07,7558.23,
2000-02-15,7557.04,7614.37,7403.95,7574.64,
2000-02-16,7513.91,7642.35,7513.91,7600.72,
2000-02-17,7603.22,7681.92,7521.9,7538.19,
2000-02-18,7538.81,7548.31,7314.9,7345.57,
2000-02-21,7345.89,7351.22,7296.32,7314.97,
2000-02-22,7315.93,7353.62,7180.02,7234.76,
2000-02-23,7235.68,7487.12,7235.68,7462.12,
2000-02-24,7462.31,7514.99,7334.9,7410.82,
2000-02-25,7410.97,7467.95,7302.67,7304.35,
2000-02-28,7304.67,7376.06,7283.01,7336.65,
2000-02-29,7339.22,7411.49,7329.81,7368.55,
2000-03-01,7368.66,7620.86,7368.66,7614.83,
2000-03-02,7618.05,8008.68,7618.05,8007.76,
2000-03-03,8008.39,8207.08,8008.39,8131.27,
2000-03-06,8114.39,8114.83,7957.37,7964.87,
2000-03-07,7966.84,8307.46,7895.26,8005.95,
2000-03-08,8006.23,8295.39,8006.23,8295.2,
2000-03-09,8296.49,8399.52,8269.08,8319.67,
2000-03-10,8320.95,8417.33,8161.79,8177.42,
2000-03-13,8173.47,8173.47,7929.17,8003.72,
2000-03-14,8008.86,8126.26,7805.58,7835.63,
2000-03-15,7835.69,7990.47,7744.83,7987.85,
2000-03-16,7988.16,8120.05,7916.94,7982.42,
2000-03-17,7980.11,8081.82,7962.39,7985.34,
2000-03-20,7986.23,8062.62,7906.39,7906.39,
2000-03-22,7930.02,7998.31,7733.41,7782.61,
2000-03-23,7782.39,7990.04,7754.09,7943.51,
2000-03-24,7944.07,8109.35,7944.07,8093.58,
2000-03-27,8094.87,8222.93,8077.26,8139.5,
2000-03-28,8137.57,8137.57,7950.59,7952.2,
2000-03-29,7947.21,7997.27,7798.63,7885.23,
2000-03-30,7883.45,7883.45,7529.16,7604.49,
2000-03-31,7624.74,7662.47,7473.25,7473.25,
2000-04-03,7459.75,7459.75,7272.65,7378.82,
2000-04-04,7386.31,7428.82,6932.46,7194.83,
2000-04-05,7192.26,7328.42,7092.61,7272.84,
2000-04-06,7273.1,7462.93,7273.1,7462.93,
2000-04-07,7467.92,7639.38,7467.92,7540.09,
2000-04-10,7547.81,7566.95,7375.22,7375.54,
2000-04-11,7371.82,7371.82,7219.59,7234.71,
2000-04-12,7233.42,7263.68,7016.69,7016.69,
2000-04-13,7017.12,7024.27,6854.86,6860.26,
2000-04-14,6859.87,6859.87,6273.23,6315.91,
2000-04-17,6329.42,6412.88,6120.97,6308.26,
2000-04-18,6318.39,6684.0,6305.84,6684.0,
2000-04-19,6680.62,6688.84,6396.64,6446.67,
2000-04-24,6443.45,6463.94,6367.01,6444.13,
2000-04-25,6448.29,6756.95,6448.29,6756.95,
2000-04-26,6790.74,6955.67,6717.49,6751.07,
2000-04-27,6747.94,6848.22,6570.45,6844.78,
2000-04-28,6849.25,6865.52,6640.12,6640.68,
2000-05-02,6641.97,6789.76,6594.1,6612.5,
2000-05-03,6611.43,6611.43,6324.93,6415.51,
2000-05-04,6430.33,6523.12,6415.73,6504.42,
2000-05-08,6504.48,6504.48,6301.0,6324.42,
2000-05-09,6323.1,6345.67,6156.56,6196.09,
2000-05-10,6192.33,6194.96,6046.63,6083.98,
2000-05-11,6085.55,6215.07,6085.55,6104.83,
2000-05-12,6119.36,6259.61,6119.36,6255.35,
2000-05-15,6259.01,6368.89,6238.96,6343.29,
2000-05-16,6345.03,6458.77,6305.23,6366.69,
2000-05-17,6365.44,6365.44,6162.6,6189.09,
2000-05-18,6185.46,6225.15,6086.01,6113.05,
2000-05-19,6111.33,6111.52,5810.97,5863.68,
2000-05-22,5863.64,5863.64,5628.89,5656.45,
2000-05-23,5655.95,5771.2,5591.3,5593.58,
2000-05-24,5590.87,5802.35,5516.77,5800.03,
2000-05-25,5801.33,5898.62,5663.66,5664.25,
2000-05-26,5666.2,5670.4,5548.84,5652.29,
2000-05-29,5652.61,5729.67,5652.61,5728.0,
2000-05-30,5730.51,5998.78,5730.51,5998.48,
2000-05-31,5998.78,6060.95,5901.49,5961.14,
2000-06-01,5961.24,6178.99,5960.86,6178.06,
2000-06-02,6178.32,6639.84,6178.32,6627.34,
2000-06-05,6626.04,6661.71,6554.71,6554.89,
2000-06-06,6554.69,6554.69,6247.29,6250.69,
2000-06-07,6249.33,6323.06,6102.09,6238.41,
2000-06-08,6239.13,6396.12,6235.82,6364.91,
2000-06-09,6365.47,6493.29,6365.47,6398.73,
2000-06-12,6399.18,6447.03,6344.88,6405.0,
2000-06-13,6405.6,6547.21,6382.78,6539.2,
2000-06-14,6540.34,6729.81,6540.34,6667.2,
2000-06-15,6669.46,6705.57,6562.52,6563.61,
2000-06-16,6563.21,6580.87,6434.11,6452.9,
2000-06-19,6453.07,6553.09,6377.3,6551.25,
2000-06-20,6552.47,6584.24,6485.24,6521.22,
2000-06-21,6520.76,6727.07,6506.26,6687.0,
2000-06-22,6686.68,6784.5,6552.38,6570.67,
2000-06-23,6576.15,6576.73,6396.45,6425.57,
2000-06-26,6443.45,6599.34,6443.26,6599.34,
2000-06-27,6598.88,6797.18,6598.34,6747.32,
2000-06-28,6747.52,6806.92,6674.5,6676.64,
2000-06-29,6676.32,6837.69,6577.16,6834.08,
2000-06-30,6835.03,7035.77,6834.62,6948.33,
2000-07-03,6953.73,7394.47,6953.73,7373.37,
2000-07-04,7372.91,7548.57,7343.32,7520.04,
2000-07-05,7518.69,7518.69,7327.1,7372.59,
2000-07-06,7372.6,7376.09,7249.08,7306.14,
2000-07-07,7306.56,7409.05,7274.56,7370.38,
2000-07-10,7356.08,7410.68,7307.49,7398.7,
2000-07-11,7397.86,7398.87,7266.0,7266.0,
2000-07-12,7271.82,7416.34,7268.23,7416.34,
2000-07-13,7417.11,7486.95,7408.79,7428.13,
2000-07-14,7428.99,7490.97,7412.97,7435.99,
2000-07-17,7435.6,7436.45,7258.38,7291.74,
2000-07-18,7284.5,7284.5,7194.65,7216.58,
2000-07-19,7195.16,7195.16,6749.22,6863.27,
2000-07-20,6870.41,6964.49,6713.97,6765.28,
2000-07-21,6764.89,6790.16,6656.76,6718.73,
2000-07-24,6720.92,6721.39,6626.62,6658.17,
2000-07-25,6659.86,6766.57,6629.28,6715.6,
2000-07-26,6716.18,6748.48,6684.7,6748.48,
2000-07-27,6750.67,6750.67,6607.07,6607.49,
2000-07-28,6607.26,6613.72,6324.69,6344.03,
2000-07-31,6344.87,6520.81,6303.52,6514.21,
2000-08-01,6511.29,6602.55,6471.48,6507.77,
2000-08-02,6504.21,6593.55,6504.21,6543.93,
2000-08-03,6532.53,6532.84,6452.61,6509.17,
2000-08-04,6511.36,6594.34,6511.36,6582.67,
2000-08-07,6581.26,6636.33,6565.13,6635.0,
2000-08-08,6636.23,6694.94,6636.23,6669.85,
2000-08-09,6674.76,6714.23,6507.68,6519.0,
2000-08-10,6518.82,6542.18,6432.28,6474.81,
2000-08-11,6475.02,6608.27,6415.46,6501.3,
2000-08-14,6501.76,6530.73,6481.65,6506.32,
2000-08-15,6507.55,6523.99,6459.44,6501.67,
2000-08-16,6500.4,6583.92,6457.62,6477.98,
2000-08-17,6477.76,6552.16,6476.85,6536.87,
2000-08-18,6536.69,6558.88,6383.71,6386.66,
2000-08-21,6386.86,6436.92,6342.79,6345.13,
2000-08-22,6348.7,6384.23,6309.89,6341.3,
2000-08-23,6355.56,6384.52,6313.71,6367.0,
2000-08-24,6367.73,6370.18,6291.69,6293.55,
2000-08-25,6293.96,6321.19,6178.31,6181.15,
2000-08-28,6181.36,6242.88,6171.95,6226.37,
2000-08-29,6226.67,6344.25,6212.7,6331.28,
2000-08-30,6331.85,6574.67,6331.85,6572.91,
2000-08-31,6573.21,6730.57,6573.21,6664.82,
2000-09-01,6663.57,6775.05,6633.87,6722.41,
2000-09-04,6726.3,6818.85,6724.71,6775.97,
2000-09-05,6747.91,6834.01,6687.1,6824.97,
2000-09-06,6825.05,6975.79,6732.64,6789.73,
2000-09-07,6810.78,7025.55,6810.78,6953.31,
2000-09-08,6953.1,6953.1,6872.22,6903.48,
2000-09-11,6902.46,6930.74,6796.81,6801.4,
2000-09-12,6794.39,6794.39,6664.95,6702.26,
2000-09-13,6703.15,6833.04,6663.63,6833.04,
2000-09-14,6837.12,6904.24,6800.15,6878.89,
2000-09-15,6875.39,6879.32,6795.87,6835.43,
2000-09-18,6835.99,6837.33,6598.53,6599.01,
2000-09-19,6601.87,6644.93,6531.42,6634.53,
2000-09-20,6645.03,6755.16,6631.32,6752.47,
2000-09-21,6752.41,6752.41,6533.19,6558.9,
2000-09-22,6554.06,6554.06,6382.61,6549.62,
2000-09-25,6570.54,6659.68,6526.66,6533.58,
2000-09-26,6529.32,6596.73,6456.81,6459.15,
2000-09-27,6461.3,6492.96,6353.57,6368.54,
2000-09-28,6365.06,6477.37,6330.25,6475.46,
2000-09-29,6474.1,6475.91,6332.89,6334.56,
2000-10-02,6334.64,6400.75,6238.17,6244.65,
2000-10-03,6246.47,6308.94,6219.78,6230.89,
2000-10-04,6230.81,6345.85,6207.13,6345.53,
2000-10-05,6343.38,6378.47,6323.32,6368.67,
2000-10-06,6368.85,6385.69,6144.94,6166.88,
2000-10-09,6164.01,6164.01,6061.67,6141.53,
2000-10-10,6142.74,6142.74,6085.37,6095.49,
2000-10-11,6094.72,6094.72,5908.83,5946.93,
2000-10-12,5946.97,5963.53,5704.8,5751.66,
2000-10-13,5750.78,5871.46,5738.29,5853.95,
2000-10-16,5852.51,5856.83,5789.03,5789.03,
2000-10-17,5775.19,5775.19,5564.04,5709.67,
2000-10-18,5701.43,5879.13,5538.3,5769.02,
2000-10-19,5769.07,6007.37,5769.07,5991.25,
2000-10-20,5992.16,6023.96,5910.45,5943.33,
2000-10-23,5942.08,5959.7,5865.77,5908.29,
2000-10-24,5911.68,6081.66,5911.68,6081.66,
2000-10-25,6079.99,6144.52,6001.67,6003.68,
2000-10-26,6014.78,6182.85,6014.78,6123.51,
2000-10-27,6123.75,6265.56,6123.75,6206.37,
2000-10-30,6208.91,6312.81,6200.22,6282.58,
2000-10-31,6288.54,6424.86,6288.54,6394.24,
2000-11-01,6394.8,6413.4,6261.56,6409.04,
2000-11-03,6409.87,6415.88,6290.3,6319.58,
2000-11-06,6320.03,6385.71,6306.5,6359.91,
2000-11-07,6353.96,6478.64,6326.13,6478.64,
2000-11-08,6478.92,6502.6,6376.15,6376.75,
2000-11-09,6374.93,6374.93,6152.77,6216.46,
2000-11-10,6227.16,6227.16,6098.05,6107.75,
2000-11-13,6103.44,6103.44,5862.82,5914.84,
2000-11-14,5915.03,6083.43,5915.03,6075.2,
2000-11-15,6065.02,6198.06,6065.02,6153.33,
2000-11-16,6153.1,6180.54,6094.58,6146.1,
2000-11-17,6146.05,6307.01,6146.05,6303.47,
2000-11-21,6303.29,6303.29,6135.45,6135.45,
2000-11-22,6134.34,6134.34,5923.92,5923.92,
