Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-01-03,1127.35,1154.62,1127.35,1139.63,
2000-01-04,1139.41,1139.41,1123.87,1123.98,
2000-01-05,1123.98,1128.44,1118.44,1126.05,
2000-01-06,1126.05,1127.89,1122.57,1122.57,
2000-01-07,1122.57,1131.7,1122.46,1129.52,
2000-01-10,1129.63,1149.19,1129.63,1148.97,
2000-01-11,1149.08,1150.16,1143.86,1144.08,
2000-01-12,1144.3,1156.14,1107.04,1155.6,
2000-01-13,1155.6,1214.59,1155.6,1198.19,
2000-01-14,1198.08,1221.0,1198.08,1216.44,
2000-01-17,1216.44,1232.4,1198.84,1231.75,
2000-01-18,1231.75,1250.44,1218.72,1218.72,
2000-01-19,1219.47,1225.45,1211.22,1212.85,
2000-01-20,1212.85,1222.31,1208.72,1212.85,
2000-01-21,1212.95,1218.06,1206.12,1210.35,
2000-01-24,1210.35,1210.68,1182.65,1182.76,
2000-01-25,1182.76,1182.76,1162.33,1168.42,
2000-01-26,1168.42,1182.54,1166.9,1168.09,
2000-01-27,1168.09,1170.59,1163.64,1163.64,
2000-01-28,1163.64,1173.52,1163.64,1165.16,
2000-01-31,1165.16,1165.16,1147.01,1153.42,
2000-02-01,1152.01,1158.2,1149.51,1153.32,
2000-02-02,1153.32,1173.85,1153.32,1167.22,
2000-02-03,1167.98,1188.41,1167.98,1188.18,
2000-02-04,1188.18,1217.09,1188.18,1216.32,
2000-02-07,1216.32,1218.61,1205.68,1215.89,
2000-02-08,1215.89,1235.23,1215.89,1234.68,
2000-02-09,1234.68,1242.94,1227.84,1228.06,
2000-02-10,1228.06,1228.06,1216.44,1220.35,
2000-02-11,1220.35,1231.86,1218.93,1225.67,
2000-02-14,1225.67,1230.66,1201.55,1203.4,
2000-02-15,1203.4,1210.79,1189.17,1192.32,
2000-02-16,1192.32,1199.27,1174.17,1174.17,
2000-02-17,1174.17,1182.97,1160.81,1165.92,
2000-02-18,1166.03,1170.81,1137.78,1137.78,
2000-02-21,1137.67,1144.19,1130.94,1135.82,
2000-02-22,1135.82,1137.56,1106.82,1108.01,
2000-02-23,1108.01,1117.14,1105.41,1112.03,
2000-02-24,1109.53,1124.31,1095.19,1095.19,
2000-02-25,1095.19,1102.47,1078.03,1079.77,
2000-02-28,1079.77,1089.76,1070.97,1081.61,
2000-02-29,1081.61,1108.23,1081.4,1108.23,
