Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2000-01-04,677.47,704.03,677.47,700.22
2000-01-05,694.86,694.86,674.34,678.09
2000-01-06,681.3,691.89,681.3,688.52
2000-01-11,691.92,704.54,691.92,696.0
2000-01-12,696.29,698.14,686.71,690.16
2000-01-13,690.79,699.67,688.4,691.61
2000-01-14,691.81,694.09,683.7,690.89
2000-01-17,691.6,707.47,691.6,703.48
2000-01-18,703.8,704.35,681.49,685.72
2000-01-19,685.92,685.92,652.04,656.0
2000-01-20,656.41,673.91,656.41,670.15
2000-01-21,670.28,670.9,662.93,664.69
2000-01-24,664.69,668.98,653.55,656.72
2000-01-25,656.17,656.17,645.47,649.86
2000-01-26,649.67,656.72,640.24,643.38
2000-01-27,643.63,650.07,633.81,644.65
2000-01-28,645.3,646.28,633.27,634.67
2000-01-31,634.5,636.37,626.3,636.37
2000-02-01,636.76,638.38,613.53,616.86
2000-02-02,617.1,621.72,601.46,603.58
2000-02-03,603.05,615.01,600.16,614.31
2000-02-04,614.31,635.0,614.31,635.0
2000-02-07,635.34,641.17,631.98,636.43
2000-02-08,637.96,639.75,627.2,629.9
2000-02-09,631.43,632.45,626.09,632.45
2000-02-10,631.41,642.14,630.02,639.25
2000-02-11,639.05,640.93,630.65,635.08
2000-02-14,634.62,638.09,632.1,633.72
2000-02-15,634.67,641.61,634.67,636.89
2000-02-16,637.28,637.28,618.9,621.9
2000-02-17,621.32,623.7,595.12,600.17
2000-02-18,600.06,604.58,577.96,599.57
2000-02-21,599.57,599.57,589.77,592.99
2000-02-22,593.05,596.11,580.52,583.42
2000-02-23,583.55,591.79,580.84,584.43
2000-02-24,584.69,587.28,570.98,573.49
2000-02-25,573.78,575.66,565.35,568.55
2000-02-28,568.17,579.49,567.15,576.54
2000-03-01,577.79,581.93,561.71,565.48
2000-03-02,565.48,565.48,543.28,546.53
2000-03-03,547.33,548.55,528.2,548.55
2000-03-06,549.45,571.57,549.45,566.71
2000-03-07,565.95,565.95,555.45,562.46
2000-03-08,562.18,571.11,552.0,570.05
2000-03-09,570.52,589.82,570.52,585.18
2000-03-10,587.09,598.04,587.09,596.18
2000-03-13,596.18,599.82,583.58,587.58
2000-03-14,587.85,590.18,580.85,585.92
2000-03-15,585.62,587.66,579.63,586.87
2000-03-17,588.32,598.41,587.58,590.85
2000-03-20,590.71,590.71,581.33,584.88
2000-03-21,584.79,585.01,575.4,578.97
2000-03-22,579.58,586.87,579.58,586.87
2000-03-23,586.87,593.2,582.68,586.01
2000-03-24,586.61,589.03,578.06,581.47
