Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-01-03,4113.82,4149.44,4113.82,4127.35,
2000-01-04,4128.41,4134.86,4039.56,4048.81,
2000-01-05,4031.51,4031.51,3975.17,3994.87,
2000-01-06,4007.13,4031.15,4004.99,4016.15,
2000-01-07,4026.28,4097.11,4026.22,4095.51,
2000-01-10,4111.2,4157.22,4111.2,4147.59,
2000-01-11,4150.47,4161.46,4138.34,4145.53,
2000-01-12,4141.8,4168.3,4138.93,4167.2,
2000-01-13,4168.65,4203.27,4168.1,4196.18,
2000-01-14,4205.74,4258.31,4198.57,4253.55,
2000-01-17,4254.01,4266.63,4232.99,4266.55,
2000-01-18,4273.8,4283.12,4218.21,4220.75,
2000-01-19,4223.07,4228.76,4182.98,4228.08,
2000-01-20,4245.86,4252.78,4216.83,4223.98,
2000-01-21,4227.74,4261.42,4212.26,4261.42,
2000-01-24,4263.18,4267.34,4228.48,4231.93,
2000-01-25,4225.19,4225.19,4148.81,4149.08,
2000-01-26,4155.92,4202.27,4155.92,4187.55,
2000-01-27,4206.32,4218.64,4189.65,4218.23,
2000-01-28,4217.9,4225.62,4193.25,4207.82,
2000-01-31,4200.75,4201.08,4112.22,4141.7,
2000-02-01,4150.5,4211.53,4150.5,4198.55,
2000-02-02,4216.29,4229.73,4183.05,4202.25,
2000-02-03,4210.91,4248.08,4202.32,4235.29,
2000-02-04,4240.74,4282.66,4240.74,4258.72,
2000-02-07,4258.83,4258.83,4209.41,4210.81,
2000-02-08,4228.93,4286.69,4216.6,4286.46,
2000-02-09,4276.17,4286.28,4227.27,4240.63,
2000-02-10,4231.88,4259.23,4185.1,4259.23,
2000-02-11,4258.8,4258.8,4184.76,4235.13,
2000-02-14,4227.72,4227.72,4162.27,4162.27,
2000-02-15,4159.65,4183.68,4137.69,4157.95,
2000-02-16,4176.38,4197.9,4164.92,4185.81,
2000-02-17,4189.1,4218.61,4184.37,4194.29,
2000-02-18,4204.76,4230.25,4201.33,4223.66,
2000-02-21,4224.57,4226.86,4190.62,4226.86,
2000-02-22,4229.27,4262.36,4203.32,4215.64,
2000-02-23,4219.58,4228.18,4194.32,4216.25,
2000-02-24,4217.28,4281.8,4192.98,4212.02,
2000-02-25,4215.03,4249.8,4181.09,4181.09,
2000-02-28,4180.26,4184.96,4134.62,4179.44,
2000-02-29,4184.16,4251.57,4184.16,4238.23,
2000-03-01,4242.2,4274.93,4242.2,4274.93,
2000-03-02,4279.7,4313.12,4277.58,4299.79,
2000-03-03,4309.39,4309.39,4252.47,4271.24,
2000-03-06,4295.66,4296.43,4250.99,4261.52,
2000-03-07,4262.36,4269.26,4236.16,4250.47,
2000-03-08,4252.2,4254.82,4210.48,4250.7,
2000-03-09,4259.1,4295.89,4259.05,4284.81,
2000-03-10,4293.23,4337.56,4293.23,4299.85,
2000-03-13,4320.95,4327.64,4281.83,4302.28,
2000-03-14,4306.35,4369.94,4306.35,4369.58,
2000-03-15,4368.46,4385.14,4331.42,4347.99,
2000-03-16,4360.24,4417.64,4355.27,4417.64,
2000-03-17,4439.14,4478.35,4400.94,4413.51,
2000-03-20,4429.69,4451.58,4420.49,4439.47,
2000-03-21,4434.33,4466.7,4425.42,4459.52,
2000-03-22,4463.2,4473.64,4441.67,4461.75,
2000-03-23,4462.86,4462.86,4400.87,4424.32,
2000-03-24,4428.81,4449.9,4406.79,4443.4,
2000-03-27,4461.34,4489.25,4454.72,4489.25,
2000-03-28,4492.39,4519.11,4474.72,4494.67,
2000-03-29,4501.1,4503.1,4463.17,4492.09,
2000-03-30,4499.47,4500.58,4410.85,4437.63,
2000-03-31,4444.28,4468.07,4393.63,4468.07,
2000-04-03,4467.03,4475.35,4375.98,4396.86,
2000-04-04,4387.67,4387.67,4331.42,4338.73,
2000-04-05,4339.37,4349.19,4228.31,4277.14,
2000-04-06,4293.86,4383.87,4293.86,4374.74,
2000-04-07,4389.52,4444.8,4389.52,4423.29,
2000-04-10,4448.49,4470.44,4442.48,4461.52,
2000-04-11,4465.17,4465.17,4342.55,4375.39,
2000-04-12,4383.67,4390.44,4348.93,4350.9,
2000-04-13,4319.92,4335.2,4296.82,4316.77,
2000-04-14,4316.74,4364.82,4299.79,4306.99,
2000-04-17,4241.91,4264.86,4162.93,4264.86,
2000-04-18,4274.43,4300.2,4241.25,4258.04,
2000-04-19,4280.07,4375.27,4280.07,4366.06,
2000-04-20,4364.03,4393.43,4353.97,4353.97,
2000-04-25,4386.05,4393.97,4367.96,4386.37,
2000-04-26,4401.75,4422.88,4385.99,4420.12,
2000-04-27,4424.02,4426.82,4393.96,4394.37,
2000-04-28,4401.68,4462.81,4401.68,4461.85,
2000-05-02,4479.49,4505.84,4473.73,4487.9,
2000-05-03,4494.95,4539.31,4472.11,4539.31,
2000-05-04,4542.36,4559.61,4534.66,4559.61,
2000-05-05,4565.17,4571.31,4542.94,4562.49,
2000-05-08,4572.54,4572.54,4543.94,4550.27,
2000-05-09,4555.42,4561.99,4522.96,4531.2,
2000-05-10,4526.55,4529.54,4463.16,4471.78,
2000-05-11,4466.66,4466.66,4423.13,4423.54,
2000-05-12,4429.01,4464.89,4427.69,4460.74,
2000-05-15,4467.97,4498.76,4467.97,4498.76,
2000-05-16,4506.13,4558.45,4505.15,4541.91,
2000-05-17,4550.38,4560.17,4504.37,4504.37,
2000-05-18,4512.69,4559.07,4512.69,4559.07,
2000-05-19,4553.7,4556.71,4493.48,4498.38,
2000-05-22,4497.98,4550.94,4484.95,4524.72,
2000-05-23,4534.01,4546.22,4505.81,4525.82,
2000-05-24,4522.86,4522.86,4402.23,4418.27,
2000-05-25,4426.47,4456.81,4426.47,4448.06,
2000-05-26,4449.56,4449.56,4407.49,4412.18,
2000-05-29,4435.04,4439.55,4420.74,4427.98,
2000-05-30,4434.14,4463.15,4432.91,4460.81,
