Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-01-05,173.0,173.0,173.0,173.0,
2000-01-06,186.26,186.26,186.26,186.26,
2000-01-10,200.81,200.81,200.81,200.81,
2000-01-11,199.57,199.57,199.57,199.57,
2000-01-12,196.88,196.88,196.88,196.88,
2000-01-13,210.05,210.05,210.05,210.05,
2000-01-14,217.28,217.28,217.28,217.28,
2000-01-17,219.73,219.73,219.73,219.73,
2000-01-18,212.88,212.88,212.88,212.88,
2000-01-19,200.66,200.66,200.66,200.66,
2000-01-20,206.61,206.61,206.61,206.61,
2000-01-21,215.77,215.77,215.77,215.77,
2000-01-24,210.82,210.82,210.82,210.82,
2000-01-25,198.65,198.65,198.65,198.65,
2000-01-26,198.8,198.8,198.8,198.8,
2000-01-27,203.82,203.82,203.82,203.82,
2000-01-28,201.81,201.81,201.81,201.81,
2000-01-31,188.81,188.81,188.81,188.81,
2000-02-01,191.59,191.59,191.59,191.59,
2000-02-02,186.67,186.67,186.67,186.67,
2000-02-03,189.67,189.67,189.67,189.67,
2000-02-04,196.08,196.08,196.08,196.08,
2000-02-07,200.28,200.28,200.28,200.28,
2000-02-08,204.87,204.87,204.87,204.87,
2000-02-09,216.53,216.53,216.53,216.53,
2000-02-10,210.25,210.25,210.25,210.25,
2000-02-11,210.91,210.91,210.91,210.91,
2000-02-14,214.12,214.12,214.12,214.12,
2000-02-15,203.2,203.2,203.2,203.2,
2000-02-16,202.7,202.7,202.7,202.7,
2000-02-17,201.51,201.51,201.51,201.51,
2000-02-18,200.6,200.6,200.6,200.6,
2000-02-21,195.3,195.3,195.3,195.3,
2000-02-22,199.57,199.57,199.57,199.57,
2000-02-23,202.68,202.68,202.68,202.68,
2000-02-24,207.16,207.16,207.16,207.16,
2000-02-25,198.56,198.56,198.56,198.56,
2000-02-28,191.12,191.12,191.12,191.12,
2000-02-29,191.49,191.49,191.49,191.49,
2000-03-01,198.99,198.99,198.99,198.99,
2000-03-02,201.49,201.49,201.49,201.49,
2000-03-03,205.49,205.49,205.49,205.49,
2000-03-06,210.98,210.98,210.98,210.98,
2000-03-07,211.95,211.95,211.95,211.95,
2000-03-09,232.16,232.16,232.16,232.16,
2000-03-10,241.53,241.53,241.53,241.53,
2000-03-13,239.8,239.8,239.8,239.8,
2000-03-14,245.92,245.92,245.92,245.92,
2000-03-15,246.46,246.46,246.46,246.46,
2000-03-16,247.66,247.66,247.66,247.66,
2000-03-17,249.94,249.94,249.94,249.94,
2000-03-20,243.86,243.86,243.86,243.86,
2000-03-21,240.17,240.17,240.17,240.17,
2000-03-22,245.8,245.8,245.8,245.8,
2000-03-23,260.16,260.16,260.16,260.16,
2000-03-24,268.86,268.86,268.86,268.86,
2000-03-27,277.82,277.82,277.82,277.82,
2000-03-28,261.86,261.86,261.86,261.86,
2000-03-29,256.89,256.89,256.89,256.89,
2000-03-30,252.08,252.08,252.08,252.08,
2000-03-31,254.68,254.68,254.68,254.68,
2000-04-03,257.3,257.3,257.3,257.3,
2000-04-04,258.02,258.02,258.02,258.02,
2000-04-05,245.7,245.7,245.7,245.7,
2000-04-06,249.43,249.43,249.43,249.43,
2000-04-07,247.96,247.96,247.96,247.96,
2000-04-10,253.28,253.28,253.28,253.28,
2000-04-11,249.68,249.68,249.68,249.68,
2000-04-12,248.1,248.1,248.1,248.1,
2000-04-13,243.73,243.73,243.73,243.73,
2000-04-14,245.87,245.87,245.87,245.87,
2000-04-17,226.04,226.04,226.04,226.04,
2000-04-18,227.98,227.98,227.98,227.98,
2000-04-19,226.21,226.21,226.21,226.21,
2000-04-20,226.64,226.64,226.64,226.64,
2000-04-21,230.45,230.45,230.45,230.45,
2000-04-24,225.28,225.28,225.28,225.28,
2000-04-25,227.77,227.77,227.77,227.77,
2000-04-26,237.01,237.01,237.01,237.01,
2000-04-27,238.62,238.62,238.62,238.62,
2000-04-28,242.85,242.85,242.85,242.85,
2000-05-03,244.88,244.88,244.88,244.88,
2000-05-04,250.26,250.26,250.26,250.26,
2000-05-05,249.96,249.96,249.96,249.96,
2000-05-10,251.34,251.34,251.34,251.34,
2000-05-11,244.7,244.7,244.7,244.7,
2000-05-12,241.3,241.3,241.3,241.3,
2000-05-15,236.26,236.26,236.26,236.26,
2000-05-16,239.9,239.9,239.9,239.9,
2000-05-17,235.77,235.77,235.77,235.77,
2000-05-18,228.2,228.2,228.2,228.2,
2000-05-19,218.3,218.3,218.3,218.3,
2000-05-22,210.69,210.69,210.69,210.69,
2000-05-23,201.9,201.9,201.9,201.9,
2000-05-24,190.54,190.54,190.54,190.54,
2000-05-25,204.83,204.83,204.83,204.83,
2000-05-26,209.3,209.3,209.3,209.3,
2000-05-29,213.67,213.67,213.67,213.67,
2000-05-30,213.45,213.45,213.45,213.45,
2000-05-31,217.05,217.05,217.05,217.05,
2000-06-01,221.1,221.1,221.1,221.1,
2000-06-02,224.94,224.94,224.94,224.94,
2000-06-05,233.28,233.28,233.28,233.28,
2000-06-06,227.57,227.57,227.57,227.57,
2000-06-07,218.56,218.56,218.56,218.56,
2000-06-08,228.73,228.73,228.73,228.73,
2000-06-09,228.35,228.35,228.35,228.35,
2000-06-13,226.09,226.09,226.09,226.09,
2000-06-14,218.98,218.98,218.98,218.98,
2000-06-15,221.31,221.31,221.31,221.31,
2000-06-16,223.08,223.08,223.08,223.08,
2000-06-19,218.95,218.95,218.95,218.95,
2000-06-20,215.06,215.06,215.06,215.06,
2000-06-21,204.15,204.15,204.15,204.15,
2000-06-22,206.09,206.09,206.09,206.09,
2000-06-23,207.97,207.97,207.97,207.97,
2000-06-26,206.52,206.52,206.52,206.52,
2000-06-27,200.65,200.65,200.65,200.65,
2000-06-28,195.81,195.81,195.81,195.81,
2000-06-29,189.57,189.57,189.57,189.57,
2000-06-30,194.93,194.93,194.93,194.93,
2000-07-03,199.13,199.13,199.13,199.13,
2000-07-04,193.69,193.69,193.69,193.69,
2000-07-05,188.68,188.68,188.68,188.68,
2000-07-06,188.37,188.37,188.37,188.37,
2000-07-07,199.23,199.23,199.23,199.23,
2000-07-10,199.45,199.45,199.45,199.45,
2000-07-11,189.24,189.24,189.24,189.24,
2000-07-12,193.36,193.36,193.36,193.36,
2000-07-13,198.36,198.36,198.36,198.36,
2000-07-14,194.18,194.18,194.18,194.18,
2000-07-17,197.96,197.96,197.96,197.96,
2000-07-18,194.99,194.99,194.99,194.99,
2000-07-19,194.99,194.99,194.99,194.99,
2000-07-20,194.77,194.77,194.77,194.77,
2000-07-21,197.04,197.04,197.04,197.04,
2000-07-24,195.15,195.15,195.15,195.15,
2000-07-25,194.36,194.36,194.36,194.36,
2000-07-26,192.65,192.65,192.65,192.65,
2000-07-27,191.84,191.84,191.84,191.84,
2000-07-28,197.62,197.62,197.62,197.62,
2000-07-31,200.22,200.22,200.22,200.22,
2000-08-01,209.47,209.47,209.47,209.47,
2000-08-02,210.74,210.74,210.74,210.74,
2000-08-03,215.09,215.09,215.09,215.09,
2000-08-04,218.04,218.04,218.04,218.04,
2000-08-07,221.28,221.28,221.28,221.28,
2000-08-08,218.81,218.81,218.81,218.81,
2000-08-09,224.54,224.54,224.54,224.54,
2000-08-10,225.54,225.54,225.54,225.54,
2000-08-11,229.14,229.14,229.14,229.14,
2000-08-14,234.17,234.17,234.17,234.17,
2000-08-15,235.0,235.0,235.0,235.0,
2000-08-16,234.2,234.2,234.2,234.2,
2000-08-17,230.36,230.36,230.36,230.36,
2000-08-18,229.86,229.86,229.86,229.86,
2000-08-21,225.48,225.48,225.48,225.48,
2000-08-22,229.88,229.88,229.88,229.88,
2000-08-23,231.26,231.26,231.26,231.26,
2000-08-24,235.29,235.29,235.29,235.29,
2000-08-25,242.84,242.84,242.84,242.84,
2000-08-28,239.93,239.93,239.93,239.93,
2000-08-29,245.37,245.37,245.37,245.37,
2000-08-30,243.05,243.05,243.05,243.05,
2000-08-31,239.03,239.03,239.03,239.03,
2000-09-01,237.54,237.54,237.54,237.54,
2000-09-04,236.19,236.19,236.19,236.19,
2000-09-05,241.56,241.56,241.56,241.56,
2000-09-06,241.43,241.43,241.43,241.43,
2000-09-07,238.66,238.66,238.66,238.66,
2000-09-08,231.59,231.59,231.59,231.59,
2000-09-11,224.31,224.31,224.31,224.31,
2000-09-12,225.59,225.59,225.59,225.59,
2000-09-13,221.29,221.29,221.29,221.29,
2000-09-14,214.78,214.78,214.78,214.78,
2000-09-15,215.47,215.47,215.47,215.47,
2000-09-18,203.04,203.04,203.04,203.04,
2000-09-19,200.25,200.25,200.25,200.25,
2000-09-20,202.17,202.17,202.17,202.17,
2000-09-21,199.23,199.23,199.23,199.23,
2000-09-22,189.84,189.84,189.84,189.84,
2000-09-25,198.65,198.65,198.65,198.65,
2000-09-26,200.66,200.66,200.66,200.66,
2000-09-27,204.0,204.0,204.0,204.0,
2000-09-28,203.05,203.05,203.05,203.05,
2000-09-29,204.61,204.61,204.61,204.61,
2000-10-02,207.61,207.61,207.61,207.61,
2000-10-03,214.46,214.46,214.46,214.46,
2000-10-04,211.19,211.19,211.19,211.19,
2000-10-05,206.02,206.02,206.02,206.02,
2000-10-06,201.5,201.5,201.5,201.5,
2000-10-09,198.33,198.33,198.33,198.33,
2000-10-10,200.48,200.48,200.48,200.48,
2000-10-11,193.08,193.08,193.08,193.08,
2000-10-12,192.64,192.64,192.64,192.64,
2000-10-13,190.37,190.37,190.37,190.37,
2000-10-16,201.21,201.21,201.21,201.21,
2000-10-17,201.27,201.27,201.27,201.27,
2000-10-18,194.67,194.67,194.67,194.67,
2000-10-19,197.22,197.22,197.22,197.22,
2000-10-20,204.73,204.73,204.73,204.73,
2000-10-23,203.06,203.06,203.06,203.06,
2000-10-24,202.32,202.32,202.32,202.32,
2000-10-25,197.29,197.29,197.29,197.29,
2000-10-26,194.05,194.05,194.05,194.05,
2000-10-27,195.11,195.11,195.11,195.11,
2000-10-30,192.61,192.61,192.61,192.61,
2000-10-31,192.22,192.22,192.22,192.22,
2000-11-01,199.6,199.6,199.6,199.6,
2000-11-02,196.56,196.56,196.56,196.56,
2000-11-03,196.4,196.4,196.4,196.4,
2000-11-08,184.73,184.73,184.73,184.73,
2000-11-09,178.52,178.52,178.52,178.52,
2000-11-10,178.67,178.67,178.67,178.67,
