Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-01-03,550.28,559.95,550.28,551.83,
2000-01-04,550.84,550.84,522.97,522.97,
2000-01-05,522.58,533.9,516.9,532.68,
2000-01-06,533.21,533.67,525.81,528.47,
2000-01-07,528.47,533.07,521.33,522.12,
2000-01-10,522.94,526.45,517.7,519.97,
2000-01-11,519.57,525.3,518.26,520.89,
2000-01-12,520.89,521.2,514.76,518.7,
2000-01-13,520.92,568.97,520.52,560.07,
2000-01-14,560.07,569.27,560.07,566.08,
2000-01-17,568.96,570.93,561.03,567.74,
2000-01-18,569.9,578.83,568.81,577.9,
2000-01-19,577.9,588.39,577.9,581.52,
2000-01-20,581.75,583.1,572.67,578.77,
2000-01-21,578.83,578.83,567.72,570.0,
2000-01-24,570.12,575.13,565.96,568.17,
2000-01-25,568.17,570.42,561.14,563.5,
2000-01-26,563.5,582.16,563.5,581.9,
2000-01-27,583.92,588.95,577.84,580.6,
2000-01-28,579.79,580.17,565.93,568.75,
2000-01-31,568.36,568.36,558.25,566.28,
2000-02-01,565.56,574.02,565.56,574.0,
2000-02-02,575.43,580.04,574.89,576.68,
2000-02-03,577.07,590.43,577.07,590.11,
2000-02-04,590.31,603.01,590.31,599.13,
2000-02-14,637.3,638.21,629.86,634.09,
2000-02-15,633.02,633.64,623.32,630.7,
2000-02-16,630.7,630.7,622.22,629.52,
2000-02-17,629.84,631.9,626.26,630.21,
2000-02-18,630.21,630.26,616.66,618.7,
2000-02-21,617.99,621.83,612.31,621.83,
2000-02-22,621.95,622.67,616.29,621.47,
2000-02-23,621.67,628.87,619.3,626.69,
2000-02-24,627.16,636.51,625.53,636.22,
2000-02-25,636.93,639.65,633.49,636.39,
2000-02-28,636.19,636.23,629.64,634.6,
2000-02-29,634.79,638.64,630.7,631.64,
2000-03-01,631.76,634.68,625.44,627.41,
2000-03-02,627.3,639.37,627.3,639.37,
2000-03-03,639.66,647.77,639.66,645.29,
2000-03-06,647.18,648.61,630.55,630.89,
2000-03-07,630.49,632.99,614.08,617.78,
2000-03-08,617.78,621.3,614.87,617.2,
2000-03-09,617.92,620.82,615.91,618.17,
2000-03-10,618.3,618.95,608.56,609.98,
2000-03-13,609.36,609.42,597.94,606.58,
2000-03-14,606.83,612.04,606.83,609.08,
2000-03-15,608.36,608.36,601.63,606.13,
2000-03-16,606.13,616.99,606.13,616.99,
2000-03-17,617.22,617.93,603.96,606.17,
2000-03-20,609.93,610.29,596.91,602.45,
2000-03-21,603.88,603.88,590.98,593.65,
2000-03-22,595.08,598.35,592.02,597.66,
2000-03-23,597.66,607.54,594.96,605.35,
2000-03-24,605.83,612.32,605.2,607.99,
2000-03-27,608.71,610.08,601.21,603.27,
