Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-01-03,4186.19,4192.19,3989.71,4131.15,377517504.0
2000-01-04,4020.0,4073.25,3898.23,3901.69,377960000.0
2000-01-05,3854.35,3924.21,3734.87,3877.54,433917504.0
2000-01-06,3834.44,3868.76,3715.62,3727.13,399580000.0
2000-01-07,3711.09,3882.67,3711.09,3882.62,408732512.0
2000-01-10,4002.23,4072.36,3958.83,4049.67,422927488.0
2000-01-11,4031.38,4066.66,3904.82,3921.19,423615008.0
2000-01-12,3950.95,3950.98,3834.53,3850.02,381475008.0
2000-01-13,3915.14,3957.47,3858.22,3957.21,369242496.0
2000-01-14,4045.72,4091.95,4045.72,4064.27,414157504.0
2000-01-18,4059.65,4148.0,4053.21,4130.81,396307488.0
2000-01-19,4116.27,4164.65,4084.73,4151.29,413052512.0
2000-01-20,4205.06,4227.35,4143.61,4189.51,462824992.0
2000-01-21,4236.65,4238.0,4168.3,4235.4,480920000.0
2000-01-24,4290.38,4303.15,4095.31,4096.08,497262496.0
2000-01-25,4124.75,4167.63,4028.51,4167.41,435907488.0
2000-01-26,4174.72,4174.72,4069.91,4069.91,429249984.0
2000-01-27,4120.5,4140.09,3973.59,4039.56,449615008.0
2000-01-28,4010.14,4048.31,3856.23,3887.07,404092512.0
2000-01-31,3873.84,3940.46,3748.03,3940.35,376907488.0
2000-02-01,3961.07,4053.16,3911.84,4051.98,349560000.0
2000-02-02,4059.03,4125.75,4051.44,4073.96,381969984.0
2000-02-03,4134.65,4211.06,4085.53,4210.98,430582496.0
2000-02-04,4242.15,4294.84,4229.2,4244.14,437862496.0
2000-02-07,4274.03,4321.96,4244.74,4321.77,406384992.0
2000-02-08,4370.01,4428.48,4370.01,4427.5,492795008.0
2000-02-09,4460.18,4460.76,4362.74,4363.24,443897504.0
2000-02-10,4390.16,4485.67,4357.69,4485.63,453397504.0
2000-02-11,4489.33,4489.79,4360.54,4395.45,434647488.0
2000-02-14,4434.38,4435.96,4355.54,4418.55,400212512.0
2000-02-15,4415.52,4440.62,4291.1,4420.77,427232512.0
2000-02-16,4427.19,4477.64,4413.66,4427.65,445532512.0
2000-02-17,4483.01,4553.14,4444.75,4548.92,502110016.0
2000-02-18,4563.72,4564.45,4404.61,4411.74,474602496.0
2000-02-22,4432.83,4443.94,4291.01,4382.12,443072512.0
2000-02-23,4406.88,4567.97,4401.38,4550.33,473200000.0
2000-02-24,4583.89,4620.03,4495.2,4617.65,486012512.0
2000-02-25,4618.83,4662.93,4576.19,4590.5,456375008.0
2000-02-28,4575.07,4626.72,4466.42,4577.85,449517504.0
2000-02-29,4646.64,4698.46,4637.17,4696.69,522209984.0
2000-03-01,4732.82,4796.9,4732.82,4784.08,558084992.0
2000-03-02,4816.81,4829.01,4705.45,4754.51,534270016.0
2000-03-03,4846.01,4914.79,4813.82,4914.79,534132512.0
